[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 18

[Data]
X [ m ],Velocity [ m s^-1 ]
-8.99999985e-04, 1.95401087e-02
-8.99699691e-04, 1.95410196e-02
-8.99399398e-04, 1.95419304e-02
-8.99099105e-04, 1.95428450e-02
-8.98798811e-04, 1.95437539e-02
-8.98498518e-04, 1.95446666e-02
-8.98198225e-04, 1.95455793e-02
-8.97897931e-04, 1.95464920e-02
-8.97597638e-04, 1.95474029e-02
-8.97297345e-04, 1.95487943e-02
-8.96997051e-04, 1.95492618e-02
-8.96696758e-04, 1.95502993e-02
-8.96396465e-04, 1.95513405e-02
-8.96096171e-04, 1.95523780e-02
-8.95795878e-04, 1.95534173e-02
-8.95495585e-04, 1.95544567e-02
-8.95195291e-04, 1.95554961e-02
-8.94894998e-04, 1.95565335e-02
-8.94594705e-04, 1.95575729e-02
-8.94294411e-04, 1.95586141e-02
-8.93994118e-04, 1.95596535e-02
-8.93693825e-04, 1.95606910e-02
-8.93393531e-04, 1.95617303e-02
-8.93093238e-04, 1.95627697e-02
-8.92792945e-04, 1.95638072e-02
-8.92492651e-04, 1.95648447e-02
-8.92192358e-04, 1.95658859e-02
-8.91892065e-04, 1.95669252e-02
-8.91591772e-04, 1.95679665e-02
-8.91291478e-04, 1.95690040e-02
-8.90991185e-04, 1.95700433e-02
-8.90690892e-04, 1.95710827e-02
-8.90390598e-04, 1.95721220e-02
-8.90090305e-04, 1.95731614e-02
-8.89790012e-04, 1.95742007e-02
-8.89489718e-04, 1.95752401e-02
-8.89189425e-04, 1.95762794e-02
-8.88889132e-04, 1.95773169e-02
-8.88588838e-04, 1.95783563e-02
-8.88288545e-04, 1.95793957e-02
-8.87988252e-04, 1.95804350e-02
-8.87687958e-04, 1.95814762e-02
-8.87387665e-04, 1.95825156e-02
-8.87087372e-04, 1.95835549e-02
-8.86787078e-04, 1.95845924e-02
-8.86486785e-04, 1.95856337e-02
-8.86186492e-04, 1.95866711e-02
-8.85886198e-04, 1.95877124e-02
-8.85585905e-04, 1.95887499e-02
-8.85285612e-04, 1.95897892e-02
-8.84985318e-04, 1.95908286e-02
-8.84685025e-04, 1.95918679e-02
-8.84384732e-04, 1.95929091e-02
-8.84084438e-04, 1.95939485e-02
-8.83784145e-04, 1.95949860e-02
-8.83483852e-04, 1.95960291e-02
-8.83183558e-04, 1.95970647e-02
-8.82883265e-04, 1.95981059e-02
-8.82582972e-04, 1.95991434e-02
-8.82282679e-04, 1.96001846e-02
-8.81982385e-04, 1.96012240e-02
-8.81682092e-04, 1.96022633e-02
-8.81381799e-04, 1.96033027e-02
-8.81081505e-04, 1.96043439e-02
-8.80781212e-04, 1.96053814e-02
-8.80480919e-04, 1.96064245e-02
-8.80180625e-04, 1.96074620e-02
-8.79880332e-04, 1.96085013e-02
-8.79580039e-04, 1.96095407e-02
-8.79279745e-04, 1.96105801e-02
-8.78979452e-04, 1.96116194e-02
-8.78679159e-04, 1.96126606e-02
-8.78378865e-04, 1.96137000e-02
-8.78078572e-04, 1.96147412e-02
-8.77778279e-04, 1.96157806e-02
-8.77477985e-04, 1.96168218e-02
-8.77177692e-04, 1.96178593e-02
-8.76877399e-04, 1.96188968e-02
-8.76577105e-04, 1.96199380e-02
-8.76276812e-04, 1.96209773e-02
-8.75976519e-04, 1.96220186e-02
-8.75676225e-04, 1.96230579e-02
-8.75375932e-04, 1.96240973e-02
-8.75075639e-04, 1.96251366e-02
-8.74775345e-04, 1.96261797e-02
-8.74475052e-04, 1.96272172e-02
-8.74174759e-04, 1.96282584e-02
-8.73874465e-04, 1.96292959e-02
-8.73574172e-04, 1.96303371e-02
-8.73273879e-04, 1.96313765e-02
-8.72973586e-04, 1.96324158e-02
-8.72673292e-04, 1.96334552e-02
-8.72372999e-04, 1.96344983e-02
-8.72072706e-04, 1.96355376e-02
-8.71772412e-04, 1.96365770e-02
-8.71472119e-04, 1.96376164e-02
-8.71171826e-04, 1.96386557e-02
-8.70871532e-04, 1.96396951e-02
-8.70571239e-04, 1.96407381e-02
-8.70270946e-04, 1.96417775e-02
-8.69970652e-04, 1.96428187e-02
