[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 11

[Data]
X [ m ],Velocity [ m s^-1 ]
-3.00000003e-03, 1.23346886e-02
-2.99969967e-03, 1.23355910e-02
-2.99939932e-03, 1.23364972e-02
-2.99909897e-03, 1.23374006e-02
-2.99879862e-03, 1.23383040e-02
-2.99849827e-03, 1.23392073e-02
-2.99819792e-03, 1.23401145e-02
-2.99789757e-03, 1.23410188e-02
-2.99759721e-03, 1.23419249e-02
-2.99729686e-03, 1.23428274e-02
-2.99699651e-03, 1.23437326e-02
-2.99669616e-03, 1.23446370e-02
-2.99639581e-03, 1.23455431e-02
-2.99609546e-03, 1.23464474e-02
-2.99579510e-03, 1.23473546e-02
-2.99549475e-03, 1.23482579e-02
-2.99519440e-03, 1.23491641e-02
-2.99489405e-03, 1.23500684e-02
-2.99459370e-03, 1.23509746e-02
-2.99429335e-03, 1.23518808e-02
-2.99399300e-03, 1.23527842e-02
-2.99369264e-03, 1.23536903e-02
-2.99339229e-03, 1.23545965e-02
-2.99309194e-03, 1.23555018e-02
-2.99279159e-03, 1.23564070e-02
-2.99249124e-03, 1.23573141e-02
-2.99219089e-03, 1.23582194e-02
-2.99189053e-03, 1.23591265e-02
-2.99159018e-03, 1.23600326e-02
-2.99128983e-03, 1.23609379e-02
-2.99098948e-03, 1.23618441e-02
-2.99068913e-03, 1.23627521e-02
-2.99038878e-03, 1.23636564e-02
-2.99008843e-03, 1.23645626e-02
-2.98978807e-03, 1.23654697e-02
-2.98948772e-03, 1.23663768e-02
-2.98918737e-03, 1.23672839e-02
-2.98888702e-03, 1.23681901e-02
-2.98858667e-03, 1.23690953e-02
-2.98828632e-03, 1.23700025e-02
-2.98798596e-03, 1.23709096e-02
-2.98768561e-03, 1.23718176e-02
-2.98738526e-03, 1.23727247e-02
-2.98708491e-03, 1.23736318e-02
-2.98678456e-03, 1.23745389e-02
-2.98648421e-03, 1.23754460e-02
-2.98618386e-03, 1.23763522e-02
