[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 15

[Data]
X [ m ],Velocity [ m s^-1 ]
-1.79999997e-03, 1.69207305e-02
-1.79969962e-03, 1.69220380e-02
-1.79939927e-03, 1.69233438e-02
-1.79909891e-03, 1.69246513e-02
-1.79879856e-03, 1.69259552e-02
-1.79849821e-03, 1.69272609e-02
-1.79819786e-03, 1.69285666e-02
-1.79789751e-03, 1.69298723e-02
-1.79759716e-03, 1.69311762e-02
-1.79729681e-03, 1.69324838e-02
-1.79699645e-03, 1.69337876e-02
-1.79669610e-03, 1.69350971e-02
-1.79639575e-03, 1.69363990e-02
-1.79609540e-03, 1.69377066e-02
-1.79579505e-03, 1.69390105e-02
-1.79549470e-03, 1.69403143e-02
-1.79519434e-03, 1.69416219e-02
-1.79489399e-03, 1.69429276e-02
-1.79459364e-03, 1.69442054e-02
-1.79429329e-03, 1.69453658e-02
-1.79399294e-03, 1.69465207e-02
-1.79369259e-03, 1.69476774e-02
-1.79339224e-03, 1.69488303e-02
-1.79309188e-03, 1.69499870e-02
-1.79279153e-03, 1.69511419e-02
-1.79249118e-03, 1.69522930e-02
-1.79219083e-03, 1.69534497e-02
-1.79189048e-03, 1.69546008e-02
-1.79159013e-03, 1.69557594e-02
-1.79128977e-03, 1.69569124e-02
-1.79098942e-03, 1.69580691e-02
-1.79068907e-03, 1.69592239e-02
-1.79038872e-03, 1.69603787e-02
-1.79008837e-03, 1.69615336e-02
-1.78978802e-03, 1.69626866e-02
-1.78948767e-03, 1.69638433e-02
-1.78918731e-03, 1.69649962e-02
-1.78888696e-03, 1.69661548e-02
-1.78858661e-03, 1.69673078e-02
-1.78828626e-03, 1.69684626e-02
-1.78798591e-03, 1.69696175e-02
-1.78768556e-03, 1.69707723e-02
-1.78738520e-03, 1.69719290e-02
-1.78708485e-03, 1.69730838e-02
-1.78678450e-03, 1.69742387e-02
-1.78648415e-03, 1.69753917e-02
-1.78618380e-03, 1.69765465e-02
-1.78588345e-03, 1.69777032e-02
-1.78558310e-03, 1.69788580e-02
-1.78528274e-03, 1.69800110e-02
-1.78498239e-03, 1.69811659e-02
-1.78468204e-03, 1.69823244e-02
-1.78438169e-03, 1.69834793e-02
-1.78408134e-03, 1.69846341e-02
-1.78378099e-03, 1.69857889e-02
-1.78348063e-03, 1.69869419e-02
-1.78318028e-03, 1.69880986e-02
-1.78287993e-03, 1.69892535e-02
-1.78257958e-03, 1.69904064e-02
-1.78227923e-03, 1.69915631e-02
-1.78197888e-03, 1.69927180e-02
-1.78167853e-03, 1.69938747e-02
-1.78137817e-03, 1.69950295e-02
-1.78107782e-03, 1.69961825e-02
-1.78077747e-03, 1.69973373e-02
-1.78047712e-03, 1.69984922e-02
-1.78017677e-03, 1.69995148e-02
-1.77987642e-03, 1.70005336e-02
-1.77957607e-03, 1.70015544e-02
-1.77927571e-03, 1.70025751e-02
-1.77897536e-03, 1.70035977e-02
-1.77867501e-03, 1.70046166e-02
-1.77837466e-03, 1.70056354e-02
-1.77807431e-03, 1.70066580e-02
-1.77777396e-03, 1.70076769e-02
-1.77747360e-03, 1.70086976e-02
-1.77717325e-03, 1.70097183e-02
-1.77687290e-03, 1.70107391e-02
-1.77657255e-03, 1.70117579e-02
-1.77627220e-03, 1.70127805e-02
-1.77597185e-03, 1.70137994e-02
-1.77567150e-03, 1.70148183e-02
-1.77537114e-03, 1.70158409e-02
-1.77507079e-03, 1.70168616e-02
-1.77477044e-03, 1.70178805e-02
-1.77447009e-03, 1.70189012e-02
-1.77416974e-03, 1.70199238e-02
-1.77386939e-03, 1.70209408e-02
-1.77356903e-03, 1.70219634e-02
-1.77326868e-03, 1.70229841e-02
-1.77296833e-03, 1.70240048e-02
-1.77266798e-03, 1.70250256e-02
-1.77236763e-03, 1.70260463e-02
-1.77206728e-03, 1.70270652e-02
-1.77176693e-03, 1.70280859e-02
-1.77146657e-03, 1.70291066e-02
-1.77116622e-03, 1.70301273e-02
-1.77086587e-03, 1.70311481e-02
-1.77056552e-03, 1.70321688e-02
-1.77026517e-03, 1.70331877e-02
-1.76996482e-03, 1.70342084e-02
-1.76966446e-03, 1.70352310e-02
-1.76936411e-03, 1.70362517e-02
-1.76906376e-03, 1.70372706e-02
-1.76876341e-03, 1.70382913e-02
-1.76846306e-03, 1.70393120e-02
-1.76816271e-03, 1.70403309e-02
-1.76786236e-03, 1.70413535e-02
-1.76756200e-03, 1.70423742e-02
-1.76726165e-03, 1.70433931e-02
-1.76696130e-03, 1.70444138e-02
-1.76666095e-03, 1.70454327e-02
-1.76636060e-03, 1.70464553e-02
-1.76606025e-03, 1.70474760e-02
-1.76575989e-03, 1.70484968e-02
-1.76545954e-03, 1.70495175e-02
-1.76515919e-03, 1.70505363e-02
-1.76485884e-03, 1.70515589e-02
-1.76455849e-03, 1.70525797e-02
-1.76425814e-03, 1.70535985e-02
-1.76395779e-03, 1.70546211e-02
-1.76365743e-03, 1.70556400e-02
-1.76335708e-03, 1.70566626e-02
-1.76305673e-03, 1.70576815e-02
-1.76275638e-03, 1.70587022e-02
-1.76245603e-03, 1.70597229e-02
-1.76215568e-03, 1.70607436e-02
-1.76185532e-03, 1.70617662e-02
-1.76155497e-03, 1.70627851e-02
-1.76125462e-03, 1.70638040e-02
-1.76095427e-03, 1.70648284e-02
-1.76065392e-03, 1.70658454e-02
-1.76035357e-03, 1.70668680e-02
-1.76005322e-03, 1.70678869e-02
-1.75975286e-03, 1.70689076e-02
-1.75945251e-03, 1.70699302e-02
-1.75915216e-03, 1.70709491e-02
-1.75885181e-03, 1.70719717e-02
-1.75855146e-03, 1.70729905e-02
-1.75825111e-03, 1.70740131e-02
-1.75795075e-03, 1.70750339e-02
-1.75765040e-03, 1.70760527e-02
