[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 14

[Data]
X [ m ],Velocity [ m s^-1 ]
-2.09999993e-03, 1.58482436e-02
-2.09969957e-03, 1.58493966e-02
-2.09939922e-03, 1.58503130e-02
-2.09909887e-03, 1.58512332e-02
-2.09879852e-03, 1.58521496e-02
-2.09849817e-03, 1.58530641e-02
-2.09819782e-03, 1.58539806e-02
-2.09789746e-03, 1.58548970e-02
-2.09759711e-03, 1.58558134e-02
-2.09729676e-03, 1.58567298e-02
-2.09699641e-03, 1.58576481e-02
-2.09669606e-03, 1.58585627e-02
-2.09639571e-03, 1.58594809e-02
-2.09609536e-03, 1.58603992e-02
-2.09579500e-03, 1.58613138e-02
-2.09549465e-03, 1.58622321e-02
-2.09519430e-03, 1.58631485e-02
-2.09489395e-03, 1.58640649e-02
-2.09459360e-03, 1.58649795e-02
-2.09429325e-03, 1.58658978e-02
-2.09399289e-03, 1.58668142e-02
-2.09369254e-03, 1.58677306e-02
-2.09339219e-03, 1.58686489e-02
-2.09309184e-03, 1.58695653e-02
-2.09279149e-03, 1.58704817e-02
-2.09249114e-03, 1.58713963e-02
-2.09219079e-03, 1.58723146e-02
-2.09189043e-03, 1.58732291e-02
-2.09159008e-03, 1.58741474e-02
-2.09128973e-03, 1.58750638e-02
-2.09098938e-03, 1.58759803e-02
-2.09068903e-03, 1.58768985e-02
-2.09038868e-03, 1.58778131e-02
-2.09008832e-03, 1.58787314e-02
-2.08978797e-03, 1.58796459e-02
-2.08948762e-03, 1.58805642e-02
-2.08918727e-03, 1.58814806e-02
-2.08888692e-03, 1.58823971e-02
-2.08858657e-03, 1.58833135e-02
-2.08828622e-03, 1.58842318e-02
-2.08798586e-03, 1.58851463e-02
-2.08768551e-03, 1.58860646e-02
-2.08738516e-03, 1.58869829e-02
-2.08708481e-03, 1.58878975e-02
-2.08678446e-03, 1.58888139e-02
-2.08648411e-03, 1.58897303e-02
-2.08618375e-03, 1.58906467e-02
-2.08588340e-03, 1.58915650e-02
-2.08558305e-03, 1.58924814e-02
-2.08528270e-03, 1.58933979e-02
-2.08498235e-03, 1.58943143e-02
-2.08468200e-03, 1.58952307e-02
-2.08438165e-03, 1.58961490e-02
-2.08408129e-03, 1.58970654e-02
-2.08378094e-03, 1.58979800e-02
-2.08348059e-03, 1.58987455e-02
-2.08318024e-03, 1.59000643e-02
-2.08287989e-03, 1.59011465e-02
-2.08257954e-03, 1.59022324e-02
-2.08227918e-03, 1.59033164e-02
-2.08197883e-03, 1.59044024e-02
-2.08167848e-03, 1.59054864e-02
-2.08137813e-03, 1.59065686e-02
-2.08107778e-03, 1.59076545e-02
-2.08077743e-03, 1.59087386e-02
-2.08047708e-03, 1.59098245e-02
-2.08017672e-03, 1.59109086e-02
-2.07987637e-03, 1.59119908e-02
-2.07957602e-03, 1.59130748e-02
-2.07927567e-03, 1.59141608e-02
-2.07897532e-03, 1.59152448e-02
-2.07867497e-03, 1.59163289e-02
-2.07837461e-03, 1.59174148e-02
-2.07807426e-03, 1.59185007e-02
-2.07777391e-03, 1.59195829e-02
-2.07747356e-03, 1.59206670e-02
-2.07717321e-03, 1.59217529e-02
-2.07687286e-03, 1.59228370e-02
-2.07657251e-03, 1.59239210e-02
-2.07627215e-03, 1.59250051e-02
-2.07597180e-03, 1.59260929e-02
-2.07567145e-03, 1.59271751e-02
-2.07537110e-03, 1.59282591e-02
-2.07507075e-03, 1.59293432e-02
-2.07477040e-03, 1.59304291e-02
-2.07447005e-03, 1.59315132e-02
-2.07416969e-03, 1.59325972e-02
-2.07386934e-03, 1.59336813e-02
-2.07356899e-03, 1.59347653e-02
-2.07326864e-03, 1.59358513e-02
-2.07296829e-03, 1.59369335e-02
-2.07266794e-03, 1.59380194e-02
-2.07236758e-03, 1.59391053e-02
-2.07206723e-03, 1.59401875e-02
-2.07176688e-03, 1.59412734e-02
-2.07146653e-03, 1.59423575e-02
-2.07116618e-03, 1.59433112e-02
-2.07086583e-03, 1.59444828e-02
-2.07056548e-03, 1.59455296e-02
-2.07026512e-03, 1.59465764e-02
-2.06996477e-03, 1.59476232e-02
-2.06966442e-03, 1.59486700e-02
-2.06936407e-03, 1.59497168e-02
-2.06906372e-03, 1.59507636e-02
-2.06876337e-03, 1.59518085e-02
-2.06846301e-03, 1.59528553e-02
-2.06816266e-03, 1.59539040e-02
-2.06786231e-03, 1.59549452e-02
-2.06756196e-03, 1.59559939e-02
-2.06726161e-03, 1.59570407e-02
-2.06696126e-03, 1.59580875e-02
-2.06666091e-03, 1.59591343e-02
-2.06636055e-03, 1.59601774e-02
-2.06606020e-03, 1.59612261e-02
-2.06575985e-03, 1.59622729e-02
-2.06545950e-03, 1.59633178e-02
-2.06515915e-03, 1.59643665e-02
-2.06485880e-03, 1.59654114e-02
-2.06455844e-03, 1.59664601e-02
