[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 19

[Data]
X [ m ],Velocity [ m s^-1 ]
-6.00000028e-04, 2.01356299e-02
-5.99699735e-04, 2.01363023e-02
-5.99399442e-04, 2.01369766e-02
-5.99099149e-04, 2.01376528e-02
-5.98798855e-04, 2.01383233e-02
-5.98498562e-04, 2.01390013e-02
-5.98198269e-04, 2.01396719e-02
-5.97897975e-04, 2.01403480e-02
-5.97597682e-04, 2.01410223e-02
-5.97297389e-04, 2.01416984e-02
-5.96997095e-04, 2.01423727e-02
-5.96696802e-04, 2.01430451e-02
-5.96396509e-04, 2.01437194e-02
-5.96096215e-04, 2.01443937e-02
-5.95795922e-04, 2.01450698e-02
-5.95495629e-04, 2.01457441e-02
-5.95195335e-04, 2.01464165e-02
-5.94895042e-04, 2.01470926e-02
-5.94594749e-04, 2.01477669e-02
-5.94294455e-04, 2.01484375e-02
-5.93994162e-04, 2.01491136e-02
-5.93693869e-04, 2.01497898e-02
-5.93393575e-04, 2.01504640e-02
-5.93093282e-04, 2.01511383e-02
-5.92792989e-04, 2.01518107e-02
-5.92492695e-04, 2.01524850e-02
-5.92192402e-04, 2.01531611e-02
-5.91892109e-04, 2.01538373e-02
-5.91591815e-04, 2.01545097e-02
-5.91291522e-04, 2.01551840e-02
-5.90991229e-04, 2.01558582e-02
-5.90690935e-04, 2.01565325e-02
-5.90390642e-04, 2.01572068e-02
-5.90090349e-04, 2.01578829e-02
-5.89790056e-04, 2.01585554e-02
-5.89489762e-04, 2.01592296e-02
-5.89189469e-04, 2.01599039e-02
-5.88889176e-04, 2.01605782e-02
-5.88588882e-04, 2.01612543e-02
-5.88288589e-04, 2.01619286e-02
-5.87988296e-04, 2.01626010e-02
-5.87688002e-04, 2.01632772e-02
-5.87387709e-04, 2.01639514e-02
-5.87087416e-04, 2.01646239e-02
-5.86787122e-04, 2.01653000e-02
-5.86486829e-04, 2.01659743e-02
-5.86186536e-04, 2.01666467e-02
-5.85886242e-04, 2.01673228e-02
-5.85585949e-04, 2.01679971e-02
-5.85285656e-04, 2.01686732e-02
-5.84985362e-04, 2.01693475e-02
-5.84685069e-04, 2.01700218e-02
-5.84384776e-04, 2.01706942e-02
-5.84084482e-04, 2.01713666e-02
-5.83784189e-04, 2.01720446e-02
-5.83483896e-04, 2.01727170e-02
-5.83183602e-04, 2.01733932e-02
-5.82883309e-04, 2.01740675e-02
-5.82583016e-04, 2.01747417e-02
-5.82282722e-04, 2.01754160e-02
-5.81982429e-04, 2.01760903e-02
-5.81682136e-04, 2.01767646e-02
-5.81381842e-04, 2.01774389e-02
-5.81081549e-04, 2.01781150e-02
-5.80781256e-04, 2.01787874e-02
-5.80480963e-04, 2.01794636e-02
-5.80180669e-04, 2.01801378e-02
-5.79880376e-04, 2.01808102e-02
-5.79580083e-04, 2.01814864e-02
-5.79279789e-04, 2.01821607e-02
-5.78979496e-04, 2.01828349e-02
-5.78679203e-04, 2.01835092e-02
-5.78378909e-04, 2.01841835e-02
-5.78078616e-04, 2.01848578e-02
-5.77778323e-04, 2.01855320e-02
-5.77478029e-04, 2.01862082e-02
-5.77177736e-04, 2.01868806e-02
-5.76877443e-04, 2.01875567e-02
-5.76577149e-04, 2.01882310e-02
-5.76276856e-04, 2.01889034e-02
-5.75976563e-04, 2.01895814e-02
-5.75676269e-04, 2.01902539e-02
-5.75375976e-04, 2.01909300e-02
-5.75075683e-04, 2.01916043e-02
-5.74775389e-04, 2.01922785e-02
-5.74475096e-04, 2.01929528e-02
-5.74174803e-04, 2.01936252e-02
-5.73874509e-04, 2.01943032e-02
-5.73574216e-04, 2.01949757e-02
-5.73273923e-04, 2.01956499e-02
-5.72973629e-04, 2.01963279e-02
-5.72673336e-04, 2.01970004e-02
-5.72373043e-04, 2.01976746e-02
-5.72072749e-04, 2.01983470e-02
-5.71772456e-04, 2.01990232e-02
-5.71472163e-04, 2.01996975e-02
-5.71171870e-04, 2.02003717e-02
-5.70871576e-04, 2.02010479e-02
-5.70571283e-04, 2.02017203e-02
-5.70270990e-04, 2.02023983e-02
-5.69970696e-04, 2.02030670e-02
-5.69670403e-04, 2.02037469e-02
-5.69370110e-04, 2.02044193e-02
-5.69069816e-04, 2.02050917e-02
-5.68769523e-04, 2.02057697e-02
-5.68469230e-04, 2.02064440e-02
-5.68168936e-04, 2.02071182e-02
-5.67868643e-04, 2.02077925e-02
-5.67568350e-04, 2.02084687e-02
-5.67268056e-04, 2.02089865e-02
-5.66967763e-04, 2.02094782e-02
-5.66667470e-04, 2.02099755e-02
-5.66367176e-04, 2.02104691e-02
-5.66066883e-04, 2.02109609e-02
-5.65766590e-04, 2.02114526e-02
-5.65466296e-04, 2.02119481e-02
-5.65166003e-04, 2.02124435e-02
-5.64865710e-04, 2.02129353e-02
-5.64565416e-04, 2.02134307e-02
-5.64265123e-04, 2.02139225e-02
-5.63964830e-04, 2.02144179e-02
-5.63664536e-04, 2.02149097e-02
-5.63364243e-04, 2.02155337e-02
-5.63063950e-04, 2.02158969e-02
-5.62763656e-04, 2.02163886e-02
-5.62463363e-04, 2.02168785e-02
-5.62163070e-04, 2.02173684e-02
-5.61862777e-04, 2.02178620e-02
-5.61562483e-04, 2.02183519e-02
-5.61262190e-04, 2.02188436e-02
-5.60961897e-04, 2.02193353e-02
-5.60661603e-04, 2.02198233e-02
-5.60361310e-04, 2.02203151e-02
-5.60061017e-04, 2.02208068e-02
-5.59760723e-04, 2.02212986e-02
-5.59460430e-04, 2.02217903e-02
-5.59160137e-04, 2.02222802e-02
-5.58859843e-04, 2.02227738e-02
-5.58559550e-04, 2.02232618e-02
-5.58259257e-04, 2.02237535e-02
-5.57958963e-04, 2.02242471e-02
-5.57658670e-04, 2.02247370e-02
-5.57358377e-04, 2.02252306e-02
-5.57058083e-04, 2.02257205e-02
-5.56757790e-04, 2.02262104e-02
-5.56457497e-04, 2.02267040e-02
-5.56157203e-04, 2.02271938e-02
-5.55856910e-04, 2.02276856e-02
-5.55556617e-04, 2.02281754e-02
-5.55256323e-04, 2.02286690e-02
-5.54956030e-04, 2.02291608e-02
-5.54655737e-04, 2.02296507e-02
-5.54355443e-04, 2.02301405e-02
-5.54055150e-04, 2.02306341e-02
-5.53754857e-04, 2.02311240e-02
-5.53454563e-04, 2.02316158e-02
-5.53154270e-04, 2.02321075e-02
-5.52853977e-04, 2.02326011e-02
-5.52553684e-04, 2.02330872e-02
-5.52253390e-04, 2.02335827e-02
-5.51953097e-04, 2.02340763e-02
-5.51652804e-04, 2.02345643e-02
-5.51352510e-04, 2.02350579e-02
-5.51052217e-04, 2.02355478e-02
-5.50751924e-04, 2.02360377e-02
-5.50451630e-04, 2.02365313e-02
-5.50151337e-04, 2.02370249e-02
-5.49851044e-04, 2.02375166e-02
-5.49550750e-04, 2.02380046e-02
-5.49250457e-04, 2.02384982e-02
-5.48950164e-04, 2.02389881e-02
-5.48649870e-04, 2.02394798e-02
-5.48349577e-04, 2.02399697e-02
-5.48049284e-04, 2.02404615e-02
-5.47748990e-04, 2.02409551e-02
-5.47448697e-04, 2.02414505e-02
-5.47148404e-04, 2.02419367e-02
-5.46848110e-04, 2.02424321e-02
-5.46547817e-04, 2.02429201e-02
-5.46247524e-04, 2.02434137e-02
-5.45947230e-04, 2.02439073e-02
-5.45646937e-04, 2.02443972e-02
-5.45346644e-04, 2.02448890e-02
-5.45046350e-04, 2.02453826e-02
-5.44746057e-04, 2.02458706e-02
-5.44445764e-04, 2.02463642e-02
-5.44145470e-04, 2.02468559e-02
-5.43845177e-04, 2.02473458e-02
-5.43544884e-04, 2.02478375e-02
-5.43244591e-04, 2.02483311e-02
-5.42944297e-04, 2.02488229e-02
-5.42644004e-04, 2.02493165e-02
-5.42343711e-04, 2.02498082e-02
-5.42043417e-04, 2.02502981e-02
-5.41743124e-04, 2.02507917e-02
-5.41442831e-04, 2.02512816e-02
-5.41142537e-04, 2.02517733e-02
-5.40842244e-04, 2.02522669e-02
-5.40541951e-04, 2.02527568e-02
-5.40241657e-04, 2.02532504e-02
-5.39941364e-04, 2.02537421e-02
-5.39641071e-04, 2.02542339e-02
-5.39340777e-04, 2.02547256e-02
-5.39040484e-04, 2.02552192e-02
-5.38740191e-04, 2.02557091e-02
-5.38439897e-04, 2.02562027e-02
-5.38139604e-04, 2.02566925e-02
-5.37839311e-04, 2.02571861e-02
-5.37539017e-04, 2.02576779e-02
-5.37238724e-04, 2.02581696e-02
