[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 17

[Data]
X [ m ],Velocity [ m s^-1 ]
-1.20000006e-03, 1.87421367e-02
-1.19969971e-03, 1.87428277e-02
-1.19939935e-03, 1.87435169e-02
-1.19909900e-03, 1.87442079e-02
-1.19879865e-03, 1.87448990e-02
-1.19849830e-03, 1.87455881e-02
-1.19819795e-03, 1.87462773e-02
-1.19789760e-03, 1.87469702e-02
-1.19759724e-03, 1.87476594e-02
-1.19729689e-03, 1.87483504e-02
-1.19699654e-03, 1.87490433e-02
-1.19669619e-03, 1.87497288e-02
-1.19639584e-03, 1.87504198e-02
-1.19609549e-03, 1.87511109e-02
-1.19579514e-03, 1.87518019e-02
-1.19549478e-03, 1.87524930e-02
-1.19519443e-03, 1.87531859e-02
-1.19489408e-03, 1.87538750e-02
-1.19459373e-03, 1.87545680e-02
-1.19429338e-03, 1.87552553e-02
-1.19399303e-03, 1.87559463e-02
-1.19369267e-03, 1.87566373e-02
-1.19339232e-03, 1.87573284e-02
-1.19309197e-03, 1.87580176e-02
-1.19279162e-03, 1.87587086e-02
-1.19249127e-03, 1.87593997e-02
-1.19219092e-03, 1.87600888e-02
-1.19189057e-03, 1.87607799e-02
-1.19159021e-03, 1.87614691e-02
-1.19128986e-03, 1.87621601e-02
-1.19098951e-03, 1.87628511e-02
-1.19068916e-03, 1.87635422e-02
-1.19038881e-03, 1.87642332e-02
-1.19008846e-03, 1.87649243e-02
-1.18978810e-03, 1.87656153e-02
-1.18948775e-03, 1.87663063e-02
-1.18918740e-03, 1.87669937e-02
-1.18888705e-03, 1.87676847e-02
-1.18858670e-03, 1.87683757e-02
-1.18828635e-03, 1.87690668e-02
-1.18798600e-03, 1.87697578e-02
-1.18768564e-03, 1.87704489e-02
-1.18738529e-03, 1.87711399e-02
-1.18708494e-03, 1.87718309e-02
-1.18678459e-03, 1.87725201e-02
-1.18648424e-03, 1.87732093e-02
-1.18618389e-03, 1.87738985e-02
-1.18588354e-03, 1.87745895e-02
-1.18558318e-03, 1.87752824e-02
-1.18528283e-03, 1.87759716e-02
-1.18498248e-03, 1.87766626e-02
-1.18468213e-03, 1.87773537e-02
-1.18438178e-03, 1.87780075e-02
-1.18408143e-03, 1.87790692e-02
-1.18378107e-03, 1.87801290e-02
-1.18348072e-03, 1.87811889e-02
-1.18318037e-03, 1.87822506e-02
-1.18288002e-03, 1.87833104e-02
-1.18257967e-03, 1.87843721e-02
-1.18227932e-03, 1.87854338e-02
-1.18197897e-03, 1.87864937e-02
-1.18167861e-03, 1.87875535e-02
-1.18137826e-03, 1.87886171e-02
-1.18107791e-03, 1.87896769e-02
-1.18077756e-03, 1.87907387e-02
-1.18047721e-03, 1.87918097e-02
-1.18017686e-03, 1.87928844e-02
-1.17987650e-03, 1.87939554e-02
-1.17957615e-03, 1.87950302e-02
-1.17927580e-03, 1.87961031e-02
-1.17897545e-03, 1.87971815e-02
-1.17867510e-03, 1.87982507e-02
-1.17837475e-03, 1.87993273e-02
-1.17807440e-03, 1.88004002e-02
-1.17777404e-03, 1.88014712e-02
-1.17747369e-03, 1.88025478e-02
-1.17717334e-03, 1.88036207e-02
-1.17687299e-03, 1.88046936e-02
-1.17657264e-03, 1.88057683e-02
-1.17627229e-03, 1.88068412e-02
-1.17597193e-03, 1.88079160e-02
-1.17567158e-03, 1.88089907e-02
-1.17537123e-03, 1.88100636e-02
-1.17507088e-03, 1.88111383e-02
-1.17477053e-03, 1.88122112e-02
-1.17447018e-03, 1.88132841e-02
-1.17416983e-03, 1.88143607e-02
-1.17386947e-03, 1.88154336e-02
-1.17356912e-03, 1.88165065e-02
-1.17326877e-03, 1.88175812e-02
-1.17296842e-03, 1.88186541e-02
-1.17266807e-03, 1.88197307e-02
-1.17236772e-03, 1.88206714e-02
-1.17206736e-03, 1.88216977e-02
-1.17176701e-03, 1.88226216e-02
-1.17146666e-03, 1.88235454e-02
-1.17116631e-03, 1.88244693e-02
-1.17086596e-03, 1.88253932e-02
-1.17056561e-03, 1.88263170e-02
-1.17026526e-03, 1.88272428e-02
-1.16996490e-03, 1.88281648e-02
-1.16966455e-03, 1.88290887e-02
-1.16936420e-03, 1.88300125e-02
-1.16906385e-03, 1.88309345e-02
-1.16876350e-03, 1.88318584e-02
-1.16846315e-03, 1.88327823e-02
-1.16816279e-03, 1.88337080e-02
-1.16786244e-03, 1.88346282e-02
-1.16756209e-03, 1.88355520e-02
-1.16726174e-03, 1.88364759e-02
-1.16696139e-03, 1.88374016e-02
-1.16666104e-03, 1.88383255e-02
-1.16636069e-03, 1.88392494e-02
-1.16606033e-03, 1.88401733e-02
-1.16575998e-03, 1.88410990e-02
-1.16545963e-03, 1.88420210e-02
-1.16515928e-03, 1.88429449e-02
-1.16485893e-03, 1.88438687e-02
-1.16455858e-03, 1.88447945e-02
-1.16425822e-03, 1.88457184e-02
-1.16395787e-03, 1.88466422e-02
-1.16365752e-03, 1.88475661e-02
-1.16335717e-03, 1.88484918e-02
-1.16305682e-03, 1.88494138e-02
-1.16275647e-03, 1.88503396e-02
-1.16245612e-03, 1.88512616e-02
-1.16215576e-03, 1.88521855e-02
-1.16185541e-03, 1.88531112e-02
-1.16155506e-03, 1.88540351e-02
-1.16125471e-03, 1.88549608e-02
-1.16095436e-03, 1.88558809e-02
-1.16065401e-03, 1.88568085e-02
-1.16035365e-03, 1.88577306e-02
-1.16005330e-03, 1.88586563e-02
-1.15975295e-03, 1.88595802e-02
-1.15945260e-03, 1.88605040e-02
-1.15915225e-03, 1.88614279e-02
-1.15885190e-03, 1.88623536e-02
-1.15855155e-03, 1.88632775e-02
-1.15825119e-03, 1.88642032e-02
-1.15795084e-03, 1.88651271e-02
-1.15765049e-03, 1.88660510e-02
-1.15735014e-03, 1.88669767e-02
-1.15704979e-03, 1.88679006e-02
-1.15674944e-03, 1.88688245e-02
-1.15644909e-03, 1.88697502e-02
-1.15614873e-03, 1.88706722e-02
-1.15584838e-03, 1.88715998e-02
-1.15554803e-03, 1.88725237e-02
-1.15524768e-03, 1.88734476e-02
-1.15494733e-03, 1.88743733e-02
-1.15464698e-03, 1.88752972e-02
-1.15434662e-03, 1.88762229e-02
-1.15404627e-03, 1.88771468e-02
-1.15374592e-03, 1.88780744e-02
-1.15344557e-03, 1.88789945e-02
-1.15314522e-03, 1.88799202e-02
-1.15284487e-03, 1.88808460e-02
-1.15254452e-03, 1.88817717e-02
-1.15224416e-03, 1.88826937e-02
-1.15194381e-03, 1.88836195e-02
-1.15164346e-03, 1.88845452e-02
-1.15134311e-03, 1.88854709e-02
-1.15104276e-03, 1.88863967e-02
-1.15074241e-03, 1.88873187e-02
-1.15044205e-03, 1.88882463e-02
-1.15014170e-03, 1.88891701e-02
-1.14984135e-03, 1.88900959e-02
-1.14954100e-03, 1.88910197e-02
-1.14924065e-03, 1.88919436e-02
-1.14894030e-03, 1.88931525e-02
-1.14863995e-03, 1.88937988e-02
-1.14833959e-03, 1.88947357e-02
-1.14803924e-03, 1.88956689e-02
-1.14773889e-03, 1.88966021e-02
-1.14743854e-03, 1.88975353e-02
-1.14713819e-03, 1.88984722e-02
-1.14683784e-03, 1.88994072e-02
-1.14653748e-03, 1.89003423e-02
-1.14623713e-03, 1.89012755e-02
-1.14593678e-03, 1.89022124e-02
-1.14563643e-03, 1.89031474e-02
-1.14533608e-03, 1.89040843e-02
-1.14503573e-03, 1.89050194e-02
-1.14473538e-03, 1.89059526e-02
-1.14443502e-03, 1.89068876e-02
-1.14413467e-03, 1.89078245e-02
-1.14383432e-03, 1.89087614e-02
-1.14353397e-03, 1.89096928e-02
-1.14323362e-03, 1.89106278e-02
-1.14293327e-03, 1.89115629e-02
-1.14263291e-03, 1.89124998e-02
-1.14233256e-03, 1.89134348e-02
-1.14203221e-03, 1.89143699e-02
-1.14173186e-03, 1.89153049e-02
-1.14143151e-03, 1.89162418e-02
-1.14113116e-03, 1.89171769e-02
-1.14083081e-03, 1.89181101e-02
-1.14053045e-03, 1.89190470e-02
-1.14023010e-03, 1.89199802e-02
-1.13992975e-03, 1.89209171e-02
-1.13962940e-03, 1.89218558e-02
-1.13932905e-03, 1.89227909e-02
-1.13902870e-03, 1.89237241e-02
-1.13872834e-03, 1.89246628e-02
-1.13842799e-03, 1.89256035e-02
-1.13812764e-03, 1.89265404e-02
-1.13782729e-03, 1.89274792e-02
-1.13752694e-03, 1.89284179e-02
-1.13722659e-03, 1.89293548e-02
-1.13692624e-03, 1.89302936e-02
-1.13662588e-03, 1.89312343e-02
-1.13632553e-03, 1.89321730e-02
-1.13602518e-03, 1.89331099e-02
-1.13572483e-03, 1.89340487e-02
-1.13542448e-03, 1.89349893e-02
-1.13512413e-03, 1.89359281e-02
-1.13482377e-03, 1.89368650e-02
-1.13452342e-03, 1.89378057e-02
-1.13422307e-03, 1.89387444e-02
-1.13392272e-03, 1.89396832e-02
-1.13362237e-03, 1.89406220e-02
-1.13332202e-03, 1.89415626e-02
-1.13302167e-03, 1.89425014e-02
-1.13272131e-03, 1.89434383e-02
-1.13242096e-03, 1.89443789e-02
-1.13212061e-03, 1.89453177e-02
-1.13182026e-03, 1.89462584e-02
-1.13151991e-03, 1.89471953e-02
-1.13121956e-03, 1.89481359e-02
-1.13091921e-03, 1.89490747e-02
-1.13061885e-03, 1.89500134e-02
-1.13031850e-03, 1.89509541e-02
-1.13001815e-03, 1.89518929e-02
-1.12971780e-03, 1.89528316e-02
-1.12941745e-03, 1.89537704e-02
-1.12911710e-03, 1.89547110e-02
-1.12881674e-03, 1.89556498e-02
-1.12851639e-03, 1.89565904e-02
-1.12821604e-03, 1.89575292e-02
-1.12791569e-03, 1.89584699e-02
-1.12761534e-03, 1.89594068e-02
-1.12731499e-03, 1.89603474e-02
-1.12701464e-03, 1.89612880e-02
-1.12671428e-03, 1.89622268e-02
-1.12641393e-03, 1.89631656e-02
-1.12611358e-03, 1.89641062e-02
-1.12581323e-03, 1.89650450e-02
-1.12551288e-03, 1.89659838e-02
-1.12521253e-03, 1.89669263e-02
-1.12491217e-03, 1.89678650e-02
-1.12461182e-03, 1.89688038e-02
-1.12431147e-03, 1.89697426e-02
-1.12401112e-03, 1.89706851e-02
-1.12371077e-03, 1.89716220e-02
-1.12341042e-03, 1.89725608e-02
-1.12311007e-03, 1.89735033e-02
-1.12280971e-03, 1.89744439e-02
-1.12250936e-03, 1.89753808e-02
-1.12220901e-03, 1.89763214e-02
-1.12190866e-03, 1.89772639e-02
-1.12160831e-03, 1.89782027e-02
-1.12130796e-03, 1.89791415e-02
-1.12100760e-03, 1.89800821e-02
-1.12070725e-03, 1.89810228e-02
-1.12040690e-03, 1.89819615e-02
-1.12010655e-03, 1.89829022e-02
-1.11980620e-03, 1.89838409e-02
-1.11950585e-03, 1.89847816e-02
-1.11920550e-03, 1.89857222e-02
-1.11890514e-03, 1.89866628e-02
-1.11860479e-03, 1.89876035e-02
-1.11830444e-03, 1.89885423e-02
-1.11800409e-03, 1.89894829e-02
-1.11770374e-03, 1.89904235e-02
-1.11740339e-03, 1.89913642e-02
-1.11710303e-03, 1.89923029e-02
-1.11680268e-03, 1.89932436e-02
-1.11650233e-03, 1.89941842e-02
-1.11620198e-03, 1.89951230e-02
-1.11590163e-03, 1.89960655e-02
-1.11560128e-03, 1.89970061e-02
-1.11530093e-03, 1.89979449e-02
-1.11500057e-03, 1.89988837e-02
-1.11470022e-03, 1.89998280e-02
-1.11439987e-03, 1.90007668e-02
-1.11409952e-03, 1.90017074e-02
-1.11379917e-03, 1.90026481e-02
-1.11349882e-03, 1.90035887e-02
-1.11319846e-03, 1.90045275e-02
-1.11289811e-03, 1.90054681e-02
-1.11259776e-03, 1.90064106e-02
-1.11229741e-03, 1.90073494e-02
-1.11199706e-03, 1.90082900e-02
-1.11169671e-03, 1.90092325e-02
-1.11139636e-03, 1.90101732e-02
-1.11109600e-03, 1.90111119e-02
-1.11079565e-03, 1.90120544e-02
-1.11049530e-03, 1.90129932e-02
-1.11019495e-03, 1.90139357e-02
-1.10989460e-03, 1.90148745e-02
-1.10959425e-03, 1.90158170e-02
-1.10929389e-03, 1.90167576e-02
-1.10899354e-03, 1.90176964e-02
-1.10869319e-03, 1.90186407e-02
-1.10839284e-03, 1.90195795e-02
-1.10809249e-03, 1.90205202e-02
-1.10779214e-03, 1.90214608e-02
-1.10749179e-03, 1.90224033e-02
-1.10719143e-03, 1.90233439e-02
-1.10689108e-03, 1.90242827e-02
-1.10659073e-03, 1.90252252e-02
-1.10629038e-03, 1.90261658e-02
-1.10599003e-03, 1.90271065e-02
-1.10568968e-03, 1.90280471e-02
-1.10538932e-03, 1.90289896e-02
-1.10508897e-03, 1.90299302e-02
-1.10478862e-03, 1.90308690e-02
-1.10448827e-03, 1.90318134e-02
-1.10418792e-03, 1.90327540e-02
-1.10388757e-03, 1.90336946e-02
-1.10358722e-03, 1.90346353e-02
-1.10328686e-03, 1.90355759e-02
-1.10298651e-03, 1.90365165e-02
-1.10268616e-03, 1.90374590e-02
-1.10238581e-03, 1.90384015e-02
-1.10208546e-03, 1.90393422e-02
-1.10178511e-03, 1.90402810e-02
-1.10148476e-03, 1.90412235e-02
-1.10118440e-03, 1.90421659e-02
-1.10088405e-03, 1.90431084e-02
-1.10058370e-03, 1.90437790e-02
-1.10028335e-03, 1.90446619e-02
-1.09998300e-03, 1.90453567e-02
-1.09968265e-03, 1.90460552e-02
-1.09938229e-03, 1.90467518e-02
-1.09908194e-03, 1.90474465e-02
-1.09878159e-03, 1.90481450e-02
-1.09848124e-03, 1.90488417e-02
-1.09818089e-03, 1.90495383e-02
-1.09788054e-03, 1.90502368e-02
-1.09758019e-03, 1.90509316e-02
-1.09727983e-03, 1.90516263e-02
-1.09697948e-03, 1.90523248e-02
-1.09667913e-03, 1.90530214e-02
-1.09637878e-03, 1.90537181e-02
-1.09607843e-03, 1.90544128e-02
-1.09577808e-03, 1.90551113e-02
-1.09547772e-03, 1.90558061e-02
-1.09517737e-03, 1.90565027e-02
-1.09487702e-03, 1.90572012e-02
-1.09457667e-03, 1.90578960e-02
-1.09427632e-03, 1.90585945e-02
-1.09397597e-03, 1.90594941e-02
-1.09367562e-03, 1.90600324e-02
-1.09337526e-03, 1.90607589e-02
-1.09307491e-03, 1.90614872e-02
-1.09277456e-03, 1.90622155e-02
-1.09247421e-03, 1.90629419e-02
-1.09217386e-03, 1.90636702e-02
-1.09187351e-03, 1.90643966e-02
-1.09157315e-03, 1.90651249e-02
-1.09127280e-03, 1.90658532e-02
-1.09097245e-03, 1.90665796e-02
-1.09067210e-03, 1.90673079e-02
-1.09037175e-03, 1.90680362e-02
-1.09007140e-03, 1.90687645e-02
-1.08977105e-03, 1.90694928e-02
-1.08947069e-03, 1.90702211e-02
-1.08917034e-03, 1.90709494e-02
-1.08886999e-03, 1.90716758e-02
-1.08856964e-03, 1.90724041e-02
-1.08826929e-03, 1.90731324e-02
-1.08796894e-03, 1.90738589e-02
-1.08766858e-03, 1.90745872e-02
-1.08736823e-03, 1.90753173e-02
-1.08706788e-03, 1.90760437e-02
-1.08676753e-03, 1.90767720e-02
-1.08646718e-03, 1.90774985e-02
-1.08616683e-03, 1.90782305e-02
-1.08586648e-03, 1.90789551e-02
-1.08556612e-03, 1.90796852e-02
-1.08526577e-03, 1.90804116e-02
-1.08496542e-03, 1.90811399e-02
-1.08466507e-03, 1.90818682e-02
-1.08436472e-03, 1.90825984e-02
-1.08406437e-03, 1.90833211e-02
-1.08376401e-03, 1.90840531e-02
-1.08346366e-03, 1.90847777e-02
-1.08316331e-03, 1.90855078e-02
-1.08286296e-03, 1.90862361e-02
-1.08256261e-03, 1.90869644e-02
-1.08226226e-03, 1.90876927e-02
-1.08196191e-03, 1.90884210e-02
-1.08166155e-03, 1.90891493e-02
-1.08136120e-03, 1.90898776e-02
-1.08106085e-03, 1.90906040e-02
-1.08076050e-03, 1.90913342e-02
-1.08046015e-03, 1.90920625e-02
-1.08015980e-03, 1.90927908e-02
-1.07985944e-03, 1.90935191e-02
-1.07955909e-03, 1.90942455e-02
-1.07925874e-03, 1.90949738e-02
-1.07895839e-03, 1.90957021e-02
-1.07865804e-03, 1.90964285e-02
-1.07835769e-03, 1.90971587e-02
-1.07805734e-03, 1.90978851e-02
-1.07775698e-03, 1.90986153e-02
-1.07745663e-03, 1.90993436e-02
-1.07715628e-03, 1.91000719e-02
-1.07685593e-03, 1.91008002e-02
-1.07655558e-03, 1.91015285e-02
-1.07625523e-03, 1.91022567e-02
-1.07595487e-03, 1.91029850e-02
-1.07565452e-03, 1.91037152e-02
-1.07535417e-03, 1.91044398e-02
-1.07505382e-03, 1.91051681e-02
-1.07475347e-03, 1.91058964e-02
-1.07445312e-03, 1.91066265e-02
-1.07415277e-03, 1.91073529e-02
-1.07385241e-03, 1.91080831e-02
-1.07355206e-03, 1.91088095e-02
-1.07325171e-03, 1.91095378e-02
-1.07295136e-03, 1.91102661e-02
-1.07265101e-03, 1.91109981e-02
-1.07235066e-03, 1.91117246e-02
-1.07205031e-03, 1.91124547e-02
-1.07174995e-03, 1.91131812e-02
-1.07144960e-03, 1.91139113e-02
-1.07114925e-03, 1.91146396e-02
-1.07084890e-03, 1.91153679e-02
-1.07054855e-03, 1.91160943e-02
-1.07024820e-03, 1.91168245e-02
-1.06994784e-03, 1.91175528e-02
-1.06964749e-03, 1.91183742e-02
-1.06934714e-03, 1.91188771e-02
-1.06904679e-03, 1.91193856e-02
-1.06874644e-03, 1.91198923e-02
-1.06844609e-03, 1.91204026e-02
