[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 16

[Data]
X [ m ],Velocity [ m s^-1 ]
-1.50000001e-03, 1.78179089e-02
-1.49969966e-03, 1.78191178e-02
-1.49939931e-03, 1.78203247e-02
-1.49909896e-03, 1.78215336e-02
-1.49879861e-03, 1.78227443e-02
-1.49849826e-03, 1.78239532e-02
-1.49819790e-03, 1.78251602e-02
-1.49789755e-03, 1.78263690e-02
-1.49759720e-03, 1.78275779e-02
-1.49729685e-03, 1.78287867e-02
-1.49699650e-03, 1.78299975e-02
-1.49669615e-03, 1.78312045e-02
-1.49639579e-03, 1.78324152e-02
-1.49609544e-03, 1.78336203e-02
-1.49579509e-03, 1.78348310e-02
-1.49549474e-03, 1.78360399e-02
-1.49519439e-03, 1.78372487e-02
-1.49489404e-03, 1.78384576e-02
-1.49459369e-03, 1.78396646e-02
-1.49429333e-03, 1.78408753e-02
-1.49399298e-03, 1.78420842e-02
-1.49369263e-03, 1.78432949e-02
-1.49339228e-03, 1.78445037e-02
-1.49309193e-03, 1.78457107e-02
-1.49279158e-03, 1.78469215e-02
-1.49249122e-03, 1.78481303e-02
-1.49219087e-03, 1.78493410e-02
-1.49189052e-03, 1.78505480e-02
-1.49159017e-03, 1.78517569e-02
-1.49128982e-03, 1.78529657e-02
-1.49098947e-03, 1.78541746e-02
-1.49068912e-03, 1.78553853e-02
-1.49038876e-03, 1.78565923e-02
-1.49008841e-03, 1.78578030e-02
-1.48978806e-03, 1.78590119e-02
-1.48948771e-03, 1.78602207e-02
-1.48918736e-03, 1.78614296e-02
-1.48888701e-03, 1.78626385e-02
-1.48858665e-03, 1.78638473e-02
-1.48828630e-03, 1.78650562e-02
-1.48798595e-03, 1.78662650e-02
-1.48768560e-03, 1.78674776e-02
-1.48738525e-03, 1.78686846e-02
-1.48708490e-03, 1.78698935e-02
-1.48678455e-03, 1.78711042e-02
-1.48648419e-03, 1.78723130e-02
-1.48618384e-03, 1.78735238e-02
-1.48588349e-03, 1.78747326e-02
-1.48558314e-03, 1.78759396e-02
-1.48528279e-03, 1.78771485e-02
-1.48498244e-03, 1.78783573e-02
-1.48468208e-03, 1.78795680e-02
-1.48438173e-03, 1.78807788e-02
-1.48408138e-03, 1.78819858e-02
-1.48378103e-03, 1.78831965e-02
-1.48348068e-03, 1.78844053e-02
-1.48318033e-03, 1.78856160e-02
-1.48287998e-03, 1.78868249e-02
-1.48257962e-03, 1.78880338e-02
-1.48227927e-03, 1.78892408e-02
-1.48197892e-03, 1.78904515e-02
-1.48167857e-03, 1.78916641e-02
-1.48137822e-03, 1.78928748e-02
-1.48107787e-03, 1.78940818e-02
-1.48077752e-03, 1.78952906e-02
-1.48047716e-03, 1.78965013e-02
-1.48017681e-03, 1.78977102e-02
-1.47987646e-03, 1.78989209e-02
-1.47957611e-03, 1.79001279e-02
-1.47927576e-03, 1.79013386e-02
-1.47897541e-03, 1.79025475e-02
-1.47867505e-03, 1.79037564e-02
-1.47837470e-03, 1.79049689e-02
-1.47807435e-03, 1.79061759e-02
-1.47777400e-03, 1.79073885e-02
-1.47747365e-03, 1.79085415e-02
-1.47717330e-03, 1.79096125e-02
-1.47687295e-03, 1.79106425e-02
-1.47657259e-03, 1.79116800e-02
-1.47627224e-03, 1.79127119e-02
-1.47597189e-03, 1.79137439e-02
-1.47567154e-03, 1.79147776e-02
-1.47537119e-03, 1.79158133e-02
-1.47507084e-03, 1.79168470e-02
-1.47477048e-03, 1.79178808e-02
-1.47447013e-03, 1.79189127e-02
-1.47416978e-03, 1.79199465e-02
-1.47386943e-03, 1.79209802e-02
-1.47356908e-03, 1.79220159e-02
-1.47326873e-03, 1.79230496e-02
-1.47296838e-03, 1.79240834e-02
-1.47266802e-03, 1.79251172e-02
-1.47236767e-03, 1.79261509e-02
-1.47206732e-03, 1.79271866e-02
-1.47176697e-03, 1.79282185e-02
-1.47146662e-03, 1.79292504e-02
-1.47116627e-03, 1.79302841e-02
-1.47086591e-03, 1.79313198e-02
-1.47056556e-03, 1.79323554e-02
-1.47026521e-03, 1.79333873e-02
-1.46996486e-03, 1.79344211e-02
-1.46966451e-03, 1.79354567e-02
-1.46936416e-03, 1.79364905e-02
-1.46906381e-03, 1.79375224e-02
-1.46876345e-03, 1.79385561e-02
-1.46846310e-03, 1.79395918e-02
-1.46816275e-03, 1.79406255e-02
-1.46786240e-03, 1.79416612e-02
-1.46756205e-03, 1.79426949e-02
