[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 13

[Data]
X [ m ],Velocity [ m s^-1 ]
-2.40000011e-03, 1.47170024e-02
-2.39969976e-03, 1.47182634e-02
-2.39939941e-03, 1.47195235e-02
-2.39909906e-03, 1.47207845e-02
-2.39879871e-03, 1.47214439e-02
-2.39849836e-03, 1.47232199e-02
-2.39819800e-03, 1.47244195e-02
-2.39789765e-03, 1.47256227e-02
-2.39759730e-03, 1.47268232e-02
-2.39729695e-03, 1.47280265e-02
-2.39699660e-03, 1.47292269e-02
-2.39669625e-03, 1.47304274e-02
-2.39639590e-03, 1.47316307e-02
-2.39609554e-03, 1.47328330e-02
-2.39579519e-03, 1.47340344e-02
-2.39549484e-03, 1.47352358e-02
-2.39519449e-03, 1.47364382e-02
-2.39489414e-03, 1.47376396e-02
-2.39459379e-03, 1.47388410e-02
-2.39429343e-03, 1.47400433e-02
-2.39399308e-03, 1.47412438e-02
-2.39369273e-03, 1.47424461e-02
-2.39339238e-03, 1.47436457e-02
-2.39309203e-03, 1.47448499e-02
-2.39279168e-03, 1.47460504e-02
-2.39249133e-03, 1.47472536e-02
-2.39219097e-03, 1.47484550e-02
-2.39189062e-03, 1.47496564e-02
-2.39159027e-03, 1.47508578e-02
-2.39128992e-03, 1.47520583e-02
-2.39098957e-03, 1.47532616e-02
-2.39068922e-03, 1.47544639e-02
-2.39038887e-03, 1.47556625e-02
-2.39008851e-03, 1.47568677e-02
-2.38978816e-03, 1.47580681e-02
-2.38948781e-03, 1.47592695e-02
-2.38918746e-03, 1.47604719e-02
-2.38888711e-03, 1.47616751e-02
-2.38858676e-03, 1.47628756e-02
-2.38828640e-03, 1.47640770e-02
-2.38798605e-03, 1.47652775e-02
-2.38768570e-03, 1.47664798e-02
-2.38738535e-03, 1.47676812e-02
-2.38708500e-03, 1.47688827e-02
-2.38678465e-03, 1.47700859e-02
-2.38648430e-03, 1.47712883e-02
-2.38618394e-03, 1.47724887e-02
-2.38588359e-03, 1.47736920e-02
-2.38558324e-03, 1.47748925e-02
-2.38528289e-03, 1.47760939e-02
-2.38498254e-03, 1.47772962e-02
-2.38468219e-03, 1.47784967e-02
-2.38438183e-03, 1.47796990e-02
-2.38408148e-03, 1.47809004e-02
-2.38378113e-03, 1.47821028e-02
-2.38348078e-03, 1.47833042e-02
-2.38318043e-03, 1.47845065e-02
-2.38288008e-03, 1.47857089e-02
-2.38257973e-03, 1.47869093e-02
-2.38227937e-03, 1.47881117e-02
