[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 20

[Data]
X [ m ],Velocity [ m s^-1 ]
-3.00000014e-04, 2.05149781e-02
-2.99699721e-04, 2.05152910e-02
-2.99399428e-04, 2.05156021e-02
-2.99099134e-04, 2.05159150e-02
-2.98798841e-04, 2.05162298e-02
-2.98498548e-04, 2.05165427e-02
-2.98198254e-04, 2.05168538e-02
-2.97897961e-04, 2.05171667e-02
-2.97597668e-04, 2.05174778e-02
-2.97297374e-04, 2.05177907e-02
-2.96997081e-04, 2.05181018e-02
-2.96696788e-04, 2.05184165e-02
-2.96396494e-04, 2.05187276e-02
-2.96096201e-04, 2.05190387e-02
-2.95795908e-04, 2.05193516e-02
-2.95495614e-04, 2.05196645e-02
-2.95195321e-04, 2.05199774e-02
-2.94895028e-04, 2.05202885e-02
-2.94594734e-04, 2.05206033e-02
-2.94294441e-04, 2.05209143e-02
-2.93994148e-04, 2.05212291e-02
-2.93693854e-04, 2.05215402e-02
-2.93393561e-04, 2.05218531e-02
-2.93093268e-04, 2.05221642e-02
-2.92792975e-04, 2.05224771e-02
-2.92492681e-04, 2.05227919e-02
-2.92192388e-04, 2.05231011e-02
-2.91892095e-04, 2.05234159e-02
-2.91591801e-04, 2.05237269e-02
-2.91291508e-04, 2.05240417e-02
-2.90991215e-04, 2.05243528e-02
-2.90690921e-04, 2.05246657e-02
-2.90390628e-04, 2.05249786e-02
-2.90090335e-04, 2.05252897e-02
-2.89790041e-04, 2.05256026e-02
-2.89489748e-04, 2.05259155e-02
-2.89189455e-04, 2.05262303e-02
-2.88889161e-04, 2.05265414e-02
-2.88588868e-04, 2.05268543e-02
-2.88288575e-04, 2.05271672e-02
-2.87988281e-04, 2.05274783e-02
-2.87687988e-04, 2.05277912e-02
-2.87387695e-04, 2.05281042e-02
-2.87087401e-04, 2.05284171e-02
-2.86787108e-04, 2.05287300e-02
-2.86486815e-04, 2.05290411e-02
-2.86186521e-04, 2.05293559e-02
-2.85886228e-04, 2.05296688e-02
-2.85585935e-04, 2.05299798e-02
-2.85285641e-04, 2.05302946e-02
-2.84985348e-04, 2.05306057e-02
-2.84685055e-04, 2.05309168e-02
-2.84384761e-04, 2.05312334e-02
-2.84084468e-04, 2.05315426e-02
-2.83784175e-04, 2.05318574e-02
-2.83483882e-04, 2.05321703e-02
-2.83183588e-04, 2.05324832e-02
-2.82883295e-04, 2.05327943e-02
-2.82583002e-04, 2.05331072e-02
-2.82282708e-04, 2.05334239e-02
-2.81982415e-04, 2.05337368e-02
-2.81682122e-04, 2.05340479e-02
-2.81381828e-04, 2.05343608e-02
-2.81081535e-04, 2.05346718e-02
-2.80781242e-04, 2.05349848e-02
-2.80480948e-04, 2.05352977e-02
-2.80180655e-04, 2.05356125e-02
-2.79880362e-04, 2.05359254e-02
-2.79580068e-04, 2.05362365e-02
-2.79279775e-04, 2.05365513e-02
-2.78979482e-04, 2.05368642e-02
-2.78679188e-04, 2.05371771e-02
-2.78378895e-04, 2.05374882e-02
-2.78078602e-04, 2.05378029e-02
-2.77778308e-04, 2.05381140e-02
-2.77478015e-04, 2.05384269e-02
-2.77177722e-04, 2.05387417e-02
-2.76877428e-04, 2.05390546e-02
-2.76577135e-04, 2.05393676e-02
-2.76276842e-04, 2.05396805e-02
-2.75976548e-04, 2.05399934e-02
-2.75676255e-04, 2.05403063e-02
-2.75375962e-04, 2.05406211e-02
-2.75075668e-04, 2.05409341e-02
-2.74775375e-04, 2.05412451e-02
-2.74475082e-04, 2.05415599e-02
-2.74174789e-04, 2.05418710e-02
-2.73874495e-04, 2.05421839e-02
-2.73574202e-04, 2.05424968e-02
-2.73273909e-04, 2.05428116e-02
-2.72973615e-04, 2.05431245e-02
-2.72673322e-04, 2.05434375e-02
-2.72373029e-04, 2.05437485e-02
-2.72072735e-04, 2.05440652e-02
-2.71772442e-04, 2.05443744e-02
-2.71472149e-04, 2.05446910e-02
-2.71171855e-04, 2.05450021e-02
-2.70871562e-04, 2.05453187e-02
-2.70571269e-04, 2.05456298e-02
-2.70270975e-04, 2.05459427e-02
-2.69970682e-04, 2.05462575e-02
-2.69670389e-04, 2.05465686e-02
-2.69370095e-04, 2.05468833e-02
-2.69069802e-04, 2.05471963e-02
-2.68769509e-04, 2.05475111e-02
-2.68469215e-04, 2.05478221e-02
-2.68168922e-04, 2.05481369e-02
-2.67868629e-04, 2.05484517e-02
-2.67568335e-04, 2.05487646e-02
-2.67268042e-04, 2.05490775e-02
-2.66967749e-04, 2.05493905e-02
-2.66667455e-04, 2.05497015e-02
-2.66367162e-04, 2.05500368e-02
-2.66066869e-04, 2.05504354e-02
-2.65766575e-04, 2.05508098e-02
-2.65466282e-04, 2.05511879e-02
-2.65165989e-04, 2.05515660e-02
-2.64865695e-04, 2.05519404e-02
-2.64565402e-04, 2.05523185e-02
-2.64265109e-04, 2.05526985e-02
-2.63964816e-04, 2.05530729e-02
-2.63664522e-04, 2.05534361e-02
-2.63364229e-04, 2.05537993e-02
-2.63063936e-04, 2.05541607e-02
-2.62763642e-04, 2.05545258e-02
-2.62463349e-04, 2.05548871e-02
-2.62163056e-04, 2.05552187e-02
-2.61862762e-04, 2.05555018e-02
-2.61562469e-04, 2.05557849e-02
-2.61262176e-04, 2.05560699e-02
-2.60961882e-04, 2.05563549e-02
-2.60661589e-04, 2.05566380e-02
-2.60361296e-04, 2.05569249e-02
-2.60061002e-04, 2.05572080e-02
-2.59760709e-04, 2.05574892e-02
-2.59460416e-04, 2.05577742e-02
-2.59160122e-04, 2.05580592e-02
-2.58859829e-04, 2.05583442e-02
-2.58559536e-04, 2.05586273e-02
-2.58259242e-04, 2.05589123e-02
-2.57958949e-04, 2.05591954e-02
-2.57658656e-04, 2.05594804e-02
-2.57358362e-04, 2.05597654e-02
-2.57058069e-04, 2.05600485e-02
-2.56757776e-04, 2.05603335e-02
-2.56457482e-04, 2.05606166e-02
-2.56157189e-04, 2.05609016e-02
-2.55856896e-04, 2.05611866e-02
-2.55556602e-04, 2.05614716e-02
-2.55256309e-04, 2.05617547e-02
-2.54956016e-04, 2.05620397e-02
-2.54655723e-04, 2.05623247e-02
-2.54355429e-04, 2.05626078e-02
-2.54055136e-04, 2.05628928e-02
-2.53754843e-04, 2.05631778e-02
-2.53454549e-04, 2.05634609e-02
-2.53154256e-04, 2.05637477e-02
-2.52853963e-04, 2.05640309e-02
-2.52553669e-04, 2.05643158e-02
-2.52253376e-04, 2.05646008e-02
-2.51953083e-04, 2.05648858e-02
-2.51652789e-04, 2.05651689e-02
-2.51352496e-04, 2.05654539e-02
-2.51052203e-04, 2.05657370e-02
-2.50751909e-04, 2.05660220e-02
-2.50451616e-04, 2.05663070e-02
-2.50151323e-04, 2.05665920e-02
-2.49851029e-04, 2.05668751e-02
-2.49550736e-04, 2.05671620e-02
-2.49250443e-04, 2.05674451e-02
-2.48950149e-04, 2.05677301e-02
-2.48649856e-04, 2.05680132e-02
-2.48349563e-04, 2.05683000e-02
-2.48049269e-04, 2.05685850e-02
-2.47748976e-04, 2.05688681e-02
-2.47448683e-04, 2.05691531e-02
-2.47148389e-04, 2.05694381e-02
-2.46848096e-04, 2.05697231e-02
-2.46547803e-04, 2.05700044e-02
-2.46247509e-04, 2.05702931e-02
-2.45947216e-04, 2.05705762e-02
-2.45646923e-04, 2.05708612e-02
-2.45346630e-04, 2.05711480e-02
-2.45046336e-04, 2.05714311e-02
-2.44746043e-04, 2.05717161e-02
-2.44445750e-04, 2.05720011e-02
-2.44145456e-04, 2.05722842e-02
-2.43845163e-04, 2.05725692e-02
-2.43544870e-04, 2.05728542e-02
-2.43244576e-04, 2.05731411e-02
-2.42944283e-04, 2.05734260e-02
-2.42643990e-04, 2.05737110e-02
-2.42343696e-04, 2.05739941e-02
-2.42043403e-04, 2.05742791e-02
-2.41743110e-04, 2.05745623e-02
-2.41442816e-04, 2.05748510e-02
-2.41142523e-04, 2.05751341e-02
-2.40842230e-04, 2.05754172e-02
-2.40541936e-04, 2.05757041e-02
-2.40241643e-04, 2.05759890e-02
-2.39941350e-04, 2.05762722e-02
-2.39641056e-04, 2.05765571e-02
-2.39340763e-04, 2.05768421e-02
-2.39040470e-04, 2.05771271e-02
-2.38740176e-04, 2.05774121e-02
-2.38439883e-04, 2.05776952e-02
-2.38139590e-04, 2.05779821e-02
-2.37839296e-04, 2.05782652e-02
-2.37539003e-04, 2.05785520e-02
-2.37238710e-04, 2.05788370e-02
-2.36938416e-04, 2.05791220e-02
-2.36638123e-04, 2.05794089e-02
-2.36337830e-04, 2.05796920e-02
-2.36037537e-04, 2.05799770e-02
-2.35737243e-04, 2.05802638e-02
-2.35436950e-04, 2.05805469e-02
-2.35136657e-04, 2.05808319e-02
-2.34836363e-04, 2.05811169e-02
-2.34536070e-04, 2.05814019e-02
-2.34235777e-04, 2.05816887e-02
-2.33935483e-04, 2.05819719e-02
-2.33635190e-04, 2.05822587e-02
-2.33334897e-04, 2.05825418e-02
-2.33034603e-04, 2.05828287e-02
-2.32734310e-04, 2.05831118e-02
-2.32434017e-04, 2.05833986e-02
-2.32133723e-04, 2.05836818e-02
-2.31833430e-04, 2.05839686e-02
-2.31533137e-04, 2.05842517e-02
-2.31232843e-04, 2.05845386e-02
-2.30932550e-04, 2.05848217e-02
-2.30632257e-04, 2.05851085e-02
-2.30331963e-04, 2.05853917e-02
-2.30031670e-04, 2.05856785e-02
-2.29731377e-04, 2.05859635e-02
-2.29431083e-04, 2.05862503e-02
-2.29130790e-04, 2.05865335e-02
-2.28830497e-04, 2.05868203e-02
-2.28530203e-04, 2.05870271e-02
-2.28229910e-04, 2.05874816e-02
-2.27929617e-04, 2.05878336e-02
-2.27629323e-04, 2.05881894e-02
-2.27329030e-04, 2.05885414e-02
-2.27028737e-04, 2.05888934e-02
-2.26728444e-04, 2.05892473e-02
-2.26428150e-04, 2.05896031e-02
-2.26127857e-04, 2.05899570e-02
-2.25827564e-04, 2.05903091e-02
-2.25527270e-04, 2.05906630e-02
-2.25226977e-04, 2.05910187e-02
-2.24926684e-04, 2.05913708e-02
-2.24626390e-04, 2.05917265e-02
-2.24326097e-04, 2.05920823e-02
-2.24025804e-04, 2.05923431e-02
