[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 28

[Data]
X [ m ],Velocity [ m s^-1 ]
2.09999993e-03, 1.58176329e-02
2.10030028e-03, 1.58163309e-02
2.10060063e-03, 1.58150289e-02
2.10090098e-03, 1.58137251e-02
2.10120133e-03, 1.58124231e-02
2.10150168e-03, 1.58111192e-02
2.10180203e-03, 1.58098191e-02
2.10210239e-03, 1.58085153e-02
2.10240274e-03, 1.58072133e-02
2.10270309e-03, 1.58059094e-02
2.10300344e-03, 1.58046093e-02
2.10330379e-03, 1.58033073e-02
2.10360414e-03, 1.58020034e-02
2.10390450e-03, 1.58007015e-02
2.10420485e-03, 1.57993417e-02
2.10450520e-03, 1.57982726e-02
2.10480555e-03, 1.57971662e-02
2.10510590e-03, 1.57960616e-02
2.10540625e-03, 1.57949533e-02
2.10570660e-03, 1.57938469e-02
2.10600696e-03, 1.57927386e-02
2.10630731e-03, 1.57916322e-02
2.10660766e-03, 1.57905277e-02
2.10690801e-03, 1.57894213e-02
2.10720836e-03, 1.57883149e-02
2.10750871e-03, 1.57872085e-02
2.10780906e-03, 1.57861002e-02
2.10810942e-03, 1.57849938e-02
2.10840977e-03, 1.57838892e-02
2.10871012e-03, 1.57827809e-02
2.10901047e-03, 1.57816745e-02
2.10931082e-03, 1.57805681e-02
2.10961117e-03, 1.57794617e-02
2.10991153e-03, 1.57783534e-02
2.11021188e-03, 1.57772470e-02
2.11051223e-03, 1.57761425e-02
2.11081258e-03, 1.57750379e-02
2.11111293e-03, 1.57737732e-02
2.11141328e-03, 1.57728773e-02
2.11171363e-03, 1.57718379e-02
2.11201399e-03, 1.57707967e-02
2.11231434e-03, 1.57697573e-02
2.11261469e-03, 1.57687198e-02
2.11291504e-03, 1.57676786e-02
2.11321539e-03, 1.57666393e-02
2.11351574e-03, 1.57655999e-02
2.11381610e-03, 1.57645624e-02
2.11411645e-03, 1.57635231e-02
2.11441680e-03, 1.57624837e-02
2.11471715e-03, 1.57614443e-02
2.11501750e-03, 1.57604069e-02
2.11531785e-03, 1.57593656e-02
2.11561820e-03, 1.57583281e-02
2.11591856e-03, 1.57572888e-02
2.11621891e-03, 1.57562494e-02
2.11651926e-03, 1.57552101e-02
2.11681961e-03, 1.57541689e-02
2.11711996e-03, 1.57531314e-02
2.11742031e-03, 1.57520920e-02
2.11772067e-03, 1.57510526e-02
2.11802102e-03, 1.57500133e-02
2.11832137e-03, 1.57489739e-02
2.11862172e-03, 1.57479346e-02
2.11892207e-03, 1.57468952e-02
2.11922242e-03, 1.57460663e-02
2.11952277e-03, 1.57451164e-02
2.11982313e-03, 1.57442559e-02
2.12012348e-03, 1.57433972e-02
2.12042383e-03, 1.57425385e-02
2.12072418e-03, 1.57416798e-02
2.12102453e-03, 1.57408211e-02
2.12132488e-03, 1.57399606e-02
2.12162524e-03, 1.57391019e-02
2.12192559e-03, 1.57382432e-02
2.12222594e-03, 1.57373846e-02
2.12252629e-03, 1.57365259e-02
2.12282664e-03, 1.57356672e-02
2.12312699e-03, 1.57348067e-02
2.12342734e-03, 1.57339480e-02
2.12372770e-03, 1.57330893e-02
2.12402805e-03, 1.57322288e-02
2.12432840e-03, 1.57313701e-02
2.12462875e-03, 1.57305114e-02
2.12492910e-03, 1.57296527e-02
2.12522945e-03, 1.57287922e-02
2.12552981e-03, 1.57279354e-02
2.12583016e-03, 1.57270767e-02
2.12613051e-03, 1.57262161e-02
2.12643086e-03, 1.57253575e-02
2.12673121e-03, 1.57244988e-02
2.12703156e-03, 1.57236401e-02
2.12733191e-03, 1.57227814e-02
2.12763227e-03, 1.57219227e-02
2.12793262e-03, 1.57210622e-02
2.12823297e-03, 1.57202054e-02
2.12853332e-03, 1.57193448e-02
2.12883367e-03, 1.57184862e-02
2.12913402e-03, 1.57176275e-02
