[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 25

[Data]
X [ m ],Velocity [ m s^-1 ]
1.20000006e-03, 1.88069381e-02
1.20030041e-03, 1.88057330e-02
1.20060076e-03, 1.88045260e-02
1.20090111e-03, 1.88033227e-02
1.20120146e-03, 1.88021157e-02
1.20150181e-03, 1.88009087e-02
1.20180217e-03, 1.87997036e-02
1.20210252e-03, 1.87984966e-02
1.20240287e-03, 1.87972933e-02
1.20270322e-03, 1.87960882e-02
1.20300357e-03, 1.87948830e-02
1.20330392e-03, 1.87936760e-02
1.20360428e-03, 1.87924709e-02
1.20390463e-03, 1.87912658e-02
1.20420498e-03, 1.87900569e-02
1.20450533e-03, 1.87888555e-02
1.20480568e-03, 1.87876504e-02
1.20510603e-03, 1.87864453e-02
1.20540638e-03, 1.87852383e-02
1.20570674e-03, 1.87840331e-02
1.20600709e-03, 1.87828280e-02
1.20630744e-03, 1.87816210e-02
1.20660779e-03, 1.87804159e-02
1.20690814e-03, 1.87792126e-02
1.20720849e-03, 1.87780038e-02
1.20750885e-03, 1.87768005e-02
1.20780920e-03, 1.87755972e-02
1.20810955e-03, 1.87743884e-02
1.20840990e-03, 1.87731832e-02
1.20871025e-03, 1.87719800e-02
1.20901060e-03, 1.87707711e-02
1.20931095e-03, 1.87695678e-02
1.20961131e-03, 1.87683608e-02
1.20991166e-03, 1.87671576e-02
1.21021201e-03, 1.87659524e-02
1.21051236e-03, 1.87647454e-02
1.21081271e-03, 1.87635403e-02
1.21111306e-03, 1.87623370e-02
1.21141342e-03, 1.87611282e-02
1.21171377e-03, 1.87599249e-02
1.21201412e-03, 1.87587198e-02
1.21231447e-03, 1.87575147e-02
1.21261482e-03, 1.87563095e-02
1.21291517e-03, 1.87551025e-02
1.21321552e-03, 1.87538974e-02
1.21351588e-03, 1.87526904e-02
1.21381623e-03, 1.87514853e-02
1.21411658e-03, 1.87502820e-02
1.21441693e-03, 1.87490769e-02
1.21471728e-03, 1.87478717e-02
1.21501763e-03, 1.87466647e-02
1.21531799e-03, 1.87454596e-02
1.21561834e-03, 1.87442526e-02
1.21591869e-03, 1.87430475e-02
1.21621904e-03, 1.87418442e-02
1.21651939e-03, 1.87406372e-02
1.21681974e-03, 1.87394321e-02
1.21712009e-03, 1.87382270e-02
1.21742045e-03, 1.87370218e-02
1.21772080e-03, 1.87358148e-02
1.21802115e-03, 1.87346116e-02
1.21832150e-03, 1.87334046e-02
1.21862185e-03, 1.87322013e-02
1.21892220e-03, 1.87309962e-02
1.21922255e-03, 1.87297910e-02
1.21952291e-03, 1.87285841e-02
1.21982326e-03, 1.87273808e-02
1.22012361e-03, 1.87261738e-02
1.22042396e-03, 1.87249687e-02
1.22072431e-03, 1.87237635e-02
1.22102466e-03, 1.87225603e-02
1.22132502e-03, 1.87213533e-02
1.22162537e-03, 1.87201463e-02
1.22192572e-03, 1.87189411e-02
1.22222607e-03, 1.87177360e-02
1.22252642e-03, 1.87165309e-02
1.22282677e-03, 1.87153276e-02
1.22312712e-03, 1.87141225e-02
1.22342748e-03, 1.87129173e-02
1.22372783e-03, 1.87117085e-02
1.22402818e-03, 1.87105034e-02
1.22432853e-03, 1.87093019e-02
1.22462888e-03, 1.87080950e-02
1.22492923e-03, 1.87068898e-02
1.22522959e-03, 1.87056847e-02
1.22552994e-03, 1.87044796e-02
1.22583029e-03, 1.87032744e-02
1.22613064e-03, 1.87020674e-02
1.22643099e-03, 1.87008623e-02
1.22673134e-03, 1.86996572e-02
1.22703169e-03, 1.86984539e-02
1.22733205e-03, 1.86972488e-02
1.22763240e-03, 1.86960436e-02
1.22793275e-03, 1.86948366e-02
1.22823310e-03, 1.86936297e-02
1.22853345e-03, 1.86924264e-02
1.22883380e-03, 1.86912213e-02
1.22913416e-03, 1.86900161e-02
1.22943451e-03, 1.86888110e-02
1.22973486e-03, 1.86876059e-02
1.23003521e-03, 1.86863989e-02
1.23033556e-03, 1.86851956e-02
1.23063591e-03, 1.86839923e-02
1.23093626e-03, 1.86827835e-02
1.23123662e-03, 1.86815802e-02
1.23153697e-03, 1.86803751e-02
1.23183732e-03, 1.86791699e-02
1.23213767e-03, 1.86779648e-02
1.23243802e-03, 1.86767597e-02
1.23273837e-03, 1.86755527e-02
1.23303873e-03, 1.86743494e-02
1.23333908e-03, 1.86731424e-02
1.23363943e-03, 1.86719391e-02
1.23393978e-03, 1.86707340e-02
1.23424013e-03, 1.86695270e-02
1.23454048e-03, 1.86683238e-02
1.23484083e-03, 1.86671168e-02
1.23514119e-03, 1.86659116e-02
1.23544154e-03, 1.86647065e-02
1.23574189e-03, 1.86635014e-02
1.23604224e-03, 1.86620690e-02
1.23634259e-03, 1.86614655e-02
1.23664294e-03, 1.86607316e-02
1.23694330e-03, 1.86599977e-02
1.23724365e-03, 1.86592694e-02
1.23754400e-03, 1.86585393e-02
1.23784435e-03, 1.86578073e-02
1.23814470e-03, 1.86570771e-02
1.23844505e-03, 1.86563451e-02
1.23874540e-03, 1.86556131e-02
1.23904576e-03, 1.86548848e-02
1.23934611e-03, 1.86541528e-02
1.23964646e-03, 1.86534189e-02
1.23994681e-03, 1.86526868e-02
1.24024716e-03, 1.86519567e-02
1.24054751e-03, 1.86512265e-02
1.24084787e-03, 1.86504945e-02
1.24114822e-03, 1.86497625e-02
1.24144857e-03, 1.86491292e-02
1.24174892e-03, 1.86483357e-02
1.24204927e-03, 1.86477304e-02
1.24234962e-03, 1.86471250e-02
1.24264997e-03, 1.86465178e-02
1.24295033e-03, 1.86459124e-02
1.24325068e-03, 1.86453070e-02
1.24355103e-03, 1.86446980e-02
1.24385138e-03, 1.86440926e-02
1.24415173e-03, 1.86434891e-02
1.24445208e-03, 1.86428819e-02
1.24475244e-03, 1.86422765e-02
1.24505279e-03, 1.86416712e-02
1.24535314e-03, 1.86410639e-02
1.24565349e-03, 1.86404586e-02
