[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 24

[Data]
X [ m ],Velocity [ m s^-1 ]
8.99999985e-04, 1.95987280e-02
9.00300278e-04, 1.95980109e-02
9.00600571e-04, 1.95972975e-02
9.00900865e-04, 1.95965823e-02
9.01201158e-04, 1.95958670e-02
9.01501451e-04, 1.95951536e-02
9.01801744e-04, 1.95944365e-02
9.02102038e-04, 1.95937213e-02
9.02402331e-04, 1.95930060e-02
9.02702624e-04, 1.95922889e-02
9.03002918e-04, 1.95915774e-02
9.03303211e-04, 1.95908621e-02
9.03603504e-04, 1.95901468e-02
9.03903798e-04, 1.95894316e-02
9.04204091e-04, 1.95887182e-02
9.04504384e-04, 1.95880029e-02
9.04804678e-04, 1.95872858e-02
9.05104971e-04, 1.95865706e-02
9.05405264e-04, 1.95858590e-02
9.05705558e-04, 1.95851438e-02
9.06005851e-04, 1.95844285e-02
9.06306144e-04, 1.95837133e-02
9.06606438e-04, 1.95829980e-02
9.06906731e-04, 1.95822846e-02
9.07207024e-04, 1.95815675e-02
9.07507318e-04, 1.95808522e-02
9.07807611e-04, 1.95801407e-02
9.08107904e-04, 1.95794255e-02
9.08408198e-04, 1.95787083e-02
9.08708491e-04, 1.95779949e-02
9.09008784e-04, 1.95772797e-02
9.09309078e-04, 1.95765626e-02
9.09609371e-04, 1.95758473e-02
9.09909664e-04, 1.95751358e-02
9.10209958e-04, 1.95744205e-02
9.10510251e-04, 1.95737071e-02
9.10810544e-04, 1.95729919e-02
9.11110837e-04, 1.95722729e-02
9.11411131e-04, 1.95715632e-02
9.11711424e-04, 1.95708461e-02
9.12011717e-04, 1.95701327e-02
9.12312011e-04, 1.95694175e-02
9.12612304e-04, 1.95687041e-02
9.12912597e-04, 1.95679888e-02
9.13212891e-04, 1.95672736e-02
9.13513184e-04, 1.95665583e-02
9.13813477e-04, 1.95658486e-02
9.14113771e-04, 1.95651297e-02
9.14414064e-04, 1.95644181e-02
9.14714357e-04, 1.95637029e-02
9.15014651e-04, 1.95629895e-02
9.15314944e-04, 1.95622705e-02
9.15615237e-04, 1.95615608e-02
9.15915531e-04, 1.95608437e-02
9.16215824e-04, 1.95601303e-02
9.16516117e-04, 1.95594132e-02
9.16816411e-04, 1.95587017e-02
9.17116704e-04, 1.95579864e-02
9.17416997e-04, 1.95572730e-02
9.17717291e-04, 1.95566937e-02
9.18017584e-04, 1.95558146e-02
9.18317877e-04, 1.95550136e-02
9.18618171e-04, 1.95542146e-02
9.18918464e-04, 1.95534118e-02
9.19218757e-04, 1.95526108e-02
9.19519051e-04, 1.95518099e-02
9.19819344e-04, 1.95510071e-02
9.20119637e-04, 1.95502080e-02
9.20419930e-04, 1.95494071e-02
9.20720224e-04, 1.95486080e-02
9.21020517e-04, 1.95478071e-02
9.21320810e-04, 1.95470061e-02
9.21621104e-04, 1.95462033e-02
9.21921397e-04, 1.95454042e-02
9.22221690e-04, 1.95446014e-02
9.22521984e-04, 1.95438024e-02
9.22822277e-04, 1.95429996e-02
9.23122570e-04, 1.95422005e-02
9.23422864e-04, 1.95413977e-02
9.23723157e-04, 1.95405968e-02
9.24023450e-04, 1.95397977e-02
9.24323744e-04, 1.95389949e-02
9.24624037e-04, 1.95381958e-02
9.24924330e-04, 1.95373949e-02
9.25224624e-04, 1.95365939e-02
9.25524917e-04, 1.95357930e-02
9.25825210e-04, 1.95349921e-02
9.26125504e-04, 1.95341911e-02
9.26425797e-04, 1.95333920e-02
9.26726090e-04, 1.95325892e-02
9.27026384e-04, 1.95317902e-02
9.27326677e-04, 1.95309874e-02
9.27626970e-04, 1.95301883e-02
9.27927264e-04, 1.95293874e-02
9.28227557e-04, 1.95285883e-02
9.28527850e-04, 1.95277855e-02
9.28828144e-04, 1.95269864e-02
9.29128437e-04, 1.95261836e-02
9.29428730e-04, 1.95253864e-02
9.29729023e-04, 1.95245836e-02
9.30029317e-04, 1.95237808e-02
9.30329610e-04, 1.95229817e-02
9.30629903e-04, 1.95221808e-02
9.30930197e-04, 1.95213798e-02
9.31230490e-04, 1.95205770e-02
9.31530783e-04, 1.95197798e-02
9.31831077e-04, 1.95189789e-02
9.32131370e-04, 1.95181798e-02
9.32431663e-04, 1.95173770e-02
9.32731957e-04, 1.95165779e-02
9.33032250e-04, 1.95157751e-02
9.33332543e-04, 1.95149779e-02
9.33632837e-04, 1.95141751e-02
9.33933130e-04, 1.95133742e-02
9.34233423e-04, 1.95125751e-02
9.34533717e-04, 1.95117742e-02
9.34834010e-04, 1.95109732e-02
9.35134303e-04, 1.95101742e-02
9.35434597e-04, 1.95093732e-02
9.35734890e-04, 1.95085742e-02
9.36035183e-04, 1.95077714e-02
9.36335477e-04, 1.95069704e-02
9.36635770e-04, 1.95061695e-02
9.36936063e-04, 1.95053741e-02
9.37236357e-04, 1.95045713e-02
9.37536650e-04, 1.95037723e-02
9.37836943e-04, 1.95029695e-02
9.38137237e-04, 1.95021704e-02
9.38437530e-04, 1.95013713e-02
9.38737823e-04, 1.95005704e-02
9.39038116e-04, 1.94997694e-02
9.39338410e-04, 1.94989685e-02
9.39638703e-04, 1.94981694e-02
9.39938996e-04, 1.94973666e-02
9.40239290e-04, 1.94965694e-02
9.40539583e-04, 1.94957685e-02
9.40839876e-04, 1.94949694e-02
9.41140170e-04, 1.94941666e-02
9.41440463e-04, 1.94933694e-02
9.41740756e-04, 1.94925666e-02
9.42041050e-04, 1.94917675e-02
9.42341343e-04, 1.94909666e-02
9.42641636e-04, 1.94901656e-02
9.42941930e-04, 1.94893666e-02
9.43242223e-04, 1.94885656e-02
9.43542516e-04, 1.94877665e-02
9.43842810e-04, 1.94869656e-02
9.44143103e-04, 1.94863882e-02
9.44443396e-04, 1.94850657e-02
9.44743690e-04, 1.94840413e-02
9.45043983e-04, 1.94830149e-02
9.45344276e-04, 1.94819886e-02
9.45644570e-04, 1.94809660e-02
9.45944863e-04, 1.94799397e-02
9.46245156e-04, 1.94789134e-02
9.46545450e-04, 1.94778889e-02
9.46845743e-04, 1.94768608e-02
9.47146036e-04, 1.94758344e-02
9.47446330e-04, 1.94748119e-02
9.47746623e-04, 1.94737855e-02
9.48046916e-04, 1.94727611e-02
9.48347209e-04, 1.94717366e-02
9.48647503e-04, 1.94707103e-02
9.48947796e-04, 1.94696859e-02
9.49248089e-04, 1.94686595e-02
9.49548383e-04, 1.94676351e-02
9.49848676e-04, 1.94666106e-02
9.50148969e-04, 1.94655843e-02
9.50449263e-04, 1.94645599e-02
9.50749556e-04, 1.94635354e-02
9.51049849e-04, 1.94625091e-02
9.51350143e-04, 1.94614846e-02
9.51650436e-04, 1.94604583e-02
9.51950729e-04, 1.94594339e-02
9.52251023e-04, 1.94584075e-02
9.52551316e-04, 1.94573849e-02
9.52851609e-04, 1.94563586e-02
9.53151903e-04, 1.94553360e-02
9.53452196e-04, 1.94543116e-02
9.53752489e-04, 1.94532834e-02
9.54052783e-04, 1.94522589e-02
9.54353076e-04, 1.94512345e-02
9.54653369e-04, 1.94502082e-02
9.54953663e-04, 1.94491837e-02
9.55253956e-04, 1.94481611e-02
9.55554249e-04, 1.94471367e-02
9.55854543e-04, 1.94461122e-02
9.56154836e-04, 1.94450878e-02
9.56455129e-04, 1.94440614e-02
9.56755423e-04, 1.94430351e-02
9.57055716e-04, 1.94420107e-02
9.57356009e-04, 1.94409862e-02
9.57656302e-04, 1.94399636e-02
9.57956596e-04, 1.94389373e-02
9.58256889e-04, 1.94379147e-02
9.58557182e-04, 1.94368884e-02
9.58857476e-04, 1.94358658e-02
9.59157769e-04, 1.94348395e-02
9.59458062e-04, 1.94338150e-02
9.59758356e-04, 1.94327887e-02
9.60058649e-04, 1.94317661e-02
9.60358942e-04, 1.94307398e-02
9.60659236e-04, 1.94297172e-02
9.60959529e-04, 1.94286928e-02
9.61259822e-04, 1.94276683e-02
9.61560116e-04, 1.94266420e-02
9.61860409e-04, 1.94256194e-02
9.62160702e-04, 1.94246098e-02
9.62460996e-04, 1.94234177e-02
9.62761289e-04, 1.94222275e-02
9.63061582e-04, 1.94210391e-02
9.63361876e-04, 1.94198489e-02
9.63662169e-04, 1.94186587e-02
9.63962462e-04, 1.94174685e-02
9.64262756e-04, 1.94162801e-02
9.64563049e-04, 1.94150880e-02
9.64863342e-04, 1.94138996e-02
9.65163636e-04, 1.94127075e-02
9.65463929e-04, 1.94115192e-02
9.65764222e-04, 1.94103308e-02
9.66064516e-04, 1.94091406e-02
9.66364809e-04, 1.94079485e-02
9.66665102e-04, 1.94067601e-02
9.66965395e-04, 1.94055717e-02
9.67265689e-04, 1.94043797e-02
9.67565982e-04, 1.94031913e-02
9.67866275e-04, 1.94020011e-02
9.68166569e-04, 1.94008108e-02
9.68466862e-04, 1.93996225e-02
9.68767155e-04, 1.93984322e-02
9.69067449e-04, 1.93972420e-02
9.69367742e-04, 1.93960518e-02
9.69668035e-04, 1.93948615e-02
9.69968329e-04, 1.93936732e-02
9.70268622e-04, 1.93924829e-02
9.70568915e-04, 1.93912927e-02
9.70869209e-04, 1.93901025e-02
9.71169502e-04, 1.93889141e-02
9.71469795e-04, 1.93877239e-02
9.71770089e-04, 1.93865336e-02
9.72070382e-04, 1.93853471e-02
9.72370675e-04, 1.93841550e-02
9.72670969e-04, 1.93829667e-02
9.72971262e-04, 1.93817765e-02
9.73271555e-04, 1.93805881e-02
9.73571849e-04, 1.93793960e-02
