[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 29

[Data]
X [ m ],Velocity [ m s^-1 ]
2.40000011e-03, 1.46850329e-02
2.40030047e-03, 1.46838240e-02
2.40060082e-03, 1.46826170e-02
2.40090117e-03, 1.46814100e-02
2.40120152e-03, 1.46801993e-02
2.40150187e-03, 1.46789942e-02
2.40180222e-03, 1.46777835e-02
2.40210257e-03, 1.46765755e-02
2.40240293e-03, 1.46753676e-02
2.40270328e-03, 1.46741597e-02
2.40300363e-03, 1.46729508e-02
2.40330398e-03, 1.46717448e-02
2.40360433e-03, 1.46705359e-02
2.40390468e-03, 1.46693280e-02
2.40420504e-03, 1.46681201e-02
2.40450539e-03, 1.46669103e-02
2.40480574e-03, 1.46657033e-02
2.40510609e-03, 1.46644954e-02
2.40540644e-03, 1.46632884e-02
2.40570679e-03, 1.46620804e-02
2.40600714e-03, 1.46608716e-02
2.40630750e-03, 1.46596637e-02
2.40660785e-03, 1.46584557e-02
2.40690820e-03, 1.46572478e-02
2.40720855e-03, 1.46560390e-02
2.40750890e-03, 1.46548320e-02
2.40780925e-03, 1.46536231e-02
2.40810961e-03, 1.46524133e-02
2.40840996e-03, 1.46512073e-02
2.40871031e-03, 1.46499984e-02
2.40901066e-03, 1.46487895e-02
2.40931101e-03, 1.46475825e-02
2.40961136e-03, 1.46463746e-02
2.40991171e-03, 1.46451667e-02
2.41021207e-03, 1.46439569e-02
2.41051242e-03, 1.46427490e-02
2.41081277e-03, 1.46415420e-02
2.41111312e-03, 1.46403341e-02
2.41141347e-03, 1.46391271e-02
2.41171382e-03, 1.46379182e-02
2.41201418e-03, 1.46367094e-02
2.41231453e-03, 1.46355014e-02
2.41261488e-03, 1.46342935e-02
2.41291523e-03, 1.46330865e-02
2.41321558e-03, 1.46318777e-02
2.41351593e-03, 1.46306697e-02
2.41381628e-03, 1.46294627e-02
2.41411664e-03, 1.46282529e-02
2.41441699e-03, 1.46270450e-02
2.41471734e-03, 1.46258380e-02
2.41501769e-03, 1.46246292e-02
2.41531804e-03, 1.46234231e-02
2.41561839e-03, 1.46222143e-02
2.41591875e-03, 1.46210054e-02
2.41621910e-03, 1.46197965e-02
2.41651945e-03, 1.46185895e-02
2.41681980e-03, 1.46173816e-02
2.41712015e-03, 1.46161737e-02
2.41742050e-03, 1.46149667e-02
2.41772085e-03, 1.46137569e-02
2.41802121e-03, 1.46125481e-02
2.41832156e-03, 1.46113401e-02
2.41862191e-03, 1.46101331e-02
2.41892226e-03, 1.46089261e-02
2.41922261e-03, 1.46077173e-02
2.41952296e-03, 1.46065094e-02
2.41982331e-03, 1.46053014e-02
2.42012367e-03, 1.46040935e-02
2.42042402e-03, 1.46028847e-02
2.42072437e-03, 1.46016777e-02
2.42102472e-03, 1.46004679e-02
2.42132507e-03, 1.45992618e-02
2.42162542e-03, 1.45980539e-02
2.42192578e-03, 1.45968450e-02
2.42222613e-03, 1.45956362e-02
2.42252648e-03, 1.45944310e-02
2.42282683e-03, 1.45932203e-02
2.42312718e-03, 1.45920115e-02
2.42342753e-03, 1.45908054e-02
2.42372788e-03, 1.45895965e-02
2.42402824e-03, 1.45883886e-02
2.42432859e-03, 1.45871807e-02
2.42462894e-03, 1.45859718e-02
2.42492929e-03, 1.45847648e-02
2.42522964e-03, 1.45835551e-02
2.42552999e-03, 1.45823499e-02
2.42583035e-03, 1.45811411e-02
2.42613070e-03, 1.45799322e-02
2.42643105e-03, 1.45787252e-02
2.42673140e-03, 1.45775164e-02
2.42703175e-03, 1.45763084e-02
2.42733210e-03, 1.45751014e-02
2.42763245e-03, 1.45738926e-02
2.42793281e-03, 1.45726856e-02
2.42823316e-03, 1.45714767e-02
2.42853351e-03, 1.45702688e-02
2.42883386e-03, 1.45690609e-02
2.42913421e-03, 1.45678539e-02
2.42943456e-03, 1.45666460e-02
2.42973492e-03, 1.45654380e-02
2.43003527e-03, 1.45642413e-02
2.43033562e-03, 1.45631023e-02
2.43063597e-03, 1.45619633e-02
2.43093632e-03, 1.45608252e-02
2.43123667e-03, 1.45596871e-02
2.43153702e-03, 1.45585481e-02
2.43183738e-03, 1.45574082e-02
2.43213773e-03, 1.45562692e-02
2.43243808e-03, 1.45551311e-02
2.43273843e-03, 1.45539930e-02
2.43303878e-03, 1.45528540e-02
2.43333913e-03, 1.45517141e-02
2.43363949e-03, 1.45505769e-02
2.43393984e-03, 1.45494370e-02
2.43424019e-03, 1.45482989e-02
2.43454054e-03, 1.45471618e-02
2.43484089e-03, 1.45460218e-02
2.43514124e-03, 1.45448828e-02
2.43544159e-03, 1.45437457e-02
2.43574195e-03, 1.45426057e-02
2.43604230e-03, 1.45414667e-02
2.43634265e-03, 1.45403296e-02
2.43664300e-03, 1.45391896e-02
2.43694335e-03, 1.45380525e-02
2.43724370e-03, 1.45369126e-02
2.43754406e-03, 1.45357745e-02
2.43784441e-03, 1.45346355e-02
2.43814476e-03, 1.45334974e-02
2.43844511e-03, 1.45323584e-02
2.43874546e-03, 1.45312212e-02
2.43904581e-03, 1.45300822e-02
2.43934616e-03, 1.45289432e-02
2.43964652e-03, 1.45278051e-02
2.43994687e-03, 1.45266661e-02
2.44024722e-03, 1.45255281e-02
2.44054757e-03, 1.45243881e-02
2.44084792e-03, 1.45232501e-02
2.44114827e-03, 1.45221120e-02
2.44144863e-03, 1.45209739e-02
2.44174898e-03, 1.45198349e-02
2.44204933e-03, 1.45186977e-02
2.44234968e-03, 1.45175569e-02
2.44265003e-03, 1.45164188e-02
2.44295038e-03, 1.45152807e-02
2.44325073e-03, 1.45141417e-02
2.44355109e-03, 1.45130036e-02
2.44385144e-03, 1.45118637e-02
2.44415179e-03, 1.45107275e-02
2.44445214e-03, 1.45095885e-02
2.44475249e-03, 1.45084504e-02
2.44505284e-03, 1.45073114e-02
2.44535320e-03, 1.45061743e-02
2.44565355e-03, 1.45050334e-02
2.44595390e-03, 1.45038953e-02
2.44625425e-03, 1.45027470e-02
2.44655460e-03, 1.45015391e-02
2.44685495e-03, 1.45003321e-02
2.44715530e-03, 1.44991241e-02
2.44745566e-03, 1.44979171e-02
2.44775601e-03, 1.44967092e-02
2.44805636e-03, 1.44955032e-02
2.44835671e-03, 1.44942943e-02
2.44865706e-03, 1.44930882e-02
2.44895741e-03, 1.44918784e-02
2.44925776e-03, 1.44906724e-02
2.44955812e-03, 1.44894654e-02
2.44985847e-03, 1.44882593e-02
2.45015882e-03, 1.44870523e-02
2.45045917e-03, 1.44858425e-02
2.45075952e-03, 1.44846356e-02
2.45105987e-03, 1.44834286e-02
2.45136023e-03, 1.44822206e-02
2.45166058e-03, 1.44810136e-02
2.45196093e-03, 1.44798066e-02
2.45226128e-03, 1.44785978e-02
2.45256163e-03, 1.44773899e-02
2.45286198e-03, 1.44761829e-02
2.45316233e-03, 1.44749768e-02
2.45346269e-03, 1.44737707e-02
2.45376304e-03, 1.44725619e-02
2.45406339e-03, 1.44713540e-02
2.45436374e-03, 1.44701470e-02
2.45466409e-03, 1.44689409e-02
2.45496444e-03, 1.44677320e-02
2.45526480e-03, 1.44665260e-02
2.45556515e-03, 1.44653171e-02
2.45586550e-03, 1.44641111e-02
2.45616585e-03, 1.44629022e-02
2.45646620e-03, 1.44616952e-02
2.45676655e-03, 1.44604873e-02
2.45706690e-03, 1.44592812e-02
2.45736726e-03, 1.44580733e-02
2.45766761e-03, 1.44568663e-02
2.45796796e-03, 1.44556584e-02
2.45826831e-03, 1.44544514e-02
2.45856866e-03, 1.44532435e-02
2.45886901e-03, 1.44520374e-02
2.45916937e-03, 1.44508295e-02
2.45946972e-03, 1.44496216e-02
2.45977007e-03, 1.44484146e-02
2.46007042e-03, 1.44472076e-02
2.46037077e-03, 1.44459996e-02
2.46067112e-03, 1.44447917e-02
2.46097147e-03, 1.44435856e-02
2.46127183e-03, 1.44423777e-02
2.46157218e-03, 1.44411698e-02
2.46187253e-03, 1.44399628e-02
