[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 21

[Data]
X [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 2.06651185e-02
3.00300314e-07, 2.06650905e-02
6.00600629e-07, 2.06650626e-02
9.00900943e-07, 2.06650365e-02
1.20120126e-06, 2.06650086e-02
1.50150163e-06, 2.06649788e-02
1.80180200e-06, 2.06649527e-02
2.10210237e-06, 2.06649229e-02
2.40240274e-06, 2.06648968e-02
2.70270311e-06, 2.06648670e-02
3.00300348e-06, 2.06648409e-02
3.30330386e-06, 2.06648111e-02
3.60360423e-06, 2.06647851e-02
3.90390460e-06, 2.06647571e-02
4.20420474e-06, 2.06647310e-02
4.50450489e-06, 2.06647012e-02
4.80480503e-06, 2.06646752e-02
5.10510517e-06, 2.06646472e-02
5.40540532e-06, 2.06646193e-02
5.70570546e-06, 2.06645913e-02
6.00600561e-06, 2.06645634e-02
6.30630575e-06, 2.06645336e-02
6.60660589e-06, 2.06645094e-02
6.90690604e-06, 2.06644814e-02
7.20720618e-06, 2.06644535e-02
7.50750633e-06, 2.06644237e-02
7.80780647e-06, 2.06643976e-02
8.10810707e-06, 2.06643902e-02
8.40840767e-06, 2.06643753e-02
8.70870826e-06, 2.06643585e-02
9.00900886e-06, 2.06643436e-02
9.30930946e-06, 2.06643306e-02
9.60961006e-06, 2.06643157e-02
9.90991066e-06, 2.06643008e-02
1.02102113e-05, 2.06642859e-02
1.05105119e-05, 2.06642728e-02
1.08108125e-05, 2.06642579e-02
1.11111131e-05, 2.06642430e-02
1.14114137e-05, 2.06642300e-02
1.17117143e-05, 2.06642132e-02
1.20120148e-05, 2.06641983e-02
1.23123154e-05, 2.06641834e-02
1.26126160e-05, 2.06641685e-02
1.29129166e-05, 2.06641555e-02
1.32132172e-05, 2.06641406e-02
1.35135178e-05, 2.06641238e-02
1.38138184e-05, 2.06641108e-02
1.41141190e-05, 2.06640940e-02
1.44144196e-05, 2.06640828e-02
1.47147202e-05, 2.06640661e-02
1.50150208e-05, 2.06640530e-02
1.53153214e-05, 2.06640381e-02
1.56156220e-05, 2.06640232e-02
1.59159226e-05, 2.06640083e-02
1.62162232e-05, 2.06639953e-02
1.65165238e-05, 2.06639804e-02
1.68168244e-05, 2.06639655e-02
1.71171250e-05, 2.06639506e-02
1.74174256e-05, 2.06639376e-02
1.77177262e-05, 2.06639227e-02
1.80180268e-05, 2.06639078e-02
1.83183274e-05, 2.06638947e-02
1.86186280e-05, 2.06638798e-02
1.89189286e-05, 2.06638668e-02
1.92192292e-05, 2.06638519e-02
1.95195298e-05, 2.06638388e-02
1.98198304e-05, 2.06638221e-02
2.01201310e-05, 2.06638109e-02
2.04204316e-05, 2.06637941e-02
2.07207322e-05, 2.06637792e-02
2.10210328e-05, 2.06637643e-02
2.13213334e-05, 2.06637513e-02
2.16216340e-05, 2.06637383e-02
2.19219346e-05, 2.06637215e-02
2.22222352e-05, 2.06637103e-02
2.25225358e-05, 2.06636935e-02
2.28228364e-05, 2.06636824e-02
