[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 27

[Data]
X [ m ],Velocity [ m s^-1 ]
1.79999997e-03, 1.68824792e-02
1.80030032e-03, 1.68817192e-02
1.80060067e-03, 1.68809574e-02
1.80090102e-03, 1.68801975e-02
1.80120138e-03, 1.68794356e-02
1.80150173e-03, 1.68786719e-02
1.80180208e-03, 1.68779138e-02
1.80210243e-03, 1.68771539e-02
1.80240278e-03, 1.68763921e-02
1.80270313e-03, 1.68756321e-02
1.80300348e-03, 1.68748703e-02
1.80330384e-03, 1.68741085e-02
1.80360419e-03, 1.68733466e-02
1.80390454e-03, 1.68725867e-02
1.80420489e-03, 1.68718267e-02
1.80450524e-03, 1.68710649e-02
1.80480559e-03, 1.68703049e-02
1.80510595e-03, 1.68695431e-02
1.80540630e-03, 1.68687832e-02
1.80570665e-03, 1.68680232e-02
1.80600700e-03, 1.68672614e-02
1.80630735e-03, 1.68665014e-02
1.80660770e-03, 1.68657396e-02
1.80690805e-03, 1.68649778e-02
1.80720841e-03, 1.68642178e-02
1.80750876e-03, 1.68634560e-02
1.80780911e-03, 1.68626979e-02
1.80810946e-03, 1.68619361e-02
1.80840981e-03, 1.68611743e-02
1.80871016e-03, 1.68604124e-02
1.80901051e-03, 1.68596525e-02
1.80931087e-03, 1.68588907e-02
1.80961122e-03, 1.68581326e-02
1.80991157e-03, 1.68573689e-02
1.81021192e-03, 1.68566089e-02
1.81051227e-03, 1.68558490e-02
1.81081262e-03, 1.68550890e-02
1.81111298e-03, 1.68543272e-02
1.81141333e-03, 1.68535672e-02
1.81171368e-03, 1.68528035e-02
1.81201403e-03, 1.68520454e-02
1.81231438e-03, 1.68512855e-02
1.81261473e-03, 1.68505237e-02
1.81291508e-03, 1.68497618e-02
1.81321544e-03, 1.68490037e-02
1.81351579e-03, 1.68482419e-02
1.81381614e-03, 1.68474801e-02
1.81411649e-03, 1.68467201e-02
1.81441684e-03, 1.68459602e-02
1.81471719e-03, 1.68451983e-02
1.81501755e-03, 1.68444384e-02
1.81531790e-03, 1.68435350e-02
1.81561825e-03, 1.68427080e-02
1.81591860e-03, 1.68420020e-02
1.81621895e-03, 1.68408900e-02
1.81651930e-03, 1.68398414e-02
1.81681965e-03, 1.68387964e-02
1.81712001e-03, 1.68377496e-02
1.81742036e-03, 1.68367065e-02
1.81772071e-03, 1.68356597e-02
1.81802106e-03, 1.68346129e-02
1.81832141e-03, 1.68335661e-02
1.81862176e-03, 1.68325230e-02
1.81892212e-03, 1.68314762e-02
1.81922247e-03, 1.68304313e-02
1.81952282e-03, 1.68293845e-02
1.81982317e-03, 1.68283395e-02
1.82012352e-03, 1.68272909e-02
1.82042387e-03, 1.68262478e-02
1.82072422e-03, 1.68252029e-02
1.82102458e-03, 1.68241560e-02
1.82132493e-03, 1.68231092e-02
1.82162528e-03, 1.68220680e-02
1.82192563e-03, 1.68210175e-02
1.82222598e-03, 1.68199725e-02
1.82252633e-03, 1.68189276e-02
1.82282669e-03, 1.68178827e-02
1.82312704e-03, 1.68168359e-02
1.82342739e-03, 1.68157909e-02
1.82372774e-03, 1.68147460e-02
1.82402809e-03, 1.68136992e-02
1.82432844e-03, 1.68126542e-02
1.82462879e-03, 1.68116093e-02
1.82492915e-03, 1.68105643e-02
1.82522950e-03, 1.68095175e-02
1.82552985e-03, 1.68084726e-02
1.82583020e-03, 1.68074258e-02
1.82613055e-03, 1.68063790e-02
1.82643090e-03, 1.68053340e-02
1.82673126e-03, 1.68042891e-02
1.82703161e-03, 1.68032441e-02
1.82733196e-03, 1.68022010e-02
1.82763231e-03, 1.68011524e-02
1.82793266e-03, 1.68001093e-02
1.82823301e-03, 1.67990644e-02
1.82853336e-03, 1.67980175e-02
1.82883372e-03, 1.67969726e-02
1.82913407e-03, 1.67959277e-02
1.82943442e-03, 1.67948827e-02
1.82973477e-03, 1.67938340e-02
1.83003512e-03, 1.67927910e-02
1.83033547e-03, 1.67917442e-02
1.83063583e-03, 1.67907011e-02
1.83093618e-03, 1.67896543e-02
1.83123653e-03, 1.67886093e-02
1.83153688e-03, 1.67875644e-02
1.83183723e-03, 1.67865213e-02
1.83213758e-03, 1.67854726e-02
1.83243793e-03, 1.67844296e-02
1.83273829e-03, 1.67834759e-02
1.83303864e-03, 1.67823732e-02
1.83333899e-03, 1.67813562e-02
1.83363934e-03, 1.67803429e-02
1.83393969e-03, 1.67793259e-02
1.83424004e-03, 1.67783108e-02
1.83454040e-03, 1.67772975e-02
1.83484075e-03, 1.67762823e-02
1.83514110e-03, 1.67752691e-02
1.83544145e-03, 1.67742558e-02
1.83574180e-03, 1.67732406e-02
1.83604215e-03, 1.67722255e-02
1.83634250e-03, 1.67712122e-02
1.83664286e-03, 1.67701952e-02
1.83694321e-03, 1.67691819e-02
1.83724356e-03, 1.67681687e-02
1.83754391e-03, 1.67671517e-02
1.83784426e-03, 1.67661384e-02
1.83814461e-03, 1.67651214e-02
1.83844496e-03, 1.67641081e-02
1.83874532e-03, 1.67630948e-02
1.83904567e-03, 1.67620797e-02
1.83934602e-03, 1.67610664e-02
1.83964637e-03, 1.67600513e-02
1.83994672e-03, 1.67590380e-02
1.84024707e-03, 1.67580210e-02
1.84054743e-03, 1.67570077e-02
1.84084778e-03, 1.67559944e-02
1.84114813e-03, 1.67549774e-02
1.84144848e-03, 1.67539641e-02
1.84174883e-03, 1.67529508e-02
1.84204918e-03, 1.67519376e-02
1.84234953e-03, 1.67509206e-02
1.84264989e-03, 1.67499091e-02
1.84295024e-03, 1.67488940e-02
1.84325059e-03, 1.67478789e-02
1.84355094e-03, 1.67468656e-02
1.84385129e-03, 1.67458504e-02
1.84415164e-03, 1.67448372e-02
1.84445200e-03, 1.67438239e-02
1.84475235e-03, 1.67428106e-02
1.84505270e-03, 1.67417955e-02
1.84535305e-03, 1.67407822e-02
1.84565340e-03, 1.67397670e-02
1.84595375e-03, 1.67387500e-02
1.84625410e-03, 1.67377368e-02
1.84655446e-03, 1.67367253e-02
1.84685481e-03, 1.67357102e-02
1.84715516e-03, 1.67346951e-02
1.84745551e-03, 1.67336818e-02
1.84775586e-03, 1.67326685e-02
1.84805621e-03, 1.67316534e-02
1.84835657e-03, 1.67306401e-02
1.84865692e-03, 1.67296268e-02
1.84895727e-03, 1.67286135e-02
1.84925762e-03, 1.67275965e-02
1.84955797e-03, 1.67265851e-02
1.84985832e-03, 1.67255700e-02
1.85015867e-03, 1.67245567e-02
1.85045903e-03, 1.67235397e-02
1.85075938e-03, 1.67225283e-02
1.85105973e-03, 1.67215131e-02
1.85136008e-03, 1.67204998e-02
1.85166043e-03, 1.67194866e-02
1.85196078e-03, 1.67184714e-02
1.85226114e-03, 1.67174581e-02
1.85256149e-03, 1.67164430e-02
1.85286184e-03, 1.67154316e-02
1.85316219e-03, 1.67144183e-02
1.85346254e-03, 1.67134032e-02
1.85376289e-03, 1.67123899e-02
1.85406324e-03, 1.67113747e-02
1.85436360e-03, 1.67103615e-02
1.85466395e-03, 1.67093463e-02
1.85496430e-03, 1.67083330e-02
1.85526465e-03, 1.67073216e-02
1.85556500e-03, 1.67063065e-02
1.85586535e-03, 1.67052932e-02
1.85616571e-03, 1.67042799e-02
1.85646606e-03, 1.67032648e-02
1.85676641e-03, 1.67022534e-02
1.85706676e-03, 1.67012382e-02
1.85736711e-03, 1.67002250e-02
1.85766746e-03, 1.66992117e-02
1.85796781e-03, 1.66981984e-02
1.85826817e-03, 1.66971851e-02
1.85856852e-03, 1.66961700e-02
1.85886887e-03, 1.66951567e-02
1.85916922e-03, 1.66941434e-02
1.85946957e-03, 1.66931320e-02
1.85976992e-03, 1.66921169e-02
1.86007028e-03, 1.66911036e-02
1.86037063e-03, 1.66900903e-02
1.86067098e-03, 1.66890752e-02
1.86097133e-03, 1.66880637e-02
1.86127168e-03, 1.66870486e-02
1.86157203e-03, 1.66860353e-02
1.86187238e-03, 1.66850239e-02
1.86217274e-03, 1.66840088e-02
1.86247309e-03, 1.66829973e-02
1.86277344e-03, 1.66819822e-02
1.86307379e-03, 1.66809708e-02
1.86337414e-03, 1.66799556e-02
1.86367449e-03, 1.66789424e-02
1.86397485e-03, 1.66779291e-02
1.86427520e-03, 1.66769139e-02
1.86457555e-03, 1.66759025e-02
1.86487590e-03, 1.66748893e-02
1.86517625e-03, 1.66738741e-02
1.86547660e-03, 1.66728608e-02
1.86577695e-03, 1.66718494e-02
1.86607731e-03, 1.66708380e-02
1.86637766e-03, 1.66698229e-02
1.86667801e-03, 1.66688096e-02
1.86697836e-03, 1.66677963e-02
1.86727871e-03, 1.66667812e-02
1.86757906e-03, 1.66657679e-02
1.86787941e-03, 1.66647565e-02
1.86817977e-03, 1.66637432e-02
1.86848012e-03, 1.66627280e-02
1.86878047e-03, 1.66617166e-02
1.86908082e-03, 1.66607052e-02
1.86938117e-03, 1.66597404e-02
1.86968152e-03, 1.66590698e-02
1.86998188e-03, 1.66577473e-02
1.87028223e-03, 1.66568980e-02
1.87058258e-03, 1.66560505e-02
1.87088293e-03, 1.66551992e-02
1.87118328e-03, 1.66543517e-02
1.87148363e-03, 1.66535005e-02
1.87178398e-03, 1.66526530e-02
1.87208434e-03, 1.66518036e-02
1.87238469e-03, 1.66509543e-02
1.87268504e-03, 1.66501049e-02
1.87298539e-03, 1.66492537e-02
1.87328574e-03, 1.66484062e-02
1.87358609e-03, 1.66475568e-02
1.87388645e-03, 1.66467074e-02
1.87418680e-03, 1.66458581e-02
1.87448715e-03, 1.66450106e-02
1.87478750e-03, 1.66441593e-02
1.87508785e-03, 1.66433118e-02
1.87538820e-03, 1.66424606e-02
1.87568855e-03, 1.66416150e-02
1.87598891e-03, 1.66407656e-02
1.87628926e-03, 1.66399144e-02
1.87658961e-03, 1.66390650e-02
1.87688996e-03, 1.66382156e-02
1.87719031e-03, 1.66373700e-02
