[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 26

[Data]
X [ m ],Velocity [ m s^-1 ]
1.50000001e-03, 1.78961959e-02
1.50030036e-03, 1.78952720e-02
1.50060072e-03, 1.78943500e-02
1.50090107e-03, 1.78934243e-02
1.50120142e-03, 1.78924967e-02
1.50150177e-03, 1.78915747e-02
1.50180212e-03, 1.78906489e-02
1.50210247e-03, 1.78897232e-02
1.50240283e-03, 1.78887993e-02
1.50270318e-03, 1.78878736e-02
1.50300353e-03, 1.78869497e-02
1.50330388e-03, 1.78860240e-02
1.50360423e-03, 1.78851001e-02
1.50390458e-03, 1.78841744e-02
1.50420493e-03, 1.78832505e-02
1.50450529e-03, 1.78823248e-02
1.50480564e-03, 1.78814009e-02
1.50510599e-03, 1.78804770e-02
1.50540634e-03, 1.78795494e-02
1.50570669e-03, 1.78786255e-02
1.50600704e-03, 1.78777035e-02
1.50630740e-03, 1.78767759e-02
1.50660775e-03, 1.78758521e-02
1.50690810e-03, 1.78749263e-02
1.50720845e-03, 1.78740025e-02
1.50750880e-03, 1.78730786e-02
1.50780915e-03, 1.78721547e-02
1.50810950e-03, 1.78712290e-02
1.50840986e-03, 1.78703051e-02
1.50871021e-03, 1.78693794e-02
1.50901056e-03, 1.78684536e-02
1.50931091e-03, 1.78675298e-02
1.50961126e-03, 1.78666040e-02
1.50991161e-03, 1.78656802e-02
1.51021197e-03, 1.78647544e-02
1.51051232e-03, 1.78638306e-02
1.51081267e-03, 1.78629048e-02
1.51111302e-03, 1.78619828e-02
1.51141337e-03, 1.78610571e-02
1.51171372e-03, 1.78601295e-02
1.51201407e-03, 1.78588331e-02
1.51231443e-03, 1.78583320e-02
1.51261478e-03, 1.78574752e-02
1.51291513e-03, 1.78566128e-02
1.51321548e-03, 1.78557560e-02
1.51351583e-03, 1.78548954e-02
1.51381618e-03, 1.78540349e-02
1.51411653e-03, 1.78531744e-02
1.51441689e-03, 1.78523157e-02
1.51471724e-03, 1.78514589e-02
1.51501759e-03, 1.78506002e-02
1.51531794e-03, 1.78497378e-02
1.51561829e-03, 1.78488810e-02
1.51591864e-03, 1.78480204e-02
1.51621900e-03, 1.78471617e-02
1.51651935e-03, 1.78463012e-02
1.51681970e-03, 1.78454425e-02
1.51712005e-03, 1.78445838e-02
1.51742040e-03, 1.78437233e-02
1.51772075e-03, 1.78428646e-02
1.51802110e-03, 1.78420059e-02
1.51832146e-03, 1.78411473e-02
1.51862181e-03, 1.78402849e-02
1.51892216e-03, 1.78394280e-02
1.51922251e-03, 1.78385675e-02
1.51952286e-03, 1.78377088e-02
1.51982321e-03, 1.78368483e-02
1.52012357e-03, 1.78359896e-02
1.52042392e-03, 1.78351291e-02
1.52072427e-03, 1.78342722e-02
1.52102462e-03, 1.78334098e-02
1.52132497e-03, 1.78325549e-02
1.52162532e-03, 1.78316906e-02
1.52192567e-03, 1.78308338e-02
1.52222603e-03, 1.78299751e-02
1.52252638e-03, 1.78291164e-02
1.52282673e-03, 1.78282578e-02
1.52312708e-03, 1.78274214e-02
1.52342743e-03, 1.78264882e-02
1.52372778e-03, 1.78255532e-02
1.52402814e-03, 1.78246219e-02
1.52432849e-03, 1.78236868e-02
1.52462884e-03, 1.78227518e-02
1.52492919e-03, 1.78218186e-02
1.52522954e-03, 1.78208835e-02
1.52552989e-03, 1.78199522e-02
1.52583024e-03, 1.78190172e-02
1.52613060e-03, 1.78180840e-02
1.52643095e-03, 1.78171489e-02
1.52673130e-03, 1.78162158e-02
1.52703165e-03, 1.78152807e-02
1.52733200e-03, 1.78143475e-02
1.52763235e-03, 1.78134143e-02
1.52793271e-03, 1.78124812e-02
1.52823306e-03, 1.78115480e-02
1.52853341e-03, 1.78106148e-02
1.52883376e-03, 1.78096816e-02
1.52913411e-03, 1.78087465e-02
1.52943446e-03, 1.78078134e-02
1.52973481e-03, 1.78068783e-02
1.53003517e-03, 1.78059470e-02
1.53033552e-03, 1.78050119e-02
1.53063587e-03, 1.78040788e-02
1.53093622e-03, 1.78031456e-02
1.53123657e-03, 1.78022124e-02
1.53153692e-03, 1.78012792e-02
1.53183728e-03, 1.78003460e-02
1.53213763e-03, 1.77994110e-02
1.53243798e-03, 1.77984796e-02
1.53273833e-03, 1.77975427e-02
1.53303868e-03, 1.77966114e-02
1.53333903e-03, 1.77956782e-02
1.53363938e-03, 1.77947432e-02
1.53393974e-03, 1.77938100e-02
1.53424009e-03, 1.77928768e-02
1.53454044e-03, 1.77919436e-02
1.53484079e-03, 1.77910104e-02
1.53514114e-03, 1.77900754e-02
1.53544149e-03, 1.77891422e-02
1.53574185e-03, 1.77882072e-02
1.53604220e-03, 1.77872758e-02
1.53634255e-03, 1.77863408e-02
1.53664290e-03, 1.77854076e-02
1.53694325e-03, 1.77844763e-02
1.53724360e-03, 1.77835412e-02
1.53754395e-03, 1.77826080e-02
1.53784431e-03, 1.77816730e-02
1.53814466e-03, 1.77807398e-02
1.53844501e-03, 1.77798066e-02
1.53874536e-03, 1.77788734e-02
1.53904571e-03, 1.77779403e-02
1.53934606e-03, 1.77770071e-02
1.53964642e-03, 1.77760702e-02
1.53994677e-03, 1.77751407e-02
1.54024712e-03, 1.77742057e-02
1.54054747e-03, 1.77732706e-02
1.54084782e-03, 1.77723393e-02
1.54114817e-03, 1.77714042e-02
1.54144852e-03, 1.77705530e-02
1.54174888e-03, 1.77695584e-02
1.54204923e-03, 1.77686363e-02
1.54234958e-03, 1.77677125e-02
1.54264993e-03, 1.77667905e-02
1.54295028e-03, 1.77658685e-02
1.54325063e-03, 1.77649464e-02
1.54355098e-03, 1.77640244e-02
1.54385134e-03, 1.77631006e-02
1.54415169e-03, 1.77621786e-02
1.54445204e-03, 1.77612565e-02
1.54475239e-03, 1.77603327e-02
1.54505274e-03, 1.77594125e-02
1.54535309e-03, 1.77584905e-02
1.54565345e-03, 1.77575685e-02
1.54595380e-03, 1.77566465e-02
1.54625415e-03, 1.77557245e-02
1.54655450e-03, 1.77548006e-02
1.54685485e-03, 1.77538786e-02
1.54715520e-03, 1.77529585e-02
1.54745555e-03, 1.77520346e-02
1.54775591e-03, 1.77511126e-02
1.54805626e-03, 1.77501887e-02
1.54835661e-03, 1.77492686e-02
1.54865696e-03, 1.77483466e-02
1.54895731e-03, 1.77474245e-02
1.54925766e-03, 1.77465025e-02
1.54955802e-03, 1.77455787e-02
1.54985837e-03, 1.77446585e-02
1.55015872e-03, 1.77437346e-02
1.55045907e-03, 1.77428126e-02
1.55075942e-03, 1.77418906e-02
1.55105977e-03, 1.77409686e-02
1.55136012e-03, 1.77400466e-02
1.55166048e-03, 1.77391246e-02
1.55196083e-03, 1.77382026e-02
1.55226118e-03, 1.77372787e-02
1.55256153e-03, 1.77363586e-02
1.55286188e-03, 1.77354366e-02
1.55316223e-03, 1.77345145e-02
1.55346259e-03, 1.77335925e-02
1.55376294e-03, 1.77326687e-02
1.55406329e-03, 1.77317485e-02
1.55436364e-03, 1.77308265e-02
1.55466399e-03, 1.77299045e-02
1.55496434e-03, 1.77289825e-02
1.55526469e-03, 1.77280586e-02
1.55556505e-03, 1.77271347e-02
1.55586540e-03, 1.77262146e-02
1.55616575e-03, 1.77252945e-02
1.55646610e-03, 1.77243724e-02
1.55676645e-03, 1.77234486e-02
1.55706680e-03, 1.77225247e-02
1.55736716e-03, 1.77216064e-02
1.55766751e-03, 1.77206825e-02
1.55796786e-03, 1.77197587e-02
1.55826821e-03, 1.77188367e-02
