[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 23

[Data]
X [ m ],Velocity [ m s^-1 ]
6.00000028e-04, 2.01421231e-02
6.00300322e-04, 2.01416463e-02
6.00600615e-04, 2.01411694e-02
6.00900908e-04, 2.01406963e-02
6.01201202e-04, 2.01402176e-02
6.01501495e-04, 2.01397426e-02
6.01801788e-04, 2.01392658e-02
6.02102082e-04, 2.01387890e-02
6.02402375e-04, 2.01383121e-02
6.02702668e-04, 2.01378372e-02
6.03002962e-04, 2.01373603e-02
6.03303255e-04, 2.01368816e-02
6.03603548e-04, 2.01364085e-02
6.03903842e-04, 2.01359317e-02
6.04204135e-04, 2.01354567e-02
6.04504428e-04, 2.01349799e-02
6.04804722e-04, 2.01345049e-02
6.05105015e-04, 2.01340262e-02
6.05405308e-04, 2.01335531e-02
6.05705602e-04, 2.01330762e-02
6.06005895e-04, 2.01325994e-02
6.06306188e-04, 2.01321226e-02
6.06606482e-04, 2.01316457e-02
6.06906775e-04, 2.01311707e-02
6.07207068e-04, 2.01306939e-02
6.07507362e-04, 2.01302171e-02
6.07807655e-04, 2.01297421e-02
6.08107948e-04, 2.01292671e-02
6.08408242e-04, 2.01287903e-02
6.08708535e-04, 2.01283135e-02
6.09008828e-04, 2.01278385e-02
6.09309122e-04, 2.01273616e-02
6.09609415e-04, 2.01268867e-02
6.09909708e-04, 2.01264117e-02
6.10210001e-04, 2.01259349e-02
6.10510295e-04, 2.01254580e-02
6.10810588e-04, 2.01249849e-02
6.11110881e-04, 2.01245062e-02
6.11411175e-04, 2.01240331e-02
6.11711468e-04, 2.01235544e-02
6.12011761e-04, 2.01230794e-02
6.12312055e-04, 2.01226063e-02
6.12612348e-04, 2.01221276e-02
6.12912641e-04, 2.01216526e-02
6.13212935e-04, 2.01211795e-02
6.13513228e-04, 2.01207008e-02
6.13813521e-04, 2.01202258e-02
6.14113815e-04, 2.01197509e-02
6.14414108e-04, 2.01192759e-02
6.14714401e-04, 2.01187972e-02
6.15014695e-04, 2.01183241e-02
6.15314988e-04, 2.01178491e-02
6.15615281e-04, 2.01173723e-02
6.15915575e-04, 2.01168973e-02
6.16215868e-04, 2.01164205e-02
6.16516161e-04, 2.01159474e-02
6.16816455e-04, 2.01154705e-02
6.17116748e-04, 2.01149937e-02
6.17417041e-04, 2.01144833e-02
6.17717335e-04, 2.01139543e-02
