[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 22

[Data]
X [ m ],Velocity [ m s^-1 ]
3.00000014e-04, 2.05197521e-02
3.00300308e-04, 2.05194876e-02
3.00600601e-04, 2.05192287e-02
3.00900894e-04, 2.05189642e-02
3.01201188e-04, 2.05187052e-02
3.01501481e-04, 2.05184408e-02
3.01801774e-04, 2.05181763e-02
3.02102068e-04, 2.05179155e-02
3.02402361e-04, 2.05176547e-02
3.02702654e-04, 2.05173902e-02
3.03002947e-04, 2.05171295e-02
3.03303241e-04, 2.05168687e-02
3.03603534e-04, 2.05165911e-02
3.03903827e-04, 2.05163341e-02
3.04204121e-04, 2.05160510e-02
3.04504414e-04, 2.05157660e-02
3.04804707e-04, 2.05154810e-02
3.05105001e-04, 2.05151979e-02
3.05405294e-04, 2.05149148e-02
3.05705587e-04, 2.05146298e-02
3.06005881e-04, 2.05143467e-02
3.06306174e-04, 2.05140635e-02
3.06606467e-04, 2.05137786e-02
3.06906761e-04, 2.05134936e-02
3.07207054e-04, 2.05132104e-02
3.07507347e-04, 2.05129273e-02
3.07807641e-04, 2.05126442e-02
3.08107934e-04, 2.05123574e-02
3.08408227e-04, 2.05120742e-02
3.08708521e-04, 2.05117911e-02
3.09008814e-04, 2.05115061e-02
3.09309107e-04, 2.05112211e-02
3.09609401e-04, 2.05109399e-02
3.09909694e-04, 2.05106568e-02
3.10209987e-04, 2.05103718e-02
3.10510281e-04, 2.05100868e-02
3.10810574e-04, 2.05098055e-02
3.11110867e-04, 2.05095205e-02
3.11411161e-04, 2.05092356e-02
3.11711454e-04, 2.05089506e-02
3.12011747e-04, 2.05086675e-02
3.12312040e-04, 2.05083843e-02
3.12612334e-04, 2.05080993e-02
3.12912627e-04, 2.05078181e-02
3.13212920e-04, 2.05075350e-02
3.13513214e-04, 2.05072500e-02
3.13813507e-04, 2.05069650e-02
3.14113800e-04, 2.05066819e-02
3.14414094e-04, 2.05063988e-02
3.14714387e-04, 2.05061156e-02
3.15014680e-04, 2.05058306e-02
3.15314974e-04, 2.05055457e-02
3.15615267e-04, 2.05052625e-02
3.15915560e-04, 2.05049794e-02
3.16215854e-04, 2.05046963e-02
3.16516147e-04, 2.05044113e-02
3.16816440e-04, 2.05041282e-02
3.17116734e-04, 2.05038432e-02
3.17417027e-04, 2.05035601e-02
3.17717320e-04, 2.05032751e-02
3.18017614e-04, 2.05029938e-02
3.18317907e-04, 2.05027089e-02
3.18618200e-04, 2.05024257e-02
3.18918494e-04, 2.05021426e-02
3.19218787e-04, 2.05018595e-02
3.19519080e-04, 2.05015764e-02
3.19819374e-04, 2.05012932e-02
3.20119667e-04, 2.05010101e-02
3.20419960e-04, 2.05007233e-02
3.20720254e-04, 2.05004402e-02
3.21020547e-04, 2.05001570e-02
3.21320840e-04, 2.04998739e-02
3.21621133e-04, 2.04995889e-02
3.21921427e-04, 2.04993058e-02
3.22221720e-04, 2.04990227e-02
3.22522013e-04, 2.04987377e-02
3.22822307e-04, 2.04984564e-02
3.23122600e-04, 2.04981733e-02
3.23422893e-04, 2.04978902e-02
3.23723187e-04, 2.04976052e-02
3.24023480e-04, 2.04973202e-02
3.24323773e-04, 2.04970371e-02
3.24624067e-04, 2.04967540e-02
3.24924360e-04, 2.04964709e-02
3.25224653e-04, 2.04961877e-02
3.25524947e-04, 2.04959046e-02
3.25825240e-04, 2.04956215e-02
3.26125533e-04, 2.04953384e-02
3.26425827e-04, 2.04950552e-02
3.26726120e-04, 2.04947703e-02
3.27026413e-04, 2.04944871e-02
3.27326707e-04, 2.04942040e-02
3.27627000e-04, 2.04939190e-02
3.27927293e-04, 2.04941090e-02
3.28227587e-04, 2.04933546e-02
3.28527880e-04, 2.04930846e-02
3.28828173e-04, 2.04928201e-02
3.29128467e-04, 2.04925481e-02
3.29428760e-04, 2.04922780e-02
3.29729053e-04, 2.04920098e-02
3.30029347e-04, 2.04917416e-02
3.30329640e-04, 2.04914734e-02
3.30629933e-04, 2.04912052e-02
3.30930226e-04, 2.04909369e-02
3.31230520e-04, 2.04906687e-02
3.31530813e-04, 2.04904005e-02
3.31831106e-04, 2.04901323e-02
3.32131400e-04, 2.04898622e-02
3.32431693e-04, 2.04895902e-02
3.32731986e-04, 2.04893239e-02
3.33032280e-04, 2.04890538e-02
3.33332573e-04, 2.04887856e-02
3.33632866e-04, 2.04885174e-02
3.33933160e-04, 2.04882491e-02
3.34233453e-04, 2.04879809e-02
3.34533746e-04, 2.04877108e-02
3.34834040e-04, 2.04874426e-02
3.35134333e-04, 2.04871763e-02
3.35434626e-04, 2.04869062e-02
3.35734920e-04, 2.04866361e-02
3.36035213e-04, 2.04863697e-02
3.36335506e-04, 2.04860996e-02
3.36635800e-04, 2.04858314e-02
3.36936093e-04, 2.04855632e-02
3.37236386e-04, 2.04852950e-02
3.37536680e-04, 2.04850268e-02
3.37836973e-04, 2.04847585e-02
3.38137266e-04, 2.04844903e-02
3.38437560e-04, 2.04842221e-02
3.38737853e-04, 2.04839539e-02
3.39038146e-04, 2.04836838e-02
3.39338440e-04, 2.04834174e-02
3.39638733e-04, 2.04831474e-02
3.39939026e-04, 2.04828791e-02
3.40239319e-04, 2.04826109e-02
3.40539613e-04, 2.04823427e-02
3.40839906e-04, 2.04820745e-02
3.41140199e-04, 2.04818062e-02
3.41440493e-04, 2.04815380e-02
3.41740786e-04, 2.04812698e-02
3.42041079e-04, 2.04810016e-02
3.42341373e-04, 2.04807315e-02
3.42641666e-04, 2.04804651e-02
3.42941959e-04, 2.04801951e-02
3.43242253e-04, 2.04799268e-02
3.43542546e-04, 2.04796586e-02
3.43842839e-04, 2.04793904e-02
3.44143133e-04, 2.04791222e-02
3.44443426e-04, 2.04789639e-02
3.44743719e-04, 2.04785690e-02
3.45044013e-04, 2.04782896e-02
3.45344306e-04, 2.04780083e-02
3.45644599e-04, 2.04777271e-02
3.45944893e-04, 2.04774477e-02
3.46245186e-04, 2.04771664e-02
3.46545479e-04, 2.04768870e-02
3.46845773e-04, 2.04766039e-02
3.47146066e-04, 2.04763245e-02
3.47446359e-04, 2.04760451e-02
3.47746653e-04, 2.04757638e-02
3.48046946e-04, 2.04754807e-02
3.48347239e-04, 2.04752013e-02
3.48647533e-04, 2.04749219e-02
3.48947826e-04, 2.04746407e-02
3.49248119e-04, 2.04743575e-02
3.49548412e-04, 2.04740800e-02
3.49848706e-04, 2.04737969e-02
3.50148999e-04, 2.04735175e-02
3.50449292e-04, 2.04732362e-02
3.50749586e-04, 2.04729568e-02
3.51049879e-04, 2.04726756e-02
3.51350172e-04, 2.04723962e-02
3.51650466e-04, 2.04721149e-02
3.51950759e-04, 2.04718336e-02
3.52251052e-04, 2.04715524e-02
3.52551346e-04, 2.04712711e-02
3.52851639e-04, 2.04709899e-02
3.53151932e-04, 2.04707123e-02
3.53452226e-04, 2.04704311e-02
3.53752519e-04, 2.04701498e-02
3.54052812e-04, 2.04698686e-02
3.54353106e-04, 2.04695910e-02
3.54653399e-04, 2.04692669e-02
3.54953692e-04, 2.04689950e-02
3.55253986e-04, 2.04686355e-02
3.55554279e-04, 2.04682779e-02
3.55854572e-04, 2.04679184e-02
3.56154866e-04, 2.04675589e-02
3.56455159e-04, 2.04672012e-02
3.56755452e-04, 2.04668436e-02
3.57055746e-04, 2.04664823e-02
3.57356039e-04, 2.04661246e-02
3.57656332e-04, 2.04657689e-02
3.57956626e-04, 2.04654094e-02
3.58256919e-04, 2.04650499e-02
3.58557212e-04, 2.04646904e-02
3.58857505e-04, 2.04643309e-02
3.59157799e-04, 2.04639714e-02
3.59458092e-04, 2.04636157e-02
3.59758385e-04, 2.04632580e-02
3.60058679e-04, 2.04628967e-02
