[Name]
Series 1 for Case v9_m5_350 at /LINE:Line horizontal 12

[Data]
X [ m ],Velocity [ m s^-1 ]
-2.70000007e-03, 1.34944431e-02
-2.69969972e-03, 1.34958001e-02
-2.69939937e-03, 1.34971598e-02
-2.69909902e-03, 1.34985177e-02
-2.69879866e-03, 1.34998746e-02
-2.69849831e-03, 1.35012334e-02
-2.69819796e-03, 1.35025922e-02
-2.69789761e-03, 1.35039501e-02
-2.69759726e-03, 1.35053089e-02
-2.69729691e-03, 1.35066686e-02
-2.69699655e-03, 1.35080256e-02
-2.69669620e-03, 1.35090454e-02
-2.69639585e-03, 1.35109145e-02
-2.69609550e-03, 1.35124037e-02
-2.69579515e-03, 1.35138910e-02
-2.69549480e-03, 1.35153793e-02
-2.69519445e-03, 1.35168685e-02
-2.69489409e-03, 1.35183567e-02
-2.69459374e-03, 1.35198459e-02
-2.69429339e-03, 1.35213342e-02
-2.69399304e-03, 1.35228233e-02
-2.69369269e-03, 1.35243116e-02
-2.69339234e-03, 1.35257998e-02
-2.69309198e-03, 1.35272890e-02
-2.69279163e-03, 1.35287773e-02
-2.69249128e-03, 1.35302665e-02
-2.69219093e-03, 1.35317547e-02
-2.69189058e-03, 1.35332439e-02
-2.69159023e-03, 1.35347312e-02
-2.69128988e-03, 1.35362195e-02
-2.69098952e-03, 1.35377096e-02
-2.69068917e-03, 1.35391997e-02
-2.69038882e-03, 1.35406880e-02
-2.69008847e-03, 1.35421762e-02
-2.68978812e-03, 1.35436654e-02
-2.68948777e-03, 1.35451546e-02
-2.68918741e-03, 1.35466428e-02
-2.68888706e-03, 1.35481339e-02
-2.68858671e-03, 1.35496231e-02
-2.68828636e-03, 1.35511123e-02
-2.68798601e-03, 1.35525996e-02
-2.68768566e-03, 1.35540897e-02
-2.68738531e-03, 1.35555798e-02
-2.68708495e-03, 1.35570690e-02
-2.68678460e-03, 1.35585582e-02
-2.68648425e-03, 1.35600483e-02
-2.68618390e-03, 1.35615384e-02
-2.68588355e-03, 1.35630267e-02
-2.68558320e-03, 1.35645159e-02
-2.68528285e-03, 1.35660060e-02
-2.68498249e-03, 1.35674952e-02
-2.68468214e-03, 1.35689834e-02
-2.68438179e-03, 1.35704754e-02
-2.68408144e-03, 1.35719646e-02
-2.68378109e-03, 1.35734538e-02
-2.68348074e-03, 1.35749439e-02
-2.68318038e-03, 1.35764340e-02
-2.68288003e-03, 1.35779232e-02
-2.68257968e-03, 1.35794133e-02
-2.68227933e-03, 1.35809034e-02
-2.68197898e-03, 1.35823935e-02
-2.68167863e-03, 1.35838836e-02
-2.68137828e-03, 1.35853738e-02
-2.68107792e-03, 1.35868629e-02
-2.68077757e-03, 1.35883531e-02
-2.68047722e-03, 1.35898413e-02
-2.68017687e-03, 1.35913342e-02
-2.67987652e-03, 1.35928234e-02
-2.67957617e-03, 1.35943135e-02
-2.67927581e-03, 1.35958046e-02
-2.67897546e-03, 1.35972928e-02
-2.67867511e-03, 1.35987839e-02
-2.67837476e-03, 1.36002740e-02
-2.67807441e-03, 1.36017650e-02
-2.67777406e-03, 1.36032552e-02
-2.67747371e-03, 1.36047462e-02
-2.67717335e-03, 1.36062382e-02
-2.67687300e-03, 1.36077264e-02
-2.67657265e-03, 1.36092175e-02
-2.67627230e-03, 1.36107076e-02
-2.67597195e-03, 1.36121986e-02
-2.67567160e-03, 1.36136906e-02
-2.67537124e-03, 1.36151807e-02
-2.67507089e-03, 1.36166709e-02
-2.67477054e-03, 1.36181600e-02
-2.67447019e-03, 1.36196520e-02
-2.67416984e-03, 1.36211421e-02
-2.67386949e-03, 1.36226332e-02
-2.67356914e-03, 1.36241252e-02
-2.67326878e-03, 1.36256153e-02
-2.67296843e-03, 1.36271054e-02
-2.67266808e-03, 1.36285964e-02
-2.67236773e-03, 1.36300884e-02
-2.67206738e-03, 1.36315785e-02
-2.67176703e-03, 1.36330696e-02
-2.67146667e-03, 1.36345606e-02
-2.67116632e-03, 1.36360517e-02
-2.67086597e-03, 1.36375437e-02
-2.67056562e-03, 1.36390356e-02
-2.67026527e-03, 1.36405258e-02
-2.66996492e-03, 1.36420187e-02
-2.66966457e-03, 1.36435069e-02
-2.66936421e-03, 1.36449989e-02
-2.66906386e-03, 1.36464899e-02
-2.66876351e-03, 1.36479819e-02
-2.66846316e-03, 1.36494748e-02
-2.66816281e-03, 1.36509649e-02
-2.66786246e-03, 1.36524569e-02
-2.66756210e-03, 1.36539470e-02
-2.66726175e-03, 1.36554390e-02
-2.66696140e-03, 1.36569310e-02
-2.66666105e-03, 1.36584220e-02
-2.66636070e-03, 1.36599150e-02
-2.66606035e-03, 1.36614060e-02
-2.66576000e-03, 1.36628980e-02
-2.66545964e-03, 1.36643881e-02
-2.66515929e-03, 1.36658829e-02
-2.66485894e-03, 1.36673730e-02
-2.66455859e-03, 1.36688640e-02
-2.66425824e-03, 1.36703569e-02
-2.66395789e-03, 1.36718480e-02
-2.66365753e-03, 1.36733409e-02
-2.66335718e-03, 1.36748329e-02
-2.66305683e-03, 1.36763249e-02
-2.66275648e-03, 1.36778168e-02
-2.66245613e-03, 1.36793088e-02
-2.66215578e-03, 1.36808008e-02
-2.66185543e-03, 1.36822937e-02
-2.66155507e-03, 1.36837848e-02
-2.66125472e-03, 1.36852767e-02
-2.66095437e-03, 1.36867696e-02
-2.66065402e-03, 1.36879422e-02
-2.66035367e-03, 1.36894109e-02
-2.66005332e-03, 1.36906579e-02
-2.65975296e-03, 1.36919040e-02
-2.65945261e-03, 1.36931492e-02
-2.65915226e-03, 1.36943953e-02
-2.65885191e-03, 1.36956414e-02
-2.65855156e-03, 1.36968894e-02
-2.65825121e-03, 1.36981346e-02
-2.65795086e-03, 1.36993816e-02
-2.65765050e-03, 1.37006277e-02
-2.65735015e-03, 1.37018748e-02
-2.65704980e-03, 1.37031199e-02
-2.65674945e-03, 1.37043670e-02
-2.65644910e-03, 1.37056373e-02
-2.65614875e-03, 1.37066795e-02
-2.65584840e-03, 1.37077216e-02
-2.65554804e-03, 1.37087628e-02
-2.65524769e-03, 1.37098059e-02
-2.65494734e-03, 1.37108471e-02
-2.65464699e-03, 1.37118902e-02
-2.65434664e-03, 1.37129314e-02
-2.65404629e-03, 1.37139726e-02
-2.65374593e-03, 1.37150157e-02
-2.65344558e-03, 1.37160579e-02
-2.65314523e-03, 1.37171000e-02
-2.65284488e-03, 1.37181431e-02
-2.65254453e-03, 1.37191834e-02
-2.65224418e-03, 1.37202265e-02
-2.65194383e-03, 1.37212686e-02
-2.65164347e-03, 1.37223098e-02
-2.65134312e-03, 1.37233529e-02
-2.65104277e-03, 1.37243951e-02
-2.65074242e-03, 1.37254363e-02
-2.65044207e-03, 1.37264794e-02
-2.65014172e-03, 1.37275206e-02
-2.64984136e-03, 1.37285627e-02
-2.64954101e-03, 1.37296049e-02
-2.64924066e-03, 1.37306470e-02
