[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 18

[Data]
X [ m ],Velocity [ m s^-1 ]
-8.99999985e-04, 1.52708776e-02
-8.99699691e-04, 1.52791208e-02
-8.99399398e-04, 1.52873881e-02
-8.99099105e-04, 1.52956787e-02
-8.98798811e-04, 1.53039955e-02
-8.98498518e-04, 1.53123364e-02
-8.98198225e-04, 1.53207015e-02
-8.97897931e-04, 1.53290918e-02
-8.97597638e-04, 1.53375054e-02
-8.97297345e-04, 1.53491460e-02
-8.96997051e-04, 1.53542571e-02
-8.96696758e-04, 1.53621873e-02
-8.96396465e-04, 1.53701408e-02
-8.96096171e-04, 1.53781110e-02
-8.95795878e-04, 1.53861055e-02
-8.95495585e-04, 1.53941186e-02
-8.95195291e-04, 1.54021522e-02
-8.94894998e-04, 1.54102063e-02
-8.94594705e-04, 1.54182808e-02
-8.94294411e-04, 1.54263768e-02
-8.93994118e-04, 1.54344933e-02
-8.93693825e-04, 1.54426303e-02
-8.93393531e-04, 1.54507868e-02
-8.93093238e-04, 1.54589638e-02
-8.92792945e-04, 1.54671632e-02
-8.92492651e-04, 1.54753793e-02
-8.92192358e-04, 1.54836169e-02
-8.91892065e-04, 1.54918740e-02
-8.91591772e-04, 1.55001534e-02
-8.91291478e-04, 1.55084515e-02
-8.90991185e-04, 1.55167710e-02
-8.90690892e-04, 1.55251110e-02
-8.90390598e-04, 1.55334696e-02
-8.90090305e-04, 1.55418450e-02
-8.89790012e-04, 1.55502455e-02
-8.89489718e-04, 1.55586665e-02
-8.89189425e-04, 1.55671043e-02
-8.88889132e-04, 1.55755626e-02
-8.88588838e-04, 1.55840414e-02
-8.88288545e-04, 1.55925378e-02
-8.87988252e-04, 1.56010576e-02
-8.87687958e-04, 1.56095950e-02
-8.87387665e-04, 1.56181529e-02
-8.87087372e-04, 1.56267304e-02
-8.86787078e-04, 1.56353265e-02
-8.86486785e-04, 1.56439450e-02
-8.86186492e-04, 1.56525802e-02
-8.85886198e-04, 1.56612359e-02
-8.85585905e-04, 1.56699121e-02
-8.85285612e-04, 1.56786069e-02
-8.84985318e-04, 1.56873204e-02
-8.84685025e-04, 1.56960543e-02
-8.84384732e-04, 1.57048088e-02
-8.84084438e-04, 1.57135800e-02
-8.83784145e-04, 1.57223716e-02
-8.83483852e-04, 1.57311838e-02
-8.83183558e-04, 1.57400146e-02
-8.82883265e-04, 1.57488640e-02
-8.82582972e-04, 1.57577321e-02
-8.82282679e-04, 1.57666225e-02
-8.81982385e-04, 1.57755278e-02
-8.81682092e-04, 1.57844555e-02
-8.81381799e-04, 1.57933999e-02
-8.81081505e-04, 1.58023648e-02
-8.80781212e-04, 1.58113465e-02
-8.80480919e-04, 1.58203505e-02
-8.80180625e-04, 1.58293713e-02
-8.79880332e-04, 1.58384126e-02
-8.79580039e-04, 1.58474725e-02
-8.79279745e-04, 1.58565510e-02
-8.78979452e-04, 1.58656482e-02
-8.78679159e-04, 1.58747640e-02
-8.78378865e-04, 1.58838965e-02
-8.78078572e-04, 1.58930514e-02
-8.77778279e-04, 1.59022231e-02
-8.77477985e-04, 1.59114152e-02
-8.77177692e-04, 1.59206241e-02
-8.76877399e-04, 1.59298517e-02
-8.76577105e-04, 1.59390979e-02
-8.76276812e-04, 1.59483626e-02
-8.75976519e-04, 1.59576461e-02
-8.75676225e-04, 1.59669481e-02
-8.75375932e-04, 1.59762688e-02
-8.75075639e-04, 1.59856062e-02
-8.74775345e-04, 1.59949642e-02
-8.74475052e-04, 1.60043389e-02
-8.74174759e-04, 1.60137340e-02
-8.73874465e-04, 1.60231460e-02
-8.73574172e-04, 1.60325766e-02
-8.73273879e-04, 1.60420258e-02
-8.72973586e-04, 1.60514917e-02
-8.72673292e-04, 1.60609763e-02
-8.72372999e-04, 1.60704795e-02
-8.72072706e-04, 1.60799995e-02
-8.71772412e-04, 1.60895418e-02
-8.71472119e-04, 1.60990972e-02
-8.71171826e-04, 1.61086712e-02
-8.70871532e-04, 1.61182638e-02
-8.70571239e-04, 1.61278769e-02
-8.70270946e-04, 1.61375050e-02
-8.69970652e-04, 1.61471516e-02
-8.69670359e-04, 1.61568169e-02
-8.69370066e-04, 1.61664989e-02
-8.69069772e-04, 1.61762014e-02
-8.68769479e-04, 1.61859170e-02
-8.68469186e-04, 1.61956530e-02
-8.68168892e-04, 1.62054077e-02
-8.67868599e-04, 1.62151791e-02
-8.67568306e-04, 1.62249655e-02
-8.67268012e-04, 1.62347723e-02
-8.66967719e-04, 1.62445959e-02
-8.66667426e-04, 1.62544362e-02
-8.66367132e-04, 1.62642952e-02
-8.66066839e-04, 1.62741728e-02
-8.65766546e-04, 1.62840672e-02
-8.65466252e-04, 1.62939765e-02
-8.65165959e-04, 1.63039044e-02
-8.64865666e-04, 1.63138490e-02
-8.64565372e-04, 1.63238142e-02
-8.64265079e-04, 1.63337942e-02
-8.63964786e-04, 1.63437910e-02
-8.63664492e-04, 1.63538065e-02
-8.63364199e-04, 1.63638350e-02
-8.63063906e-04, 1.63738858e-02
-8.62763613e-04, 1.63839534e-02
-8.62463319e-04, 1.63940359e-02
-8.62163026e-04, 1.64041333e-02
-8.61862733e-04, 1.64142512e-02
-8.61562439e-04, 1.64243840e-02
-8.61262146e-04, 1.64345372e-02
-8.60961853e-04, 1.64447017e-02
-8.60661559e-04, 1.64548904e-02
-8.60361266e-04, 1.64650902e-02
-8.60060973e-04, 1.64753105e-02
-8.59760679e-04, 1.64855439e-02
-8.59460386e-04, 1.64971389e-02
-8.59160093e-04, 1.65094994e-02
-8.58859799e-04, 1.65218953e-02
-8.58559506e-04, 1.65343303e-02
-8.58259213e-04, 1.65467970e-02
-8.57958919e-04, 1.65593047e-02
-8.57658626e-04, 1.65718440e-02
-8.57358333e-04, 1.65844243e-02
-8.57058039e-04, 1.65970363e-02
-8.56757746e-04, 1.66096855e-02
-8.56457453e-04, 1.66223682e-02
-8.56157159e-04, 1.66350920e-02
-8.55856866e-04, 1.66478455e-02
-8.55556573e-04, 1.66606363e-02
-8.55256279e-04, 1.66734625e-02
-8.54955986e-04, 1.66863222e-02
-8.54655693e-04, 1.66992210e-02
-8.54355399e-04, 1.67121552e-02
-8.54055106e-04, 1.67251192e-02
-8.53754813e-04, 1.67381205e-02
-8.53454520e-04, 1.67511571e-02
-8.53154226e-04, 1.67642310e-02
-8.52853933e-04, 1.67773347e-02
-8.52553640e-04, 1.67904757e-02
-8.52253346e-04, 1.68036502e-02
-8.51953053e-04, 1.68168601e-02
-8.51652760e-04, 1.68301053e-02
-8.51352466e-04, 1.68433823e-02
-8.51052173e-04, 1.68566927e-02
