[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 11

[Data]
X [ m ],Velocity [ m s^-1 ]
-3.00000003e-03, 1.28854718e-03
-2.99969967e-03, 1.28863996e-03
-2.99939932e-03, 1.28873298e-03
-2.99909897e-03, 1.28882600e-03
-2.99879862e-03, 1.28891936e-03
-2.99849827e-03, 1.28901273e-03
-2.99819792e-03, 1.28910644e-03
-2.99789757e-03, 1.28920004e-03
-2.99759721e-03, 1.28929410e-03
-2.99729686e-03, 1.28938805e-03
-2.99699651e-03, 1.28948211e-03
-2.99669616e-03, 1.28957641e-03
-2.99639581e-03, 1.28967105e-03
-2.99609546e-03, 1.28976558e-03
-2.99579510e-03, 1.28986035e-03
-2.99549475e-03, 1.28995522e-03
-2.99519440e-03, 1.29005045e-03
-2.99489405e-03, 1.29014545e-03
-2.99459370e-03, 1.29024079e-03
-2.99429335e-03, 1.29033648e-03
-2.99399300e-03, 1.29043194e-03
-2.99369264e-03, 1.29052775e-03
-2.99339229e-03, 1.29062380e-03
-2.99309194e-03, 1.29071984e-03
-2.99279159e-03, 1.29081612e-03
-2.99249124e-03, 1.29091251e-03
-2.99219089e-03, 1.29100913e-03
-2.99189053e-03, 1.29110576e-03
-2.99159018e-03, 1.29120261e-03
-2.99128983e-03, 1.29129947e-03
-2.99098948e-03, 1.29139668e-03
-2.99068913e-03, 1.29149400e-03
-2.99038878e-03, 1.29159121e-03
-2.99008843e-03, 1.29168888e-03
-2.98978807e-03, 1.29178667e-03
-2.98948772e-03, 1.29188446e-03
-2.98918737e-03, 1.29198236e-03
-2.98888702e-03, 1.29208073e-03
-2.98858667e-03, 1.29217887e-03
-2.98828632e-03, 1.29227736e-03
-2.98798596e-03, 1.29237596e-03
-2.98768561e-03, 1.29247480e-03
-2.98738526e-03, 1.29257364e-03
-2.98708491e-03, 1.29267247e-03
-2.98678456e-03, 1.29277178e-03
-2.98648421e-03, 1.29287108e-03
-2.98618386e-03, 1.29297050e-03
-2.98588350e-03, 1.29307027e-03
-2.98558315e-03, 1.29317003e-03
-2.98528280e-03, 1.29326980e-03
-2.98498245e-03, 1.29336969e-03
-2.98468210e-03, 1.29347015e-03
-2.98438175e-03, 1.29357050e-03
-2.98408139e-03, 1.29367097e-03
-2.98378104e-03, 1.29377143e-03
-2.98348069e-03, 1.29387237e-03
-2.98318034e-03, 1.29397330e-03
-2.98287999e-03, 1.29407446e-03
-2.98257964e-03, 1.29417574e-03
-2.98227929e-03, 1.29427703e-03
-2.98197893e-03, 1.29437854e-03
-2.98167858e-03, 1.29448017e-03
-2.98137823e-03, 1.29458203e-03
-2.98107788e-03, 1.29468401e-03
-2.98077753e-03, 1.29478599e-03
-2.98047718e-03, 1.29488844e-03
-2.98017683e-03, 1.29499077e-03
-2.97987647e-03, 1.29509321e-03
-2.97957612e-03, 1.29519589e-03
-2.97927577e-03, 1.29529869e-03
-2.97897542e-03, 1.29540171e-03
-2.97867507e-03, 1.29550486e-03
-2.97837472e-03, 1.29560824e-03
-2.97807436e-03, 1.29571150e-03
-2.97777401e-03, 1.29581511e-03
-2.97747366e-03, 1.29591883e-03
-2.97717331e-03, 1.29602267e-03
-2.97687296e-03, 1.29620091e-03
-2.97657261e-03, 1.29654584e-03
-2.97627226e-03, 1.29619916e-03
-2.97597190e-03, 1.29624491e-03
-2.97567155e-03, 1.29629078e-03
-2.97537120e-03, 1.29633688e-03
-2.97507085e-03, 1.29638310e-03
-2.97477050e-03, 1.29642943e-03
-2.97447015e-03, 1.29647588e-03
-2.97416979e-03, 1.29652268e-03
-2.97386944e-03, 1.29656948e-03
