[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 15

[Data]
X [ m ],Velocity [ m s^-1 ]
-1.79999997e-03, 5.19902911e-03
-1.79969962e-03, 5.20107150e-03
-1.79939927e-03, 5.20311389e-03
-1.79909891e-03, 5.20515628e-03
-1.79879856e-03, 5.20719914e-03
-1.79849821e-03, 5.20924153e-03
-1.79819786e-03, 5.21128485e-03
-1.79789751e-03, 5.21332817e-03
-1.79759716e-03, 5.21537056e-03
-1.79729681e-03, 5.21741295e-03
-1.79699645e-03, 5.21945581e-03
-1.79669610e-03, 5.22149820e-03
-1.79639575e-03, 5.22354152e-03
-1.79609540e-03, 5.22558391e-03
-1.79579505e-03, 5.22762630e-03
-1.79549470e-03, 5.22966962e-03
-1.79519434e-03, 5.23171294e-03
-1.79489399e-03, 5.23375580e-03
-1.79459364e-03, 5.23566827e-03
-1.79429329e-03, 5.23797516e-03
-1.79399294e-03, 5.24013443e-03
-1.79369259e-03, 5.24229370e-03
-1.79339224e-03, 5.24445297e-03
-1.79309188e-03, 5.24661271e-03
-1.79279153e-03, 5.24877198e-03
-1.79249118e-03, 5.25093125e-03
-1.79219083e-03, 5.25309145e-03
-1.79189048e-03, 5.25524933e-03
-1.79159013e-03, 5.25740953e-03
-1.79128977e-03, 5.25956880e-03
-1.79098942e-03, 5.26172854e-03
-1.79068907e-03, 5.26388781e-03
-1.79038872e-03, 5.26604708e-03
-1.79008837e-03, 5.26820635e-03
-1.78978802e-03, 5.27036563e-03
-1.78948767e-03, 5.27252536e-03
-1.78918731e-03, 5.27468510e-03
-1.78888696e-03, 5.27684391e-03
-1.78858661e-03, 5.27900411e-03
-1.78828626e-03, 5.28116385e-03
-1.78798591e-03, 5.28332219e-03
-1.78768556e-03, 5.28548146e-03
-1.78738520e-03, 5.28764213e-03
-1.78708485e-03, 5.28980093e-03
-1.78678450e-03, 5.29196020e-03
-1.78648415e-03, 5.29411994e-03
-1.78618380e-03, 5.29627968e-03
-1.78588345e-03, 5.29843895e-03
-1.78558310e-03, 5.30059868e-03
-1.78528274e-03, 5.30275796e-03
-1.78498239e-03, 5.30491676e-03
-1.78468204e-03, 5.30707743e-03
-1.78438169e-03, 5.30923670e-03
-1.78408134e-03, 5.31139644e-03
-1.78378099e-03, 5.31355571e-03
-1.78348063e-03, 5.31571498e-03
-1.78318028e-03, 5.31787518e-03
-1.78287993e-03, 5.32003399e-03
-1.78257958e-03, 5.32219419e-03
-1.78227923e-03, 5.32435346e-03
-1.78197888e-03, 5.32651274e-03
-1.78167853e-03, 5.32867294e-03
-1.78137817e-03, 5.33083221e-03
-1.78107782e-03, 5.33299148e-03
-1.78077747e-03, 5.33515168e-03
-1.78047712e-03, 5.33731095e-03
-1.78017677e-03, 5.33934822e-03
-1.77987642e-03, 5.34138642e-03
-1.77957607e-03, 5.34342416e-03
-1.77927571e-03, 5.34546236e-03
-1.77897536e-03, 5.34750056e-03
-1.77867501e-03, 5.34953782e-03
-1.77837466e-03, 5.35157602e-03
-1.77807431e-03, 5.35361422e-03
-1.77777396e-03, 5.35565242e-03
-1.77747360e-03, 5.35769016e-03
-1.77717325e-03, 5.35972789e-03
-1.77687290e-03, 5.36176562e-03
-1.77657255e-03, 5.36380382e-03
-1.77627220e-03, 5.36584249e-03
-1.77597185e-03, 5.36787976e-03
-1.77567150e-03, 5.36991749e-03
-1.77537114e-03, 5.37195569e-03
-1.77507079e-03, 5.37399389e-03
-1.77477044e-03, 5.37603209e-03
-1.77447009e-03, 5.37806982e-03
-1.77416974e-03, 5.38010802e-03
-1.77386939e-03, 5.38214575e-03
-1.77356903e-03, 5.38418395e-03
-1.77326868e-03, 5.38622215e-03
-1.77296833e-03, 5.38825989e-03
-1.77266798e-03, 5.39029855e-03
-1.77236763e-03, 5.39233675e-03
-1.77206728e-03, 5.39437449e-03
-1.77176693e-03, 5.39641222e-03
-1.77146657e-03, 5.39845088e-03
-1.77116622e-03, 5.40048862e-03
-1.77086587e-03, 5.40252635e-03
-1.77056552e-03, 5.40456502e-03
-1.77026517e-03, 5.40660322e-03
-1.76996482e-03, 5.40864142e-03
-1.76966446e-03, 5.41067915e-03
-1.76936411e-03, 5.41271782e-03
-1.76906376e-03, 5.41475555e-03
-1.76876341e-03, 5.41679421e-03
-1.76846306e-03, 5.41883241e-03
-1.76816271e-03, 5.42087015e-03
-1.76786236e-03, 5.42290881e-03
-1.76756200e-03, 5.42494701e-03
-1.76726165e-03, 5.42698521e-03
-1.76696130e-03, 5.42902295e-03
-1.76666095e-03, 5.43106161e-03
-1.76636060e-03, 5.43309981e-03
-1.76606025e-03, 5.43513754e-03
-1.76575989e-03, 5.43717621e-03
-1.76545954e-03, 5.43921441e-03
-1.76515919e-03, 5.44125261e-03
-1.76485884e-03, 5.44329127e-03
-1.76455849e-03, 5.44532901e-03
-1.76425814e-03, 5.44736767e-03
-1.76395779e-03, 5.44940587e-03
-1.76365743e-03, 5.45144454e-03
-1.76335708e-03, 5.45348274e-03
-1.76305673e-03, 5.45552140e-03
-1.76275638e-03, 5.45755960e-03
-1.76245603e-03, 5.45959780e-03
-1.76215568e-03, 5.46163600e-03
-1.76185532e-03, 5.46367466e-03
-1.76155497e-03, 5.46571240e-03
-1.76125462e-03, 5.46775060e-03
-1.76095427e-03, 5.46978926e-03
-1.76065392e-03, 5.47182793e-03
