[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 14

[Data]
X [ m ],Velocity [ m s^-1 ]
-2.09999993e-03, 3.38605815e-03
-2.09969957e-03, 3.38763162e-03
-2.09939922e-03, 3.38906422e-03
-2.09909887e-03, 3.39049660e-03
-2.09879852e-03, 3.39192967e-03
-2.09849817e-03, 3.39336251e-03
-2.09819782e-03, 3.39479488e-03
-2.09789746e-03, 3.39622749e-03
-2.09759711e-03, 3.39766010e-03
-2.09729676e-03, 3.39909294e-03
-2.09699641e-03, 3.40052554e-03
-2.09669606e-03, 3.40195792e-03
-2.09639571e-03, 3.40339099e-03
-2.09609536e-03, 3.40482336e-03
-2.09579500e-03, 3.40625597e-03
-2.09549465e-03, 3.40768881e-03
-2.09519430e-03, 3.40912142e-03
-2.09489395e-03, 3.41055426e-03
-2.09459360e-03, 3.41198687e-03
-2.09429325e-03, 3.41341947e-03
-2.09399289e-03, 3.41485185e-03
-2.09369254e-03, 3.41628492e-03
-2.09339219e-03, 3.41771753e-03
-2.09309184e-03, 3.41915013e-03
-2.09279149e-03, 3.42058251e-03
-2.09249114e-03, 3.42201511e-03
-2.09219079e-03, 3.42344795e-03
-2.09189043e-03, 3.42488033e-03
-2.09159008e-03, 3.42631340e-03
-2.09128973e-03, 3.42774601e-03
-2.09098938e-03, 3.42917861e-03
-2.09068903e-03, 3.43061122e-03
-2.09038868e-03, 3.43204406e-03
-2.09008832e-03, 3.43347644e-03
-2.08978797e-03, 3.43490927e-03
-2.08948762e-03, 3.43634188e-03
-2.08918727e-03, 3.43777472e-03
-2.08888692e-03, 3.43920710e-03
-2.08858657e-03, 3.44063970e-03
-2.08828622e-03, 3.44207254e-03
-2.08798586e-03, 3.44350515e-03
-2.08768551e-03, 3.44493776e-03
-2.08738516e-03, 3.44637060e-03
-2.08708481e-03, 3.44780320e-03
-2.08678446e-03, 3.44923581e-03
-2.08648411e-03, 3.45066865e-03
-2.08618375e-03, 3.45210102e-03
-2.08588340e-03, 3.45353386e-03
-2.08558305e-03, 3.45496624e-03
-2.08528270e-03, 3.45639908e-03
-2.08498235e-03, 3.45783192e-03
-2.08468200e-03, 3.45926429e-03
-2.08438165e-03, 3.46069760e-03
-2.08408129e-03, 3.46212997e-03
-2.08378094e-03, 3.46356258e-03
-2.08348059e-03, 3.46480217e-03
-2.08318024e-03, 3.46657517e-03
-2.08287989e-03, 3.46810743e-03
-2.08257954e-03, 3.46963946e-03
-2.08227918e-03, 3.47117148e-03
-2.08197883e-03, 3.47270374e-03
-2.08167848e-03, 3.47423577e-03
-2.08137813e-03, 3.47576756e-03
-2.08107778e-03, 3.47729982e-03
-2.08077743e-03, 3.47883208e-03
-2.08047708e-03, 3.48036410e-03
-2.08017672e-03, 3.48189613e-03
-2.07987637e-03, 3.48342792e-03
-2.07957602e-03, 3.48495995e-03
-2.07927567e-03, 3.48649197e-03
-2.07897532e-03, 3.48802423e-03
-2.07867497e-03, 3.48955672e-03
-2.07837461e-03, 3.49108852e-03
-2.07807426e-03, 3.49262077e-03
-2.07777391e-03, 3.49415257e-03
-2.07747356e-03, 3.49568459e-03
-2.07717321e-03, 3.49721685e-03
-2.07687286e-03, 3.49874888e-03
-2.07657251e-03, 3.50028137e-03
-2.07627215e-03, 3.50181339e-03
-2.07597180e-03, 3.50334542e-03
-2.07567145e-03, 3.50487744e-03
-2.07537110e-03, 3.50640947e-03
-2.07507075e-03, 3.50794150e-03
-2.07477040e-03, 3.50947375e-03
-2.07447005e-03, 3.51100601e-03
-2.07416969e-03, 3.51253827e-03
-2.07386934e-03, 3.51407006e-03
-2.07356899e-03, 3.51560232e-03
-2.07326864e-03, 3.51713481e-03
-2.07296829e-03, 3.51866637e-03
-2.07266794e-03, 3.52019886e-03
-2.07236758e-03, 3.52173112e-03
-2.07206723e-03, 3.52326315e-03
-2.07176688e-03, 3.52479517e-03
-2.07146653e-03, 3.52632767e-03
-2.07116618e-03, 3.52773396e-03
-2.07086583e-03, 3.52965901e-03
-2.07056548e-03, 3.53143713e-03
-2.07026512e-03, 3.53321549e-03
-2.06996477e-03, 3.53499339e-03
-2.06966442e-03, 3.53677198e-03
-2.06936407e-03, 3.53854918e-03
-2.06906372e-03, 3.54032801e-03
-2.06876337e-03, 3.54210637e-03
-2.06846301e-03, 3.54388426e-03
-2.06816266e-03, 3.54566285e-03
-2.06786231e-03, 3.54744075e-03
-2.06756196e-03, 3.54921957e-03
-2.06726161e-03, 3.55099747e-03
-2.06696126e-03, 3.55277606e-03
-2.06666091e-03, 3.55455466e-03
-2.06636055e-03, 3.55633255e-03
-2.06606020e-03, 3.55811114e-03
-2.06575985e-03, 3.55988927e-03
-2.06545950e-03, 3.56166787e-03
-2.06515915e-03, 3.56344646e-03
-2.06485880e-03, 3.56522482e-03
-2.06455844e-03, 3.56700341e-03
-2.06425809e-03, 3.56878154e-03
-2.06395774e-03, 3.57056037e-03
-2.06365739e-03, 3.57233896e-03
-2.06335704e-03, 3.57411709e-03
-2.06305669e-03, 3.57589568e-03
-2.06275634e-03, 3.57767427e-03
-2.06245598e-03, 3.57945287e-03
-2.06215563e-03, 3.58123146e-03
-2.06185528e-03, 3.58300982e-03
-2.06155493e-03, 3.58478841e-03
-2.06125458e-03, 3.58656724e-03
-2.06095423e-03, 3.58834607e-03
-2.06065387e-03, 3.59012419e-03
-2.06035352e-03, 3.59190279e-03
-2.06005317e-03, 3.59368138e-03
-2.05975282e-03, 3.59546067e-03
-2.05945247e-03, 3.59723927e-03
-2.05915212e-03, 3.59901786e-03
-2.05885177e-03, 3.60079645e-03
-2.05855141e-03, 3.60257528e-03
-2.05825106e-03, 3.60435410e-03
-2.05795071e-03, 3.60613293e-03
-2.05765036e-03, 3.60791152e-03
-2.05735001e-03, 3.60969012e-03
-2.05704966e-03, 3.61146941e-03
-2.05674930e-03, 3.61324823e-03
-2.05644895e-03, 3.61502706e-03
-2.05614860e-03, 3.61680589e-03
-2.05584825e-03, 3.61858448e-03
-2.05554790e-03, 3.62036354e-03
-2.05524755e-03, 3.62214260e-03
-2.05494720e-03, 3.62392166e-03
-2.05464684e-03, 3.62570025e-03
-2.05434649e-03, 3.62747931e-03
-2.05404614e-03, 3.62925814e-03
-2.05374579e-03, 3.63103673e-03
-2.05344544e-03, 3.63281602e-03
-2.05314509e-03, 3.63459485e-03
-2.05284473e-03, 3.63637414e-03
-2.05254438e-03, 3.63815296e-03
-2.05224403e-03, 3.63993179e-03
-2.05194368e-03, 3.64171085e-03
-2.05164333e-03, 3.64349014e-03
-2.05134298e-03, 3.64526897e-03
-2.05104263e-03, 3.64704826e-03
-2.05074227e-03, 3.64882732e-03
-2.05044192e-03, 3.65060638e-03
-2.05014157e-03, 3.65238567e-03
-2.04984122e-03, 3.65416473e-03
-2.04954087e-03, 3.65594402e-03
-2.04924052e-03, 3.65772331e-03
-2.04894016e-03, 3.65950237e-03
-2.04863981e-03, 3.66128143e-03
-2.04833946e-03, 3.66306049e-03
-2.04803911e-03, 3.66483955e-03
-2.04773876e-03, 3.66661884e-03
-2.04743841e-03, 3.66839813e-03
-2.04713806e-03, 3.67017742e-03
-2.04683770e-03, 3.67195648e-03
-2.04653735e-03, 3.67373601e-03
-2.04623700e-03, 3.67551553e-03
-2.04593665e-03, 3.67729459e-03
-2.04563630e-03, 3.67907435e-03
-2.04533595e-03, 3.68085341e-03
-2.04503560e-03, 3.68263270e-03
-2.04473524e-03, 3.68441222e-03
-2.04443489e-03, 3.68619198e-03
-2.04413454e-03, 3.68797057e-03
-2.04383419e-03, 3.68975010e-03
-2.04353384e-03, 3.69152962e-03
-2.04323349e-03, 3.69330915e-03
-2.04293313e-03, 3.69508890e-03
-2.04263278e-03, 3.69686796e-03
-2.04233243e-03, 3.69864749e-03
-2.04203208e-03, 3.70042678e-03
-2.04173173e-03, 3.70220654e-03
-2.04143138e-03, 3.70398629e-03
-2.04113103e-03, 3.70576559e-03
-2.04083067e-03, 3.70754488e-03
