[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 19

[Data]
X [ m ],Velocity [ m s^-1 ]
-6.00000028e-04, 7.10408166e-02
-5.99699735e-04, 7.11791888e-02
-5.99399442e-04, 7.13175908e-02
-5.99099149e-04, 7.14560077e-02
-5.98798855e-04, 7.15944394e-02
-5.98498562e-04, 7.17329010e-02
-5.98198269e-04, 7.18713850e-02
-5.97897975e-04, 7.20098838e-02
-5.97597682e-04, 7.21484125e-02
-5.97297389e-04, 7.22869560e-02
-5.96997095e-04, 7.24255219e-02
-5.96696802e-04, 7.25640953e-02
-5.96396509e-04, 7.27027059e-02
-5.96096215e-04, 7.28413239e-02
-5.95795922e-04, 7.29799718e-02
-5.95495629e-04, 7.31186345e-02
-5.95195335e-04, 7.32573122e-02
-5.94895042e-04, 7.33960196e-02
-5.94594749e-04, 7.35347345e-02
-5.94294455e-04, 7.36734793e-02
-5.93994162e-04, 7.38122463e-02
-5.93693869e-04, 7.39510208e-02
-5.93393575e-04, 7.40898177e-02
-5.93093282e-04, 7.42286295e-02
-5.92792989e-04, 7.43674710e-02
-5.92492695e-04, 7.45063201e-02
-5.92192402e-04, 7.46452063e-02
-5.91892109e-04, 7.47840852e-02
-5.91591815e-04, 7.49229938e-02
-5.91291522e-04, 7.50619322e-02
-5.90991229e-04, 7.52008706e-02
-5.90690935e-04, 7.53398463e-02
-5.90390642e-04, 7.54788145e-02
-5.90090349e-04, 7.56178200e-02
-5.89790056e-04, 7.57568330e-02
-5.89489762e-04, 7.58958757e-02
-5.89189469e-04, 7.60349184e-02
-5.88889176e-04, 7.61739984e-02
-5.88588882e-04, 7.63130784e-02
-5.88288589e-04, 7.64521956e-02
-5.87988296e-04, 7.65913129e-02
-5.87688002e-04, 7.67304525e-02
-5.87387709e-04, 7.68696144e-02
-5.87087416e-04, 7.70087764e-02
-5.86787122e-04, 7.71479681e-02
-5.86486829e-04, 7.72871748e-02
-5.86186536e-04, 7.74264038e-02
-5.85886242e-04, 7.75656477e-02
-5.85585949e-04, 7.77049065e-02
-5.85285656e-04, 7.78441653e-02
-5.84985362e-04, 7.79834613e-02
-5.84685069e-04, 7.81227648e-02
-5.84384776e-04, 7.82620832e-02
-5.84084482e-04, 7.84014165e-02
-5.83784189e-04, 7.85407797e-02
-5.83483896e-04, 7.86801428e-02
-5.83183602e-04, 7.88195357e-02
-5.82883309e-04, 7.89589286e-02
-5.82583016e-04, 7.90983438e-02
-5.82282722e-04, 7.92377740e-02
-5.81982429e-04, 7.93772191e-02
-5.81682136e-04, 7.95166865e-02
-5.81381842e-04, 7.96561614e-02
-5.81081549e-04, 7.97956586e-02
-5.80781256e-04, 7.99351633e-02
-5.80480963e-04, 8.00746903e-02
-5.80180669e-04, 8.02142248e-02
-5.79880376e-04, 8.03537741e-02
-5.79580083e-04, 8.04933459e-02
-5.79279789e-04, 8.06329250e-02
-5.78979496e-04, 8.07725191e-02
-5.78679203e-04, 8.09121355e-02
-5.78378909e-04, 8.10517594e-02
-5.78078616e-04, 8.11913982e-02
-5.77778323e-04, 8.13310519e-02
-5.77478029e-04, 8.14707279e-02
-5.77177736e-04, 8.16104040e-02
-5.76877443e-04, 8.17501098e-02
-5.76577149e-04, 8.18898082e-02
-5.76276856e-04, 8.20295438e-02
-5.75976563e-04, 8.21692720e-02
-5.75676269e-04, 8.23090225e-02
-5.75375976e-04, 8.24488029e-02
-5.75075683e-04, 8.25885683e-02
-5.74775389e-04, 8.27283636e-02
-5.74475096e-04, 8.28681737e-02
-5.74174803e-04, 8.30079913e-02
-5.73874509e-04, 8.31478313e-02
-5.73574216e-04, 8.32876712e-02
-5.73273923e-04, 8.34275410e-02
-5.72973629e-04, 8.35674107e-02
-5.72673336e-04, 8.37073028e-02
-5.72373043e-04, 8.38471949e-02
-5.72072749e-04, 8.39871094e-02
-5.71772456e-04, 8.41270536e-02
-5.71472163e-04, 8.42669830e-02
-5.71171870e-04, 8.44069347e-02
-5.70871576e-04, 8.45468938e-02
-5.70571283e-04, 8.46868753e-02
-5.70270990e-04, 8.48268643e-02
-5.69970696e-04, 8.49668682e-02
-5.69670403e-04, 8.51068869e-02
-5.69370110e-04, 8.52469057e-02
-5.69069816e-04, 8.53869542e-02
-5.68769523e-04, 8.55270103e-02
-5.68469230e-04, 8.56670663e-02
-5.68168936e-04, 8.58071521e-02
-5.67868643e-04, 8.59472305e-02
-5.67568350e-04, 8.60873312e-02
-5.67268056e-04, 8.62875879e-02
-5.66967763e-04, 8.64982456e-02
-5.66667470e-04, 8.67089406e-02
-5.66367176e-04, 8.69196728e-02
-5.66066883e-04, 8.71304125e-02
-5.65766590e-04, 8.73411894e-02
-5.65466296e-04, 8.75519887e-02
-5.65166003e-04, 8.77628177e-02
