[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 17

[Data]
X [ m ],Velocity [ m s^-1 ]
-1.20000006e-03, 1.08901281e-02
-1.19969971e-03, 1.08935395e-02
-1.19939935e-03, 1.08969538e-02
-1.19909900e-03, 1.09003671e-02
-1.19879865e-03, 1.09037803e-02
-1.19849830e-03, 1.09071927e-02
-1.19819795e-03, 1.09106060e-02
-1.19789760e-03, 1.09140193e-02
-1.19759724e-03, 1.09174326e-02
-1.19729689e-03, 1.09208450e-02
-1.19699654e-03, 1.09242592e-02
-1.19669619e-03, 1.09276725e-02
-1.19639584e-03, 1.09310867e-02
-1.19609549e-03, 1.09345000e-02
-1.19579514e-03, 1.09379143e-02
-1.19549478e-03, 1.09413275e-02
-1.19519443e-03, 1.09447418e-02
-1.19489408e-03, 1.09481541e-02
-1.19459373e-03, 1.09515693e-02
-1.19429338e-03, 1.09549826e-02
-1.19399303e-03, 1.09583978e-02
-1.19369267e-03, 1.09618111e-02
-1.19339232e-03, 1.09652262e-02
-1.19309197e-03, 1.09686404e-02
-1.19279162e-03, 1.09720528e-02
-1.19249127e-03, 1.09754670e-02
-1.19219092e-03, 1.09788822e-02
-1.19189057e-03, 1.09822955e-02
-1.19159021e-03, 1.09857107e-02
-1.19128986e-03, 1.09891249e-02
-1.19098951e-03, 1.09925400e-02
-1.19068916e-03, 1.09959543e-02
-1.19038881e-03, 1.09993685e-02
-1.19008846e-03, 1.10027837e-02
-1.18978810e-03, 1.10061988e-02
-1.18948775e-03, 1.10096140e-02
-1.18918740e-03, 1.10130282e-02
-1.18888705e-03, 1.10164434e-02
-1.18858670e-03, 1.10198595e-02
-1.18828635e-03, 1.10232737e-02
-1.18798600e-03, 1.10266889e-02
-1.18768564e-03, 1.10301040e-02
-1.18738529e-03, 1.10335201e-02
-1.18708494e-03, 1.10369353e-02
-1.18678459e-03, 1.10403504e-02
-1.18648424e-03, 1.10437656e-02
-1.18618389e-03, 1.10471817e-02
-1.18588354e-03, 1.10505959e-02
-1.18558318e-03, 1.10540120e-02
-1.18528283e-03, 1.10574272e-02
-1.18498248e-03, 1.10608432e-02
-1.18468213e-03, 1.10642593e-02
-1.18438178e-03, 1.10675860e-02
-1.18408143e-03, 1.10718897e-02
