[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 16

[Data]
X [ m ],Velocity [ m s^-1 ]
-1.50000001e-03, 7.62940710e-03
-1.49969966e-03, 7.63221923e-03
-1.49939931e-03, 7.63503229e-03
-1.49909896e-03, 7.63784489e-03
-1.49879861e-03, 7.64065702e-03
-1.49849826e-03, 7.64347054e-03
-1.49819790e-03, 7.64628360e-03
-1.49789755e-03, 7.64909573e-03
-1.49759720e-03, 7.65190786e-03
-1.49729685e-03, 7.65472138e-03
-1.49699650e-03, 7.65753398e-03
-1.49669615e-03, 7.66034704e-03
-1.49639579e-03, 7.66315963e-03
-1.49609544e-03, 7.66597176e-03
-1.49579509e-03, 7.66878529e-03
-1.49549474e-03, 7.67159741e-03
-1.49519439e-03, 7.67441001e-03
-1.49489404e-03, 7.67722307e-03
-1.49459369e-03, 7.68003566e-03
-1.49429333e-03, 7.68284872e-03
-1.49399298e-03, 7.68566178e-03
-1.49369263e-03, 7.68847484e-03
-1.49339228e-03, 7.69128744e-03
-1.49309193e-03, 7.69410003e-03
-1.49279158e-03, 7.69691262e-03
-1.49249122e-03, 7.69972568e-03
-1.49219087e-03, 7.70253967e-03
-1.49189052e-03, 7.70535180e-03
-1.49159017e-03, 7.70816440e-03
-1.49128982e-03, 7.71097699e-03
-1.49098947e-03, 7.71378959e-03
-1.49068912e-03, 7.71660404e-03
-1.49038876e-03, 7.71941664e-03
-1.49008841e-03, 7.72222923e-03
-1.48978806e-03, 7.72504136e-03
-1.48948771e-03, 7.72785535e-03
-1.48918736e-03, 7.73066841e-03
-1.48888701e-03, 7.73348100e-03
-1.48858665e-03, 7.73629360e-03
-1.48828630e-03, 7.73910666e-03
-1.48798595e-03, 7.74191972e-03
-1.48768560e-03, 7.74473324e-03
-1.48738525e-03, 7.74754630e-03
-1.48708490e-03, 7.75035843e-03
-1.48678455e-03, 7.75317149e-03
-1.48648419e-03, 7.75598548e-03
-1.48618384e-03, 7.75879854e-03
-1.48588349e-03, 7.76161160e-03
-1.48558314e-03, 7.76442420e-03
-1.48528279e-03, 7.76723679e-03
-1.48498244e-03, 7.77005078e-03
-1.48468208e-03, 7.77286338e-03
-1.48438173e-03, 7.77567690e-03
-1.48408138e-03, 7.77848996e-03
-1.48378103e-03, 7.78130302e-03
-1.48348068e-03, 7.78411608e-03
-1.48318033e-03, 7.78692961e-03
-1.48287998e-03, 7.78974267e-03
-1.48257962e-03, 7.79255526e-03
-1.48227927e-03, 7.79536879e-03
-1.48197892e-03, 7.79818185e-03
-1.48167857e-03, 7.80099491e-03
-1.48137822e-03, 7.80380890e-03
-1.48107787e-03, 7.80662149e-03
-1.48077752e-03, 7.80943455e-03
-1.48047716e-03, 7.81224808e-03
-1.48017681e-03, 7.81506207e-03
-1.47987646e-03, 7.81787466e-03
-1.47957611e-03, 7.82068819e-03
-1.47927576e-03, 7.82350171e-03
-1.47897541e-03, 7.82631431e-03
-1.47867505e-03, 7.82912783e-03
-1.47837470e-03, 7.83194043e-03
-1.47807435e-03, 7.83475395e-03
-1.47777400e-03, 7.83756748e-03
-1.47747365e-03, 7.84014817e-03
-1.47717330e-03, 7.84337427e-03
-1.47687295e-03, 7.84635078e-03
-1.47657259e-03, 7.84932822e-03
-1.47627224e-03, 7.85230473e-03
-1.47597189e-03, 7.85528030e-03
-1.47567154e-03, 7.85825774e-03
-1.47537119e-03, 7.86123332e-03
-1.47507084e-03, 7.86421075e-03
-1.47477048e-03, 7.86718726e-03
-1.47447013e-03, 7.87016377e-03
-1.47416978e-03, 7.87313934e-03
-1.47386943e-03, 7.87611585e-03
-1.47356908e-03, 7.87909329e-03
-1.47326873e-03, 7.88206887e-03
-1.47296838e-03, 7.88504630e-03
-1.47266802e-03, 7.88802281e-03
-1.47236767e-03, 7.89099932e-03
-1.47206732e-03, 7.89397489e-03
-1.47176697e-03, 7.89695233e-03
-1.47146662e-03, 7.89992791e-03
-1.47116627e-03, 7.90290441e-03
-1.47086591e-03, 7.90588185e-03
-1.47056556e-03, 7.90885836e-03
-1.47026521e-03, 7.91183393e-03
-1.46996486e-03, 7.91481137e-03
