[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 13

[Data]
X [ m ],Velocity [ m s^-1 ]
-2.40000011e-03, 2.01428332e-03
-2.39969976e-03, 2.01567262e-03
-2.39939941e-03, 2.01706192e-03
-2.39909906e-03, 2.01845123e-03
-2.39879871e-03, 2.01914250e-03
-2.39849836e-03, 2.02101120e-03
-2.39819800e-03, 2.02225032e-03
-2.39789765e-03, 2.02348921e-03
-2.39759730e-03, 2.02472811e-03
-2.39729695e-03, 2.02596723e-03
-2.39699660e-03, 2.02720612e-03
-2.39669625e-03, 2.02844501e-03
-2.39639590e-03, 2.02968391e-03
-2.39609554e-03, 2.03092350e-03
-2.39579519e-03, 2.03216216e-03
-2.39549484e-03, 2.03340151e-03
-2.39519449e-03, 2.03464041e-03
-2.39489414e-03, 2.03587976e-03
-2.39459379e-03, 2.03711865e-03
-2.39429343e-03, 2.03835778e-03
-2.39399308e-03, 2.03959690e-03
-2.39369273e-03, 2.04083580e-03
-2.39339238e-03, 2.04207492e-03
-2.39309203e-03, 2.04331428e-03
-2.39279168e-03, 2.04455364e-03
-2.39249133e-03, 2.04579253e-03
-2.39219097e-03, 2.04703165e-03
-2.39189062e-03, 2.04827101e-03
-2.39159027e-03, 2.04951013e-03
-2.39128992e-03, 2.05074949e-03
-2.39098957e-03, 2.05198838e-03
-2.39068922e-03, 2.05322797e-03
-2.39038887e-03, 2.05446687e-03
-2.39008851e-03, 2.05570622e-03
-2.38978816e-03, 2.05694558e-03
-2.38948781e-03, 2.05818517e-03
-2.38918746e-03, 2.05942430e-03
-2.38888711e-03, 2.06066365e-03
-2.38858676e-03, 2.06190278e-03
-2.38828640e-03, 2.06314214e-03
-2.38798605e-03, 2.06438126e-03
-2.38768570e-03, 2.06562085e-03
-2.38738535e-03, 2.06686021e-03
-2.38708500e-03, 2.06809957e-03
-2.38678465e-03, 2.06933892e-03
-2.38648430e-03, 2.07057828e-03
-2.38618394e-03, 2.07181764e-03
-2.38588359e-03, 2.07305700e-03
-2.38558324e-03, 2.07429635e-03
-2.38528289e-03, 2.07553571e-03
-2.38498254e-03, 2.07677530e-03
-2.38468219e-03, 2.07801489e-03
-2.38438183e-03, 2.07925425e-03
