[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 20

[Data]
X [ m ],Velocity [ m s^-1 ]
-3.00000014e-04, 5.72467685e-01
-2.99699721e-04, 5.73562145e-01
-2.99399428e-04, 5.74656546e-01
-2.99099134e-04, 5.75751066e-01
-2.98798841e-04, 5.76845527e-01
-2.98498548e-04, 5.77939928e-01
-2.98198254e-04, 5.79034448e-01
-2.97897961e-04, 5.80128908e-01
-2.97597668e-04, 5.81223369e-01
-2.97297374e-04, 5.82317829e-01
-2.96997081e-04, 5.83412290e-01
-2.96696788e-04, 5.84506810e-01
-2.96396494e-04, 5.85601330e-01
-2.96096201e-04, 5.86695731e-01
-2.95795908e-04, 5.87790191e-01
-2.95495614e-04, 5.88884771e-01
-2.95195321e-04, 5.89979172e-01
-2.94895028e-04, 5.91073632e-01
-2.94594734e-04, 5.92168152e-01
-2.94294441e-04, 5.93262613e-01
-2.93994148e-04, 5.94357133e-01
-2.93693854e-04, 5.95451593e-01
-2.93393561e-04, 5.96546113e-01
-2.93093268e-04, 5.97640514e-01
-2.92792975e-04, 5.98735034e-01
-2.92492681e-04, 5.99829555e-01
-2.92192388e-04, 6.00924015e-01
-2.91892095e-04, 6.02018535e-01
-2.91591801e-04, 6.03113055e-01
-2.91291508e-04, 6.04207516e-01
-2.90991215e-04, 6.05302036e-01
-2.90690921e-04, 6.06396496e-01
-2.90390628e-04, 6.07490957e-01
-2.90090335e-04, 6.08585536e-01
-2.89790041e-04, 6.09679997e-01
-2.89489748e-04, 6.10774577e-01
-2.89189455e-04, 6.11869037e-01
-2.88889161e-04, 6.12963557e-01
-2.88588868e-04, 6.14058077e-01
-2.88288575e-04, 6.15152597e-01
-2.87988281e-04, 6.16247118e-01
-2.87687988e-04, 6.17341578e-01
-2.87387695e-04, 6.18436158e-01
-2.87087401e-04, 6.19530559e-01
-2.86787108e-04, 6.20625138e-01
-2.86486815e-04, 6.21719658e-01
-2.86186521e-04, 6.22814178e-01
-2.85886228e-04, 6.23908699e-01
-2.85585935e-04, 6.25003219e-01
-2.85285641e-04, 6.26097798e-01
-2.84985348e-04, 6.27192199e-01
-2.84685055e-04, 6.28286779e-01
-2.84384761e-04, 6.29381359e-01
-2.84084468e-04, 6.30475879e-01
-2.83784175e-04, 6.31570399e-01
-2.83483882e-04, 6.32664919e-01
-2.83183588e-04, 6.33759439e-01
-2.82883295e-04, 6.34853959e-01
-2.82583002e-04, 6.35948479e-01
-2.82282708e-04, 6.37043059e-01
-2.81982415e-04, 6.38137519e-01
