[Name]
Series 1 for Case v9_m5_289 at /LINE:Line horizontal 28

[Data]
X [ m ],Velocity [ m s^-1 ]
2.09999993e-03, 6.03154674e-03
2.10030028e-03, 6.02910947e-03
2.10060063e-03, 6.02667173e-03
2.10090098e-03, 6.02423493e-03
2.10120133e-03, 6.02179952e-03
2.10150168e-03, 6.01936411e-03
2.10180203e-03, 6.01692870e-03
2.10210239e-03, 6.01449469e-03
2.10240274e-03, 6.01206115e-03
2.10270309e-03, 6.00962806e-03
2.10300344e-03, 6.00719545e-03
2.10330379e-03, 6.00476377e-03
2.10360414e-03, 6.00233255e-03
2.10390450e-03, 5.99990226e-03
2.10420485e-03, 5.99735137e-03
2.10450520e-03, 5.99553902e-03
2.10480555e-03, 5.99366054e-03
2.10510590e-03, 5.99178299e-03
2.10540625e-03, 5.98990452e-03
2.10570660e-03, 5.98802604e-03
2.10600696e-03, 5.98614849e-03
2.10630731e-03, 5.98427141e-03
2.10660766e-03, 5.98239480e-03
2.10690801e-03, 5.98051772e-03
2.10720836e-03, 5.97864157e-03
2.10750871e-03, 5.97676588e-03
2.10780906e-03, 5.97488973e-03
2.10810942e-03, 5.97301451e-03
2.10840977e-03, 5.97113930e-03
2.10871012e-03, 5.96926361e-03
2.10901047e-03, 5.96738933e-03
2.10931082e-03, 5.96551504e-03
2.10961117e-03, 5.96364122e-03
2.10991153e-03, 5.96176740e-03
2.11021188e-03, 5.95989358e-03
2.11051223e-03, 5.95802115e-03
2.11081258e-03, 5.95614826e-03
2.11111293e-03, 5.95403416e-03
2.11141328e-03, 5.95235405e-03
2.11171363e-03, 5.95041830e-03
2.11201399e-03, 5.94848394e-03
2.11231434e-03, 5.94654912e-03
2.11261469e-03, 5.94461523e-03
2.11291504e-03, 5.94268087e-03
2.11321539e-03, 5.94074791e-03
2.11351574e-03, 5.93881402e-03
2.11381610e-03, 5.93688106e-03
2.11411645e-03, 5.93494857e-03
2.11441680e-03, 5.93301654e-03
2.11471715e-03, 5.93108498e-03
2.11501750e-03, 5.92915341e-03
2.11531785e-03, 5.92722232e-03
2.11561820e-03, 5.92529168e-03
2.11591856e-03, 5.92336152e-03
2.11621891e-03, 5.92143089e-03
2.11651926e-03, 5.91950072e-03
2.11681961e-03, 5.91757195e-03
2.11711996e-03, 5.91564272e-03
2.11742031e-03, 5.91371395e-03
2.11772067e-03, 5.91178564e-03
2.11802102e-03, 5.90985781e-03
2.11832137e-03, 5.90792997e-03
2.11862172e-03, 5.90600306e-03
2.11892207e-03, 5.90407569e-03
2.11922242e-03, 5.90256415e-03
2.11952277e-03, 5.90056134e-03
2.11982313e-03, 5.89884026e-03
2.12012348e-03, 5.89711824e-03
2.12042383e-03, 5.89539763e-03
2.12072418e-03, 5.89367747e-03
2.12102453e-03, 5.89195685e-03
2.12132488e-03, 5.89023717e-03
2.12162524e-03, 5.88851701e-03
2.12192559e-03, 5.88679779e-03
2.12222594e-03, 5.88507904e-03
2.12252629e-03, 5.88335982e-03
2.12282664e-03, 5.88164153e-03
2.12312699e-03, 5.87992417e-03
2.12342734e-03, 5.87820541e-03
2.12372770e-03, 5.87648805e-03
2.12402805e-03, 5.87477069e-03
2.12432840e-03, 5.87305427e-03
2.12462875e-03, 5.87133784e-03
2.12492910e-03, 5.86962095e-03
2.12522945e-03, 5.86790545e-03
2.12552981e-03, 5.86618902e-03
