[Name]
Series 1 for Case v9_m5_289 at /LINE:Line horizontal 25

[Data]
X [ m ],Velocity [ m s^-1 ]
1.20000006e-03, 1.55338980e-02
1.20030041e-03, 1.55294519e-02
1.20060076e-03, 1.55250076e-02
1.20090111e-03, 1.55205671e-02
1.20120146e-03, 1.55161293e-02
1.20150181e-03, 1.55116953e-02
1.20180217e-03, 1.55072613e-02
1.20210252e-03, 1.55028310e-02
1.20240287e-03, 1.54984016e-02
1.20270322e-03, 1.54939787e-02
1.20300357e-03, 1.54895559e-02
1.20330392e-03, 1.54851330e-02
1.20360428e-03, 1.54807158e-02
1.20390463e-03, 1.54763004e-02
1.20420498e-03, 1.54718868e-02
1.20450533e-03, 1.54674780e-02
1.20480568e-03, 1.54630709e-02
1.20510603e-03, 1.54586667e-02
1.20540638e-03, 1.54542634e-02
1.20570674e-03, 1.54498639e-02
1.20600709e-03, 1.54454680e-02
1.20630744e-03, 1.54410722e-02
1.20660779e-03, 1.54366791e-02
1.20690814e-03, 1.54322898e-02
1.20720849e-03, 1.54279023e-02
1.20750885e-03, 1.54235167e-02
1.20780920e-03, 1.54191367e-02
1.20810955e-03, 1.54147567e-02
1.20840990e-03, 1.54103795e-02
1.20871025e-03, 1.54060069e-02
1.20901060e-03, 1.54016344e-02
1.20931095e-03, 1.53972637e-02
1.20961131e-03, 1.53928977e-02
1.20991166e-03, 1.53885344e-02
1.21021201e-03, 1.53841721e-02
1.21051236e-03, 1.53798144e-02
1.21081271e-03, 1.53754586e-02
1.21111306e-03, 1.53711066e-02
1.21141342e-03, 1.53667554e-02
1.21171377e-03, 1.53624071e-02
1.21201412e-03, 1.53580606e-02
1.21231447e-03, 1.53537178e-02
1.21261482e-03, 1.53493779e-02
1.21291517e-03, 1.53450388e-02
1.21321552e-03, 1.53407035e-02
1.21351588e-03, 1.53363720e-02
1.21381623e-03, 1.53320422e-02
1.21411658e-03, 1.53277144e-02
1.21441693e-03, 1.53233903e-02
1.21471728e-03, 1.53190671e-02
1.21501763e-03, 1.53147485e-02
1.21531799e-03, 1.53104309e-02
1.21561834e-03, 1.53061161e-02
1.21591869e-03, 1.53018050e-02
1.21621904e-03, 1.52974976e-02
1.21651939e-03, 1.52931884e-02
1.21681974e-03, 1.52888857e-02
1.21712009e-03, 1.52845858e-02
1.21742045e-03, 1.52802877e-02
1.21772080e-03, 1.52759915e-02
1.21802115e-03, 1.52716981e-02
1.21832150e-03, 1.52674085e-02
1.21862185e-03, 1.52631206e-02
1.21892220e-03, 1.52588347e-02
1.21922255e-03, 1.52545525e-02
1.21952291e-03, 1.52502740e-02
1.21982326e-03, 1.52459964e-02
1.22012361e-03, 1.52417207e-02
1.22042396e-03, 1.52374497e-02
1.22072431e-03, 1.52331814e-02
1.22102466e-03, 1.52289150e-02
1.22132502e-03, 1.52246505e-02
1.22162537e-03, 1.52203897e-02
1.22192572e-03, 1.52161308e-02
1.22222607e-03, 1.52118765e-02
1.22252642e-03, 1.52076213e-02
1.22282677e-03, 1.52033716e-02
1.22312712e-03, 1.51991248e-02
1.22342748e-03, 1.51948798e-02
1.22372783e-03, 1.51906367e-02
1.22402818e-03, 1.51863974e-02
1.22432853e-03, 1.51821617e-02
1.22462888e-03, 1.51779279e-02
1.22492923e-03, 1.51736941e-02
1.22522959e-03, 1.51694659e-02
1.22552994e-03, 1.51652414e-02
1.22583029e-03, 1.51610179e-02
1.22613064e-03, 1.51567953e-02
1.22643099e-03, 1.51525792e-02
1.22673134e-03, 1.51483640e-02
1.22703169e-03, 1.51441507e-02
1.22733205e-03, 1.51399411e-02
1.22763240e-03, 1.51357343e-02
1.22793275e-03, 1.51315294e-02
1.22823310e-03, 1.51273282e-02
1.22853345e-03, 1.51231280e-02
1.22883380e-03, 1.51189324e-02
1.22913416e-03, 1.51147395e-02
1.22943451e-03, 1.51105486e-02
1.22973486e-03, 1.51063604e-02
1.23003521e-03, 1.51021751e-02
1.23033556e-03, 1.50979934e-02
1.23063591e-03, 1.50938137e-02
1.23093626e-03, 1.50896357e-02
1.23123662e-03, 1.50854625e-02
1.23153697e-03, 1.50812911e-02
1.23183732e-03, 1.50771225e-02
1.23213767e-03, 1.50729557e-02
1.23243802e-03, 1.50687937e-02
1.23273837e-03, 1.50646325e-02
1.23303873e-03, 1.50604751e-02
1.23333908e-03, 1.50563195e-02
1.23363943e-03, 1.50521677e-02
1.23393978e-03, 1.50480187e-02
1.23424013e-03, 1.50438724e-02
1.23454048e-03, 1.50397290e-02
1.23484083e-03, 1.50355874e-02
1.23514119e-03, 1.50314486e-02
1.23544154e-03, 1.50273135e-02
1.23574189e-03, 1.50231794e-02
1.23604224e-03, 1.50184371e-02
1.23634259e-03, 1.50154335e-02
1.23664294e-03, 1.50119560e-02
1.23694330e-03, 1.50084784e-02
1.23724365e-03, 1.50050046e-02
1.23754400e-03, 1.50015345e-02
1.23784435e-03, 1.49980616e-02
1.23814470e-03, 1.49945905e-02
1.23844505e-03, 1.49911214e-02
1.23874540e-03, 1.49876531e-02
