[Name]
Series 1 for Case v9_m5_289 at /LINE:Line horizontal 24

[Data]
X [ m ],Velocity [ m s^-1 ]
8.99999985e-04, 2.29689553e-02
9.00300278e-04, 2.29535829e-02
9.00600571e-04, 2.29382291e-02
9.00900865e-04, 2.29228940e-02
9.01201158e-04, 2.29075700e-02
9.01501451e-04, 2.28922684e-02
9.01801744e-04, 2.28769816e-02
9.02102038e-04, 2.28617117e-02
9.02402331e-04, 2.28464603e-02
9.02702624e-04, 2.28312220e-02
9.03002918e-04, 2.28160042e-02
9.03303211e-04, 2.28008032e-02
9.03603504e-04, 2.27856189e-02
9.03903798e-04, 2.27704532e-02
9.04204091e-04, 2.27553006e-02
9.04504384e-04, 2.27401685e-02
9.04804678e-04, 2.27250550e-02
9.05104971e-04, 2.27099545e-02
9.05405264e-04, 2.26948746e-02
9.05705558e-04, 2.26798113e-02
9.06005851e-04, 2.26647630e-02
9.06306144e-04, 2.26497371e-02
9.06606438e-04, 2.26347242e-02
9.06906731e-04, 2.26197299e-02
9.07207024e-04, 2.26047561e-02
9.07507318e-04, 2.25897953e-02
9.07807611e-04, 2.25748550e-02
9.08107904e-04, 2.25599315e-02
9.08408198e-04, 2.25450229e-02
9.08708491e-04, 2.25301348e-02
9.09008784e-04, 2.25152653e-02
9.09309078e-04, 2.25004125e-02
9.09609371e-04, 2.24855766e-02
9.09909664e-04, 2.24707592e-02
9.10209958e-04, 2.24559605e-02
9.10510251e-04, 2.24411823e-02
9.10810544e-04, 2.24264134e-02
9.11110837e-04, 2.24116687e-02
9.11411131e-04, 2.23969445e-02
9.11711424e-04, 2.23822333e-02
9.12011717e-04, 2.23675426e-02
9.12312011e-04, 2.23528706e-02
9.12612304e-04, 2.23382153e-02
9.12912597e-04, 2.23235767e-02
9.13212891e-04, 2.23089587e-02
9.13513184e-04, 2.22943611e-02
9.13813477e-04, 2.22797766e-02
9.14113771e-04, 2.22652126e-02
9.14414064e-04, 2.22506691e-02
9.14714357e-04, 2.22361423e-02
9.15014651e-04, 2.22216342e-02
9.15314944e-04, 2.22071446e-02
9.15615237e-04, 2.21926738e-02
9.15915531e-04, 2.21782215e-02
9.16215824e-04, 2.21637841e-02
9.16516117e-04, 2.21493710e-02
9.16816411e-04, 2.21349727e-02
9.17116704e-04, 2.21205968e-02
9.17416997e-04, 2.21062340e-02
9.17717291e-04, 2.20925231e-02
9.18017584e-04, 2.20775176e-02
9.18317877e-04, 2.20630374e-02
9.18618171e-04, 2.20485795e-02
9.18918464e-04, 2.20341403e-02
9.19218757e-04, 2.20197178e-02
9.19519051e-04, 2.20053196e-02
9.19819344e-04, 2.19909362e-02
9.20119637e-04, 2.19765734e-02
9.20419930e-04, 2.19622273e-02
9.20720224e-04, 2.19479036e-02
9.21020517e-04, 2.19335984e-02
9.21320810e-04, 2.19193120e-02
9.21621104e-04, 2.19050441e-02
9.21921397e-04, 2.18907986e-02
9.22221690e-04, 2.18765680e-02
9.22521984e-04, 2.18623616e-02
9.22822277e-04, 2.18481719e-02
9.23122570e-04, 2.18340028e-02
9.23422864e-04, 2.18198504e-02
9.23723157e-04, 2.18057223e-02
9.24023450e-04, 2.17916127e-02
9.24323744e-04, 2.17775200e-02
9.24624037e-04, 2.17634495e-02
9.24924330e-04, 2.17493977e-02
9.25224624e-04, 2.17353646e-02
9.25524917e-04, 2.17213538e-02
9.25825210e-04, 2.17073616e-02
9.26125504e-04, 2.16933880e-02
9.26425797e-04, 2.16794387e-02
9.26726090e-04, 2.16655042e-02
9.27026384e-04, 2.16515940e-02
9.27326677e-04, 2.16377005e-02
9.27626970e-04, 2.16238294e-02
9.27927264e-04, 2.16099769e-02
9.28227557e-04, 2.15961449e-02
9.28527850e-04, 2.15823334e-02
9.28828144e-04, 2.15685423e-02
9.29128437e-04, 2.15547718e-02
9.29428730e-04, 2.15410218e-02
9.29729023e-04, 2.15272922e-02
9.30029317e-04, 2.15135831e-02
9.30329610e-04, 2.14998946e-02
9.30629903e-04, 2.14862246e-02
9.30930197e-04, 2.14725789e-02
9.31230490e-04, 2.14589480e-02
9.31530783e-04, 2.14453433e-02
9.31831077e-04, 2.14317571e-02
9.32131370e-04, 2.14181896e-02
9.32431663e-04, 2.14046445e-02
9.32731957e-04, 2.13911217e-02
9.33032250e-04, 2.13776194e-02
9.33332543e-04, 2.13641357e-02
9.33632837e-04, 2.13506743e-02
9.33933130e-04, 2.13372335e-02
9.34233423e-04, 2.13238131e-02
9.34533717e-04, 2.13104170e-02
9.34834010e-04, 2.12970395e-02
9.35134303e-04, 2.12836824e-02
9.35434597e-04, 2.12703459e-02
9.35734890e-04, 2.12570336e-02
