[Name]
Series 1 for Case v9_m5_289 at /LINE:Line horizontal 29

[Data]
X [ m ],Velocity [ m s^-1 ]
2.40000011e-03, 4.36120713e-03
2.40030047e-03, 4.35983203e-03
2.40060082e-03, 4.35845787e-03
2.40090117e-03, 4.35708277e-03
2.40120152e-03, 4.35570907e-03
2.40150187e-03, 4.35433490e-03
2.40180222e-03, 4.35296074e-03
2.40210257e-03, 4.35158703e-03
2.40240293e-03, 4.35021333e-03
2.40270328e-03, 4.34884010e-03
2.40300363e-03, 4.34746686e-03
2.40330398e-03, 4.34609409e-03
2.40360433e-03, 4.34472132e-03
2.40390468e-03, 4.34334809e-03
2.40420504e-03, 4.34197579e-03
2.40450539e-03, 4.34060348e-03
2.40480574e-03, 4.33923118e-03
2.40510609e-03, 4.33785887e-03
2.40540644e-03, 4.33648704e-03
2.40570679e-03, 4.33511520e-03
2.40600714e-03, 4.33374336e-03
2.40630750e-03, 4.33237152e-03
2.40660785e-03, 4.33100015e-03
2.40690820e-03, 4.32962971e-03
2.40720855e-03, 4.32825880e-03
2.40750890e-03, 4.32688789e-03
2.40780925e-03, 4.32551699e-03
2.40810961e-03, 4.32414608e-03
2.40840996e-03, 4.32277611e-03
2.40871031e-03, 4.32140613e-03
2.40901066e-03, 4.32003569e-03
2.40931101e-03, 4.31866571e-03
2.40961136e-03, 4.31729574e-03
2.40991171e-03, 4.31592623e-03
2.41021207e-03, 4.31455672e-03
2.41051242e-03, 4.31318767e-03
2.41081277e-03, 4.31181863e-03
2.41111312e-03, 4.31045005e-03
2.41141347e-03, 4.30908101e-03
2.41171382e-03, 4.30771196e-03
2.41201418e-03, 4.30634432e-03
2.41231453e-03, 4.30497574e-03
2.41261488e-03, 4.30360762e-03
2.41291523e-03, 4.30223951e-03
2.41321558e-03, 4.30087186e-03
2.41351593e-03, 4.29950422e-03
2.41381628e-03, 4.29813704e-03
2.41411664e-03, 4.29676892e-03
2.41441699e-03, 4.29540221e-03
2.41471734e-03, 4.29403549e-03
2.41501769e-03, 4.29266831e-03
2.41531804e-03, 4.29130206e-03
2.41561839e-03, 4.28993534e-03
2.41591875e-03, 4.28856863e-03
2.41621910e-03, 4.28720238e-03
2.41651945e-03, 4.28583706e-03
2.41681980e-03, 4.28447081e-03
2.41712015e-03, 4.28310502e-03
2.41742050e-03, 4.28174017e-03
2.41772085e-03, 4.28037485e-03
2.41802121e-03, 4.27900907e-03
2.41832156e-03, 4.27764421e-03
2.41862191e-03, 4.27627983e-03
2.41892226e-03, 4.27491451e-03
2.41922261e-03, 4.27355058e-03
2.41952296e-03, 4.27218620e-03
2.41982331e-03, 4.27082181e-03
2.42012367e-03, 4.26945835e-03
2.42042402e-03, 4.26809397e-03
2.42072437e-03, 4.26673051e-03
2.42102472e-03, 4.26536659e-03
2.42132507e-03, 4.26400360e-03
2.42162542e-03, 4.26264061e-03
2.42192578e-03, 4.26127762e-03
2.42222613e-03, 4.25991416e-03
2.42252648e-03, 4.25855210e-03
2.42282683e-03, 4.25718911e-03
2.42312718e-03, 4.25582658e-03
2.42342753e-03, 4.25446499e-03
2.42372788e-03, 4.25310293e-03
2.42402824e-03, 4.25174087e-03
2.42432859e-03, 4.25037928e-03
2.42462894e-03, 4.24901769e-03
2.42492929e-03, 4.24765609e-03
2.42522964e-03, 4.24629496e-03
2.42552999e-03, 4.24493477e-03
2.42583035e-03, 4.24357364e-03
2.42613070e-03, 4.24221251e-03
2.42643105e-03, 4.24085231e-03
2.42673140e-03, 4.23949212e-03
2.42703175e-03, 4.23813192e-03
2.42733210e-03, 4.23677219e-03
2.42763245e-03, 4.23541293e-03
2.42793281e-03, 4.23405226e-03
2.42823316e-03, 4.23269300e-03
2.42853351e-03, 4.23133373e-03
2.42883386e-03, 4.22997447e-03
2.42913421e-03, 4.22861567e-03
2.42943456e-03, 4.22725733e-03
2.42973492e-03, 4.22589853e-03
2.43003527e-03, 4.22457140e-03
2.43033562e-03, 4.22339560e-03
2.43063597e-03, 4.22222121e-03
2.43093632e-03, 4.22104727e-03
2.43123667e-03, 4.21987288e-03
2.43153702e-03, 4.21869941e-03
2.43183738e-03, 4.21752548e-03
2.43213773e-03, 4.21635248e-03
2.43243808e-03, 4.21517901e-03
2.43273843e-03, 4.21400694e-03
2.43303878e-03, 4.21283441e-03
2.43333913e-03, 4.21166187e-03
2.43363949e-03, 4.21049027e-03
2.43393984e-03, 4.20931866e-03
2.43424019e-03, 4.20814753e-03
2.43454054e-03, 4.20697639e-03
2.43484089e-03, 4.20580618e-03
2.43514124e-03, 4.20463458e-03
2.43544159e-03, 4.20346530e-03
2.43574195e-03, 4.20229509e-03
2.43604230e-03, 4.20112535e-03
2.43634265e-03, 4.19995654e-03
2.43664300e-03, 4.19878727e-03
2.43694335e-03, 4.19761846e-03
2.43724370e-03, 4.19644965e-03
2.43754406e-03, 4.19528177e-03
2.43784441e-03, 4.19411343e-03
2.43814476e-03, 4.19294601e-03
2.43844511e-03, 4.19177860e-03
2.43874546e-03, 4.19061165e-03
2.43904581e-03, 4.18944471e-03
2.43934616e-03, 4.18827776e-03
2.43964652e-03, 4.18711174e-03
2.43994687e-03, 4.18594573e-03
2.44024722e-03, 4.18478018e-03
2.44054757e-03, 4.18361463e-03
2.44084792e-03, 4.18245001e-03
2.44114827e-03, 4.18128446e-03
2.44144863e-03, 4.18011984e-03
2.44174898e-03, 4.17895569e-03
2.44204933e-03, 4.17779200e-03
2.44234968e-03, 4.17662784e-03
2.44265003e-03, 4.17546416e-03
2.44295038e-03, 4.17430140e-03
2.44325073e-03, 4.17313864e-03
2.44355109e-03, 4.17197589e-03
2.44385144e-03, 4.17081406e-03
2.44415179e-03, 4.16965224e-03
2.44445214e-03, 4.16848948e-03
2.44475249e-03, 4.16732905e-03
2.44505284e-03, 4.16616770e-03
2.44535320e-03, 4.16500680e-03
2.44565355e-03, 4.16384544e-03
2.44595390e-03, 4.16268548e-03
2.44625425e-03, 4.16149106e-03
2.44655460e-03, 4.16010292e-03
2.44685495e-03, 4.15871432e-03
2.44715530e-03, 4.15732618e-03
2.44745566e-03, 4.15593805e-03
2.44775601e-03, 4.15455038e-03
2.44805636e-03, 4.15316317e-03
2.44835671e-03, 4.15177550e-03
2.44865706e-03, 4.15038923e-03
2.44895741e-03, 4.14900202e-03
2.44925776e-03, 4.14761575e-03
2.44955812e-03, 4.14622948e-03
2.44985847e-03, 4.14484413e-03
2.45015882e-03, 4.14345833e-03
2.45045917e-03, 4.14207205e-03
2.45075952e-03, 4.14068718e-03
2.45105987e-03, 4.13930183e-03
2.45136023e-03, 4.13791789e-03
2.45166058e-03, 4.13653301e-03
2.45196093e-03, 4.13514907e-03
2.45226128e-03, 4.13376512e-03
2.45256163e-03, 4.13238117e-03
2.45286198e-03, 4.13099770e-03
2.45316233e-03, 4.12961468e-03
2.45346269e-03, 4.12823167e-03
2.45376304e-03, 4.12684912e-03
2.45406339e-03, 4.12546657e-03
2.45436374e-03, 4.12408449e-03
2.45466409e-03, 4.12270240e-03
2.45496444e-03, 4.12132079e-03
2.45526480e-03, 4.11993917e-03
2.45556515e-03, 4.11855802e-03
2.45586550e-03, 4.11717733e-03
2.45616585e-03, 4.11579665e-03
2.45646620e-03, 4.11441596e-03
2.45676655e-03, 4.11303574e-03
2.45706690e-03, 4.11165599e-03
2.45736726e-03, 4.11027623e-03
2.45766761e-03, 4.10889694e-03
2.45796796e-03, 4.10751766e-03
2.45826831e-03, 4.10613930e-03
2.45856866e-03, 4.10476048e-03
2.45886901e-03, 4.10338212e-03
2.45916937e-03, 4.10200376e-03
2.45946972e-03, 4.10062587e-03
2.45977007e-03, 4.09924844e-03
2.46007042e-03, 4.09787102e-03
2.46037077e-03, 4.09649406e-03
2.46067112e-03, 4.09511663e-03
2.46097147e-03, 4.09374060e-03
2.46127183e-03, 4.09236411e-03
2.46157218e-03, 4.09098808e-03
2.46187253e-03, 4.08961251e-03
2.46217288e-03, 4.08823695e-03
2.46247323e-03, 4.08686139e-03
2.46277358e-03, 4.08548675e-03
2.46307394e-03, 4.08411166e-03
2.46337429e-03, 4.08273702e-03
2.46367464e-03, 4.08136286e-03
2.46397499e-03, 4.07998916e-03
2.46427534e-03, 4.07861546e-03
2.46457569e-03, 4.07724176e-03
2.46487604e-03, 4.07586899e-03
2.46517640e-03, 4.07449575e-03
2.46547675e-03, 4.07312345e-03
2.46577710e-03, 4.07175114e-03
2.46607745e-03, 4.07037837e-03
2.46637780e-03, 4.06900654e-03
2.46667815e-03, 4.06763516e-03
2.46697851e-03, 4.06626333e-03
2.46727886e-03, 4.06489242e-03
2.46757921e-03, 4.06352198e-03
2.46787956e-03, 4.06215107e-03
2.46817991e-03, 4.06078063e-03
2.46848026e-03, 4.05941112e-03
2.46878061e-03, 4.05804114e-03
2.46908097e-03, 4.05667163e-03
2.46938132e-03, 4.05530259e-03
2.46968167e-03, 4.05393355e-03
2.46998202e-03, 4.05256497e-03
2.47028237e-03, 4.05119592e-03
2.47058272e-03, 4.04982828e-03
2.47088308e-03, 4.04846016e-03
2.47118343e-03, 4.04709252e-03
2.47148378e-03, 4.04572533e-03
2.47178413e-03, 4.04435815e-03
2.47208448e-03, 4.04299097e-03
2.47238483e-03, 4.04162472e-03
2.47268518e-03, 4.04025847e-03
2.47298554e-03, 4.03889222e-03
2.47328589e-03, 4.03752644e-03
2.47358624e-03, 4.03616112e-03
2.47388659e-03, 4.03479626e-03
2.47418694e-03, 4.03343095e-03
2.47448729e-03, 4.03206609e-03
2.47478765e-03, 4.03070170e-03
2.47508800e-03, 4.02958738e-03
2.47538835e-03, 4.02793707e-03
2.47568870e-03, 4.02647303e-03
2.47598905e-03, 4.02500900e-03
2.47628940e-03, 4.02354542e-03
2.47658975e-03, 4.02208278e-03
2.47689011e-03, 4.02062014e-03
2.47719046e-03, 4.01915796e-03
2.47749081e-03, 4.01769578e-03
2.47779116e-03, 4.01623407e-03
2.47809151e-03, 4.01477236e-03
2.47839186e-03, 4.01331112e-03
2.47869221e-03, 4.01185034e-03
2.47899257e-03, 4.01038956e-03
2.47929292e-03, 4.00892971e-03
2.47959327e-03, 4.00746940e-03
2.47989362e-03, 4.00600955e-03
2.48019397e-03, 4.00455017e-03
2.48049432e-03, 4.00309125e-03
2.48079468e-03, 4.00163233e-03
2.48109503e-03, 4.00017388e-03
2.48139538e-03, 3.99871590e-03
2.48169573e-03, 3.99725791e-03
2.48199608e-03, 3.99580039e-03
2.48229643e-03, 3.99434287e-03
2.48259678e-03, 3.99288628e-03
2.48289714e-03, 3.99142969e-03
2.48319749e-03, 3.98997311e-03
2.48349784e-03, 3.98851745e-03
2.48379819e-03, 3.98706133e-03
2.48409854e-03, 3.98560613e-03
2.48439889e-03, 3.98415048e-03
2.48469925e-03, 3.98269622e-03
2.48499960e-03, 3.98124196e-03
2.48529995e-03, 3.97978770e-03
2.48560030e-03, 3.97833344e-03
2.48590065e-03, 3.97688011e-03
2.48620100e-03, 3.97542724e-03
2.48650135e-03, 3.97397391e-03
2.48680171e-03, 3.97252105e-03
2.48710206e-03, 3.97106912e-03
2.48740241e-03, 3.96961672e-03
2.48770276e-03, 3.96816479e-03
2.48800311e-03, 3.96671379e-03
2.48830346e-03, 3.96526279e-03
2.48860382e-03, 3.96381179e-03
2.48890417e-03, 3.96236172e-03
2.48920452e-03, 3.96091118e-03
2.48950487e-03, 3.95946158e-03
2.48980522e-03, 3.95801244e-03
2.49010557e-03, 3.95656284e-03
2.49040592e-03, 3.95511417e-03
2.49070628e-03, 3.95366549e-03
2.49100663e-03, 3.95221729e-03
2.49130698e-03, 3.95076955e-03
2.49160733e-03, 3.94932181e-03
2.49190768e-03, 3.94787407e-03
2.49220803e-03, 3.94642726e-03
2.49250839e-03, 3.94498045e-03
2.49280874e-03, 3.94353410e-03
2.49310909e-03, 3.94208776e-03
2.49340944e-03, 3.94064235e-03
2.49370979e-03, 3.93919740e-03
2.49401014e-03, 3.93775199e-03
2.49431049e-03, 3.93630750e-03
2.49461085e-03, 3.93432938e-03
2.49491120e-03, 3.93357361e-03
2.49521155e-03, 3.93235637e-03
2.49551190e-03, 3.93113866e-03
2.49581225e-03, 3.92992143e-03
2.49611260e-03, 3.92870419e-03
2.49641296e-03, 3.92748741e-03
2.49671331e-03, 3.92627064e-03
2.49701366e-03, 3.92505433e-03
2.49731401e-03, 3.92383803e-03
2.49761436e-03, 3.92262265e-03
2.49791471e-03, 3.92140681e-03
2.49821506e-03, 3.92019143e-03
2.49851542e-03, 3.91897606e-03
2.49881577e-03, 3.91776161e-03
2.49911612e-03, 3.91654717e-03
2.49941647e-03, 3.91533272e-03
2.49971682e-03, 3.91411874e-03
2.50001717e-03, 3.91290477e-03
2.50031753e-03, 3.91169125e-03
2.50061788e-03, 3.91047774e-03
2.50091823e-03, 3.90926516e-03
2.50121858e-03, 3.90805211e-03
2.50151893e-03, 3.90683906e-03
2.50181928e-03, 3.90562695e-03
2.50211963e-03, 3.90441506e-03
2.50241999e-03, 3.90320318e-03
2.50272034e-03, 3.90199176e-03
2.50302069e-03, 3.90078011e-03
2.50332104e-03, 3.89956916e-03
2.50362139e-03, 3.89835797e-03
2.50392174e-03, 3.89714772e-03
2.50422210e-03, 3.89593723e-03
2.50452245e-03, 3.89472744e-03
2.50482280e-03, 3.89351766e-03
2.50512315e-03, 3.89230833e-03
2.50542350e-03, 3.89109855e-03
2.50572385e-03, 3.88988992e-03
2.50602420e-03, 3.88868060e-03
2.50632456e-03, 3.88747267e-03
2.50662491e-03, 3.88626382e-03
2.50692526e-03, 3.88505636e-03
2.50722561e-03, 3.88384843e-03
2.50752596e-03, 3.88264097e-03
2.50782631e-03, 3.88143351e-03
2.50812666e-03, 3.88022698e-03
2.50842702e-03, 3.87901976e-03
2.50872737e-03, 3.87781346e-03
2.50902772e-03, 3.87660693e-03
2.50932807e-03, 3.87540134e-03
2.50962842e-03, 3.87419574e-03
2.50992877e-03, 3.87299038e-03
2.51022913e-03, 3.87176313e-03
2.51052948e-03, 3.87038314e-03
2.51082983e-03, 3.86900338e-03
2.51113018e-03, 3.86762409e-03
2.51143053e-03, 3.86624481e-03
2.51173088e-03, 3.86486575e-03
2.51203123e-03, 3.86348716e-03
2.51233159e-03, 3.86210834e-03
2.51263194e-03, 3.86072975e-03
2.51293229e-03, 3.85935162e-03
2.51323264e-03, 3.85797373e-03
2.51353299e-03, 3.85659607e-03
2.51383334e-03, 3.85521818e-03
2.51413370e-03, 3.85384099e-03
2.51443405e-03, 3.85246379e-03
2.51473440e-03, 3.85108707e-03
2.51503475e-03, 3.84971010e-03
2.51533510e-03, 3.84833361e-03
2.51563545e-03, 3.84695758e-03
2.51593580e-03, 3.84558202e-03
2.51623616e-03, 3.84420599e-03
2.51653651e-03, 3.84283019e-03
2.51683686e-03, 3.84145463e-03
2.51713721e-03, 3.84007976e-03
2.51743756e-03, 3.83870490e-03
2.51773791e-03, 3.83733050e-03
2.51803827e-03, 3.83595587e-03
2.51833862e-03, 3.83458193e-03
2.51863897e-03, 3.83320753e-03
2.51893932e-03, 3.83183360e-03
2.51923967e-03, 3.83046060e-03
2.51954002e-03, 3.82908690e-03
2.51984037e-03, 3.82771366e-03
2.52014073e-03, 3.82634089e-03
2.52044108e-03, 3.82496789e-03
2.52074143e-03, 3.82359582e-03
2.52104178e-03, 3.82222328e-03
2.52134213e-03, 3.82085121e-03
2.52164248e-03, 3.81947961e-03
2.52194284e-03, 3.81810777e-03
2.52224319e-03, 3.81673686e-03
2.52254354e-03, 3.81536549e-03
2.52284389e-03, 3.81399505e-03
2.52314424e-03, 3.81262437e-03
2.52344459e-03, 3.81125393e-03
2.52374494e-03, 3.80988396e-03
2.52404530e-03, 3.80851375e-03
2.52434565e-03, 3.80714424e-03
2.52464600e-03, 3.80577450e-03
2.52494635e-03, 3.80437355e-03
2.52524670e-03, 3.80305736e-03
2.52554705e-03, 3.80171672e-03
2.52584741e-03, 3.80037655e-03
2.52614776e-03, 3.79903638e-03
2.52644811e-03, 3.79769644e-03
2.52674846e-03, 3.79635673e-03
2.52704881e-03, 3.79501679e-03
2.52734916e-03, 3.79367732e-03
2.52764951e-03, 3.79233784e-03
2.52794987e-03, 3.79099930e-03
2.52825022e-03, 3.78966006e-03
2.52855057e-03, 3.78832174e-03
2.52885092e-03, 3.78698343e-03
2.52915127e-03, 3.78564536e-03
2.52945162e-03, 3.78430728e-03
2.52975198e-03, 3.78296943e-03
2.53005233e-03, 3.78163205e-03
2.53035268e-03, 3.78029468e-03
2.53065303e-03, 3.77895776e-03
2.53095338e-03, 3.77762108e-03
2.53125373e-03, 3.77628393e-03
2.53155408e-03, 3.77494749e-03
2.53185444e-03, 3.77361127e-03
2.53215479e-03, 3.77227529e-03
2.53245514e-03, 3.77094001e-03
2.53275549e-03, 3.76960379e-03
2.53305584e-03, 3.76826897e-03
2.53335619e-03, 3.76693346e-03
2.53365654e-03, 3.76559864e-03
2.53395690e-03, 3.76426382e-03
2.53425725e-03, 3.76292947e-03
2.53455760e-03, 3.76159488e-03
2.53485795e-03, 3.76026076e-03
2.53515830e-03, 3.75892688e-03
2.53545865e-03, 3.75759345e-03
2.53575901e-03, 3.75626003e-03
2.53605936e-03, 3.75492685e-03
2.53635971e-03, 3.75359389e-03
2.53666006e-03, 3.75226093e-03
2.53696041e-03, 3.75092821e-03
2.53726076e-03, 3.74959596e-03
2.53756111e-03, 3.74826370e-03
2.53786147e-03, 3.74693144e-03
2.53816182e-03, 3.74559988e-03
2.53846217e-03, 3.74426809e-03
2.53876252e-03, 3.74293723e-03
2.53906287e-03, 3.74160614e-03
2.53936322e-03, 3.74027528e-03
2.53966358e-03, 3.73894488e-03
2.53996393e-03, 3.73761402e-03
2.54026428e-03, 3.73628386e-03
2.54056463e-03, 3.73495417e-03
2.54086498e-03, 3.73362401e-03
2.54116533e-03, 3.73229478e-03
2.54146568e-03, 3.73096508e-03
2.54176604e-03, 3.72963632e-03
2.54206639e-03, 3.72830732e-03
2.54236674e-03, 3.72697902e-03
2.54266709e-03, 3.72565049e-03
2.54296744e-03, 3.72432219e-03
2.54326779e-03, 3.72299412e-03
2.54356815e-03, 3.72166652e-03
2.54386850e-03, 3.72033892e-03
2.54416885e-03, 3.71901179e-03
2.54446920e-03, 3.71768442e-03
2.54476955e-03, 3.71635752e-03
2.54506990e-03, 3.71503085e-03
2.54537025e-03, 3.71370441e-03
2.54567061e-03, 3.71237868e-03
2.54597096e-03, 3.71105247e-03
2.54627131e-03, 3.70972673e-03
2.54657166e-03, 3.70840100e-03
2.54687201e-03, 3.70707572e-03
2.54717236e-03, 3.70575069e-03
2.54747272e-03, 3.70442565e-03
2.54777307e-03, 3.70310084e-03
2.54807342e-03, 3.70177696e-03
2.54837377e-03, 3.70045239e-03
2.54867412e-03, 3.69912875e-03
2.54897447e-03, 3.69780487e-03
2.54927482e-03, 3.69648146e-03
2.54957518e-03, 3.69515806e-03
2.54987553e-03, 3.69383511e-03
2.55017588e-03, 3.69251263e-03
2.55047623e-03, 3.69118922e-03
2.55077658e-03, 3.68986698e-03
2.55107693e-03, 3.68854543e-03
2.55137729e-03, 3.68722295e-03
2.55167764e-03, 3.68590187e-03
2.55197799e-03, 3.68457986e-03
2.55227834e-03, 3.68325878e-03
2.55257869e-03, 3.68193770e-03
2.55287904e-03, 3.68061708e-03
2.55317939e-03, 3.67929670e-03
2.55347975e-03, 3.67797608e-03
2.55378010e-03, 3.67665617e-03
2.55408045e-03, 3.67533625e-03
2.55438080e-03, 3.67401657e-03
2.55468115e-03, 3.67269712e-03
2.55498150e-03, 3.67137790e-03
2.55528186e-03, 3.67005914e-03
2.55558221e-03, 3.66874062e-03
2.55588256e-03, 3.66742210e-03
2.55618291e-03, 3.66610405e-03
2.55648326e-03, 3.66478553e-03
2.55678361e-03, 3.66346817e-03
2.55708396e-03, 3.66215082e-03
2.55738432e-03, 3.66083323e-03
2.55768467e-03, 3.65951611e-03
