[Name]
Series 1 for Case v9_m5_289 at /LINE:Line horizontal 21

[Data]
X [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 3.17665505e+00
3.00300314e-07, 3.17673945e+00
6.00600629e-07, 3.17682314e+00
9.00900943e-07, 3.17690730e+00
1.20120126e-06, 3.17699146e+00
1.50150163e-06, 3.17707515e+00
1.80180200e-06, 3.17715955e+00
2.10210237e-06, 3.17724347e+00
2.40240274e-06, 3.17732763e+00
2.70270311e-06, 3.17741156e+00
3.00300348e-06, 3.17749572e+00
3.30330386e-06, 3.17757988e+00
3.60360423e-06, 3.17766380e+00
3.90390460e-06, 3.17774749e+00
4.20420474e-06, 3.17783213e+00
4.50450489e-06, 3.17791605e+00
4.80480503e-06, 3.17799997e+00
5.10510517e-06, 3.17808390e+00
5.40540532e-06, 3.17816830e+00
5.70570546e-06, 3.17825270e+00
6.00600561e-06, 3.17833638e+00
6.30630575e-06, 3.17842031e+00
6.60660589e-06, 3.17850471e+00
6.90690604e-06, 3.17858863e+00
7.20720618e-06, 3.17867279e+00
7.50750633e-06, 3.17875695e+00
7.80780647e-06, 3.17884088e+00
8.10810707e-06, 3.17688465e+00
8.40840767e-06, 3.17565131e+00
8.70870826e-06, 3.17441797e+00
9.00900886e-06, 3.17318511e+00
9.30930946e-06, 3.17195153e+00
9.60961006e-06, 3.17071819e+00
9.90991066e-06, 3.16948462e+00
1.02102113e-05, 3.16825151e+00
1.05105119e-05, 3.16701865e+00
1.08108125e-05, 3.16578507e+00
1.11111131e-05, 3.16455221e+00
1.14114137e-05, 3.16331863e+00
1.17117143e-05, 3.16208553e+00
1.20120148e-05, 3.16085219e+00
1.23123154e-05, 3.15961862e+00
1.26126160e-05, 3.15838552e+00
1.29129166e-05, 3.15715241e+00
1.32132172e-05, 3.15591908e+00
1.35135178e-05, 3.15468574e+00
1.38138184e-05, 3.15345240e+00
1.41141190e-05, 3.15221906e+00
1.44144196e-05, 3.15098596e+00
1.47147202e-05, 3.14975286e+00
1.50150208e-05, 3.14851952e+00
1.53153214e-05, 3.14728642e+00
1.56156220e-05, 3.14605308e+00
1.59159226e-05, 3.14481974e+00
1.62162232e-05, 3.14358664e+00
1.65165238e-05, 3.14235330e+00
1.68168244e-05, 3.14111972e+00
1.71171250e-05, 3.13988662e+00
1.74174256e-05, 3.13865376e+00
1.77177262e-05, 3.13742065e+00
1.80180268e-05, 3.13618684e+00
1.83183274e-05, 3.13495374e+00
1.86186280e-05, 3.13372064e+00
1.89189286e-05, 3.13248682e+00
1.92192292e-05, 3.13125372e+00
1.95195298e-05, 3.13002086e+00
1.98198304e-05, 3.12878776e+00
2.01201310e-05, 3.12755442e+00
2.04204316e-05, 3.12632108e+00
2.07207322e-05, 3.12508798e+00
2.10210328e-05, 3.12385440e+00
2.13213334e-05, 3.12262106e+00
2.16216340e-05, 3.12138820e+00
2.19219346e-05, 3.12015438e+00
2.22222352e-05, 3.11892152e+00
2.25225358e-05, 3.11768818e+00
