[Name]
Series 1 for Case v9_m5_289 at /LINE:Line horizontal 27

[Data]
X [ m ],Velocity [ m s^-1 ]
1.79999997e-03, 8.55624955e-03
1.80030032e-03, 8.55379459e-03
1.80060067e-03, 8.55133776e-03
1.80090102e-03, 8.54888279e-03
1.80120138e-03, 8.54642782e-03
1.80150173e-03, 8.54397193e-03
1.80180208e-03, 8.54151789e-03
1.80210243e-03, 8.53906292e-03
1.80240278e-03, 8.53660889e-03
1.80270313e-03, 8.53415392e-03
1.80300348e-03, 8.53169989e-03
1.80330384e-03, 8.52924678e-03
1.80360419e-03, 8.52679275e-03
1.80390454e-03, 8.52433965e-03
1.80420489e-03, 8.52188561e-03
1.80450524e-03, 8.51943344e-03
1.80480559e-03, 8.51698034e-03
1.80510595e-03, 8.51452723e-03
1.80540630e-03, 8.51207506e-03
1.80570665e-03, 8.50962382e-03
1.80600700e-03, 8.50717071e-03
1.80630735e-03, 8.50472040e-03
1.80660770e-03, 8.50226916e-03
1.80690805e-03, 8.49981792e-03
1.80720841e-03, 8.49736668e-03
1.80750876e-03, 8.49491544e-03
1.80780911e-03, 8.49246513e-03
1.80810946e-03, 8.49001482e-03
1.80840981e-03, 8.48756358e-03
1.80871016e-03, 8.48511513e-03
1.80901051e-03, 8.48266482e-03
1.80931087e-03, 8.48021545e-03
1.80961122e-03, 8.47776607e-03
1.80991157e-03, 8.47531669e-03
1.81021192e-03, 8.47286824e-03
1.81051227e-03, 8.47041979e-03
1.81081262e-03, 8.46797135e-03
1.81111298e-03, 8.46552290e-03
1.81141333e-03, 8.46307538e-03
1.81171368e-03, 8.46062787e-03
1.81201403e-03, 8.45818035e-03
1.81231438e-03, 8.45573191e-03
1.81261473e-03, 8.45328532e-03
1.81291508e-03, 8.45083874e-03
1.81321544e-03, 8.44839215e-03
1.81351579e-03, 8.44594557e-03
1.81381614e-03, 8.44349898e-03
1.81411649e-03, 8.44105426e-03
1.81441684e-03, 8.43860861e-03
1.81471719e-03, 8.43616296e-03
1.81501755e-03, 8.43371637e-03
1.81531790e-03, 8.43110867e-03
1.81561825e-03, 8.42858758e-03
1.81591860e-03, 8.42611492e-03
1.81621895e-03, 8.42328556e-03
1.81651930e-03, 8.42042267e-03
1.81681965e-03, 8.41756072e-03
1.81712001e-03, 8.41469876e-03
1.81742036e-03, 8.41183774e-03
1.81772071e-03, 8.40897672e-03
1.81802106e-03, 8.40611476e-03
1.81832141e-03, 8.40325467e-03
1.81862176e-03, 8.40039458e-03
1.81892212e-03, 8.39753356e-03
1.81922247e-03, 8.39467347e-03
1.81952282e-03, 8.39181338e-03
1.81982317e-03, 8.38895421e-03
1.82012352e-03, 8.38609412e-03
1.82042387e-03, 8.38323496e-03
1.82072422e-03, 8.38037487e-03
1.82102458e-03, 8.37751664e-03
1.82132493e-03, 8.37465655e-03
1.82162528e-03, 8.37179925e-03
1.82192563e-03, 8.36894102e-03
1.82222598e-03, 8.36608279e-03
1.82252633e-03, 8.36322550e-03
1.82282669e-03, 8.36036727e-03
1.82312704e-03, 8.35750904e-03
1.82342739e-03, 8.35465174e-03
1.82372774e-03, 8.35179631e-03
1.82402809e-03, 8.34893808e-03
1.82432844e-03, 8.34608264e-03
1.82462879e-03, 8.34322628e-03
1.82492915e-03, 8.34037084e-03
1.82522950e-03, 8.33751447e-03
1.82552985e-03, 8.33465904e-03
1.82583020e-03, 8.33180360e-03
1.82613055e-03, 8.32894817e-03
1.82643090e-03, 8.32609273e-03
1.82673126e-03, 8.32323823e-03
1.82703161e-03, 8.32038373e-03
1.82733196e-03, 8.31753016e-03
1.82763231e-03, 8.31467472e-03
1.82793266e-03, 8.31182115e-03
1.82823301e-03, 8.30896851e-03
1.82853336e-03, 8.30611493e-03
1.82883372e-03, 8.30326136e-03
1.82913407e-03, 8.30040872e-03
1.82943442e-03, 8.29755608e-03
1.82973477e-03, 8.29470344e-03
1.83003512e-03, 8.29185173e-03
1.83033547e-03, 8.28899816e-03
1.83063583e-03, 8.28614738e-03
1.83093618e-03, 8.28329567e-03
1.83123653e-03, 8.28044396e-03
1.83153688e-03, 8.27759318e-03
1.83183723e-03, 8.27474240e-03
1.83213758e-03, 8.27189069e-03
1.83243793e-03, 8.26904178e-03
1.83273829e-03, 8.26636050e-03
1.83303864e-03, 8.26316699e-03
1.83333899e-03, 8.26015696e-03
1.83363934e-03, 8.25714692e-03
1.83393969e-03, 8.25413689e-03
1.83424004e-03, 8.25112592e-03
1.83454040e-03, 8.24811682e-03
1.83484075e-03, 8.24510865e-03
1.83514110e-03, 8.24209861e-03
1.83544145e-03, 8.23909044e-03
1.83574180e-03, 8.23608227e-03
1.83604215e-03, 8.23307410e-03
1.83634250e-03, 8.23006593e-03
1.83664286e-03, 8.22705775e-03
1.83694321e-03, 8.22405145e-03
1.83724356e-03, 8.22104607e-03
1.83754391e-03, 8.21803883e-03
1.83784426e-03, 8.21503252e-03
1.83814461e-03, 8.21202621e-03
1.83844496e-03, 8.20902083e-03
1.83874532e-03, 8.20601545e-03
1.83904567e-03, 8.20301101e-03
1.83934602e-03, 8.20000656e-03
1.83964637e-03, 8.19700211e-03
1.83994672e-03, 8.19399860e-03
1.84024707e-03, 8.19099415e-03
1.84054743e-03, 8.18799157e-03
1.84084778e-03, 8.18498805e-03
1.84114813e-03, 8.18198547e-03
1.84144848e-03, 8.17898382e-03
1.84174883e-03, 8.17598123e-03
1.84204918e-03, 8.17297958e-03
1.84234953e-03, 8.16997886e-03
1.84264989e-03, 8.16697720e-03
1.84295024e-03, 8.16397741e-03
1.84325059e-03, 8.16097669e-03
1.84355094e-03, 8.15797690e-03
1.84385129e-03, 8.15497711e-03
1.84415164e-03, 8.15197732e-03
1.84445200e-03, 8.14897846e-03
1.84475235e-03, 8.14597961e-03
1.84505270e-03, 8.14298168e-03
1.84535305e-03, 8.13998375e-03
1.84565340e-03, 8.13698582e-03
1.84595375e-03, 8.13398790e-03
1.84625410e-03, 8.13099090e-03
1.84655446e-03, 8.12799484e-03
1.84685481e-03, 8.12499784e-03
1.84715516e-03, 8.12200177e-03
1.84745551e-03, 8.11900664e-03
1.84775586e-03, 8.11601058e-03
1.84805621e-03, 8.11301544e-03
1.84835657e-03, 8.11002031e-03
1.84865692e-03, 8.10702611e-03
1.84895727e-03, 8.10403097e-03
1.84925762e-03, 8.10103863e-03
1.84955797e-03, 8.09804536e-03
1.84985832e-03, 8.09505116e-03
1.85015867e-03, 8.09205882e-03
1.85045903e-03, 8.08906648e-03
1.85075938e-03, 8.08607414e-03
1.85105973e-03, 8.08308180e-03
1.85136008e-03, 8.08009040e-03
1.85166043e-03, 8.07709992e-03
1.85196078e-03, 8.07410851e-03
1.85226114e-03, 8.07111897e-03
1.85256149e-03, 8.06812756e-03
1.85286184e-03, 8.06513801e-03
1.85316219e-03, 8.06214940e-03
1.85346254e-03, 8.05915985e-03
1.85376289e-03, 8.05617124e-03
1.85406324e-03, 8.05318169e-03
1.85436360e-03, 8.05019494e-03
1.85466395e-03, 8.04720633e-03
1.85496430e-03, 8.04421958e-03
1.85526465e-03, 8.04123282e-03
1.85556500e-03, 8.03824514e-03
1.85586535e-03, 8.03525932e-03
1.85616571e-03, 8.03227164e-03
1.85646606e-03, 8.02928675e-03
1.85676641e-03, 8.02630186e-03
1.85706676e-03, 8.02331697e-03
1.85736711e-03, 8.02033208e-03
1.85766746e-03, 8.01734719e-03
1.85796781e-03, 8.01436417e-03
1.85826817e-03, 8.01138021e-03
1.85856852e-03, 8.00839625e-03
1.85886887e-03, 8.00541323e-03
1.85916922e-03, 8.00243020e-03
1.85946957e-03, 7.99944904e-03
1.85976992e-03, 7.99646694e-03
1.86007028e-03, 7.99348485e-03
1.86037063e-03, 7.99050368e-03
1.86067098e-03, 7.98752252e-03
1.86097133e-03, 7.98454229e-03
1.86127168e-03, 7.98156112e-03
1.86157203e-03, 7.97858182e-03
1.86187238e-03, 7.97560252e-03
1.86217274e-03, 7.97262322e-03
1.86247309e-03, 7.96964392e-03
1.86277344e-03, 7.96666462e-03
1.86307379e-03, 7.96368811e-03
1.86337414e-03, 7.96070974e-03
1.86367449e-03, 7.95773230e-03
1.86397485e-03, 7.95475487e-03
1.86427520e-03, 7.95177743e-03
1.86457555e-03, 7.94880185e-03
1.86487590e-03, 7.94582535e-03
1.86517625e-03, 7.94284977e-03
1.86547660e-03, 7.93987419e-03
1.86577695e-03, 7.93689862e-03
1.86607731e-03, 7.93392584e-03
1.86637766e-03, 7.93095026e-03
1.86667801e-03, 7.92797655e-03
1.86697836e-03, 7.92500190e-03
1.86727871e-03, 7.92203005e-03
1.86757906e-03, 7.91905727e-03
1.86787941e-03, 7.91608449e-03
1.86817977e-03, 7.91311171e-03
1.86848012e-03, 7.91013986e-03
1.86878047e-03, 7.90716894e-03
1.86908082e-03, 7.90419709e-03
1.86938117e-03, 7.90132210e-03
1.86968152e-03, 7.89903663e-03
1.86998188e-03, 7.89544731e-03
1.87028223e-03, 7.89295230e-03
1.87058258e-03, 7.89045822e-03
1.87088293e-03, 7.88796507e-03
1.87118328e-03, 7.88547099e-03
1.87148363e-03, 7.88297784e-03
1.87178398e-03, 7.88048469e-03
1.87208434e-03, 7.87799247e-03
1.87238469e-03, 7.87549932e-03
1.87268504e-03, 7.87300803e-03
1.87298539e-03, 7.87051674e-03
1.87328574e-03, 7.86802452e-03
1.87358609e-03, 7.86553323e-03
1.87388645e-03, 7.86304194e-03
1.87418680e-03, 7.86055159e-03
1.87448715e-03, 7.85806030e-03
1.87478750e-03, 7.85557088e-03
1.87508785e-03, 7.85308145e-03
1.87538820e-03, 7.85059109e-03
1.87568855e-03, 7.84810260e-03
1.87598891e-03, 7.84561317e-03
1.87628926e-03, 7.84312561e-03
1.87658961e-03, 7.84063619e-03
1.87688996e-03, 7.83814769e-03
1.87719031e-03, 7.83566013e-03
