[Name]
Series 1 for Case v9_m5_289 at /LINE:Line horizontal 26

[Data]
X [ m ],Velocity [ m s^-1 ]
1.50000001e-03, 1.18203638e-02
1.50030036e-03, 1.18170446e-02
1.50060072e-03, 1.18137263e-02
1.50090107e-03, 1.18104089e-02
1.50120142e-03, 1.18070897e-02
1.50150177e-03, 1.18037723e-02
1.50180212e-03, 1.18004549e-02
1.50210247e-03, 1.17971385e-02
1.50240283e-03, 1.17938211e-02
1.50270318e-03, 1.17905056e-02
1.50300353e-03, 1.17871901e-02
1.50330388e-03, 1.17838755e-02
1.50360423e-03, 1.17805609e-02
1.50390458e-03, 1.17772454e-02
1.50420493e-03, 1.17739327e-02
1.50450529e-03, 1.17706200e-02
1.50480564e-03, 1.17673064e-02
1.50510599e-03, 1.17639937e-02
1.50540634e-03, 1.17606809e-02
1.50570669e-03, 1.17573692e-02
1.50600704e-03, 1.17540574e-02
1.50630740e-03, 1.17507465e-02
1.50660775e-03, 1.17474347e-02
1.50690810e-03, 1.17441257e-02
1.50720845e-03, 1.17408158e-02
1.50750880e-03, 1.17375059e-02
1.50780915e-03, 1.17341969e-02
1.50810950e-03, 1.17308879e-02
1.50840986e-03, 1.17275799e-02
1.50871021e-03, 1.17242727e-02
1.50901056e-03, 1.17209647e-02
1.50931091e-03, 1.17176585e-02
1.50961126e-03, 1.17143514e-02
1.50991161e-03, 1.17110461e-02
1.51021197e-03, 1.17077399e-02
1.51051232e-03, 1.17044346e-02
1.51081267e-03, 1.17011294e-02
1.51111302e-03, 1.16978260e-02
1.51141337e-03, 1.16945207e-02
1.51171372e-03, 1.16912173e-02
1.51201407e-03, 1.16870832e-02
1.51231443e-03, 1.16846161e-02
1.51261478e-03, 1.16813211e-02
1.51291513e-03, 1.16780242e-02
1.51321548e-03, 1.16747292e-02
1.51351583e-03, 1.16714351e-02
1.51381618e-03, 1.16681401e-02
1.51411653e-03, 1.16648469e-02
1.51441689e-03, 1.16615547e-02
1.51471724e-03, 1.16582615e-02
1.51501759e-03, 1.16549693e-02
1.51531794e-03, 1.16516780e-02
1.51561829e-03, 1.16483876e-02
1.51591864e-03, 1.16450964e-02
1.51621900e-03, 1.16418060e-02
1.51651935e-03, 1.16385175e-02
1.51681970e-03, 1.16352271e-02
1.51712005e-03, 1.16319386e-02
1.51742040e-03, 1.16286511e-02
1.51772075e-03, 1.16253635e-02
1.51802110e-03, 1.16220750e-02
1.51832146e-03, 1.16187893e-02
1.51862181e-03, 1.16155026e-02
1.51892216e-03, 1.16122188e-02
1.51922251e-03, 1.16089312e-02
