[Name]
Series 1 for Case v9_m5_289 at /LINE:Line horizontal 23

[Data]
X [ m ],Velocity [ m s^-1 ]
6.00000028e-04, 7.94103965e-02
6.00300322e-04, 7.92579502e-02
6.00600615e-04, 7.91055411e-02
6.00900908e-04, 7.89531544e-02
6.01201202e-04, 7.88008049e-02
6.01501495e-04, 7.86484927e-02
6.01801788e-04, 7.84962028e-02
6.02102082e-04, 7.83439428e-02
6.02402375e-04, 7.81917199e-02
6.02702668e-04, 7.80395344e-02
6.03002962e-04, 7.78873861e-02
6.03303255e-04, 7.77352601e-02
6.03603548e-04, 7.75831714e-02
6.03903842e-04, 7.74311274e-02
6.04204135e-04, 7.72790983e-02
6.04504428e-04, 7.71271139e-02
6.04804722e-04, 7.69751668e-02
6.05105015e-04, 7.68232420e-02
6.05405308e-04, 7.66713619e-02
6.05705602e-04, 7.65195116e-02
6.06005895e-04, 7.63677061e-02
6.06306188e-04, 7.62159228e-02
6.06606482e-04, 7.60641843e-02
6.06906775e-04, 7.59124756e-02
6.07207068e-04, 7.57608041e-02
6.07507362e-04, 7.56091699e-02
6.07807655e-04, 7.54575804e-02
6.08107948e-04, 7.53060132e-02
6.08408242e-04, 7.51544982e-02
6.08708535e-04, 7.50030130e-02
6.09008828e-04, 7.48515651e-02
6.09309122e-04, 7.47001395e-02
6.09609415e-04, 7.45487735e-02
6.09909708e-04, 7.43974373e-02
6.10210001e-04, 7.42461383e-02
6.10510295e-04, 7.40948766e-02
6.10810588e-04, 7.39436597e-02
6.11110881e-04, 7.37924799e-02
6.11411175e-04, 7.36413449e-02
6.11711468e-04, 7.34902397e-02
6.12011761e-04, 7.33391792e-02
6.12312055e-04, 7.31881559e-02
6.12612348e-04, 7.30371699e-02
6.12912641e-04, 7.28862286e-02
6.13212935e-04, 7.27353320e-02
6.13513228e-04, 7.25844800e-02
6.13813521e-04, 7.24336579e-02
6.14113815e-04, 7.22828731e-02
6.14414108e-04, 7.21321404e-02
6.14714401e-04, 7.19814450e-02
6.15014695e-04, 7.18307942e-02
6.15314988e-04, 7.16801882e-02
6.15615281e-04, 7.15296194e-02
6.15915575e-04, 7.13790953e-02
6.16215868e-04, 7.12286159e-02
6.16516161e-04, 7.10781813e-02
6.16816455e-04, 7.09277913e-02
