[Name]
Series 1 for Case v9_m5_289 at /LINE:Line horizontal 22

[Data]
X [ m ],Velocity [ m s^-1 ]
3.00000014e-04, 5.90111196e-01
3.00300308e-04, 5.88900566e-01
3.00600601e-04, 5.87689996e-01
3.00900894e-04, 5.86479306e-01
3.01201188e-04, 5.85268736e-01
3.01501481e-04, 5.84057987e-01
3.01801774e-04, 5.82847357e-01
3.02102068e-04, 5.81636667e-01
3.02402361e-04, 5.80426097e-01
3.02702654e-04, 5.79215467e-01
3.03002947e-04, 5.78004777e-01
3.03303241e-04, 5.76794207e-01
3.03603534e-04, 5.75523376e-01
3.03903827e-04, 5.74352741e-01
3.04204121e-04, 5.73092282e-01
3.04504414e-04, 5.71831942e-01
3.04804707e-04, 5.70571423e-01
3.05105001e-04, 5.69311082e-01
3.05405294e-04, 5.68050623e-01
3.05705587e-04, 5.66790223e-01
3.06005881e-04, 5.65529823e-01
3.06306174e-04, 5.64269364e-01
3.06606467e-04, 5.63009024e-01
3.06906761e-04, 5.61748564e-01
3.07207054e-04, 5.60488164e-01
3.07507347e-04, 5.59227884e-01
3.07807641e-04, 5.57967484e-01
3.08107934e-04, 5.56707084e-01
3.08408227e-04, 5.55446804e-01
3.08708521e-04, 5.54186404e-01
3.09008814e-04, 5.52926004e-01
3.09309107e-04, 5.51665664e-01
3.09609401e-04, 5.50405383e-01
3.09909694e-04, 5.49145043e-01
3.10209987e-04, 5.47884703e-01
3.10510281e-04, 5.46624362e-01
3.10810574e-04, 5.45364141e-01
3.11110867e-04, 5.44103801e-01
3.11411161e-04, 5.42843521e-01
3.11711454e-04, 5.41583180e-01
3.12011747e-04, 5.40322900e-01
3.12312040e-04, 5.39062738e-01
3.12612334e-04, 5.37802398e-01
3.12912627e-04, 5.36542237e-01
3.13212920e-04, 5.35281897e-01
3.13513214e-04, 5.34021795e-01
3.13813507e-04, 5.32761514e-01
3.14113800e-04, 5.31501293e-01
3.14414094e-04, 5.30241013e-01
3.14714387e-04, 5.28980851e-01
3.15014680e-04, 5.27720630e-01
3.15314974e-04, 5.26460409e-01
3.15615267e-04, 5.25200307e-01
3.15915560e-04, 5.23940086e-01
3.16215854e-04, 5.22679985e-01
3.16516147e-04, 5.21419764e-01
3.16816440e-04, 5.20159721e-01
3.17116734e-04, 5.18899441e-01
3.17417027e-04, 5.17639339e-01
3.17717320e-04, 5.16379237e-01
3.18017614e-04, 5.15119076e-01
3.18317907e-04, 5.13859034e-01
3.18618200e-04, 5.12598872e-01
3.18918494e-04, 5.11338770e-01
3.19218787e-04, 5.10078728e-01
3.19519080e-04, 5.08818746e-01
3.19819374e-04, 5.07558584e-01
3.20119667e-04, 5.06298542e-01
3.20419960e-04, 5.05038500e-01
3.20720254e-04, 5.03778458e-01
3.21020547e-04, 5.02518475e-01
3.21320840e-04, 5.01258433e-01
3.21621133e-04, 4.99998420e-01
3.21921427e-04, 4.98738438e-01
3.22221720e-04, 4.97478426e-01
3.22522013e-04, 4.96218473e-01
3.22822307e-04, 4.94958520e-01
3.23122600e-04, 4.93698537e-01
3.23422893e-04, 4.92438614e-01
3.23723187e-04, 4.91178632e-01
3.24023480e-04, 4.89918679e-01
3.24323773e-04, 4.88658816e-01
3.24624067e-04, 4.87398863e-01
3.24924360e-04, 4.86138999e-01
3.25224653e-04, 4.84879076e-01
3.25524947e-04, 4.83619213e-01
3.25825240e-04, 4.82359320e-01
3.26125533e-04, 4.81099486e-01
3.26425827e-04, 4.79839653e-01
3.26726120e-04, 4.78579819e-01
3.27026413e-04, 4.77319986e-01
3.27326707e-04, 4.76060182e-01
3.27627000e-04, 4.74800348e-01
3.27927293e-04, 4.73542064e-01
3.28227587e-04, 4.72280741e-01
3.28527880e-04, 4.71019715e-01
3.28828173e-04, 4.69758689e-01
3.29128467e-04, 4.68497664e-01
3.29428760e-04, 4.67236638e-01
3.29729053e-04, 4.65975642e-01
3.30029347e-04, 4.64714676e-01
3.30329640e-04, 4.63453710e-01
3.30629933e-04, 4.62192774e-01
3.30930226e-04, 4.60931838e-01
3.31230520e-04, 4.59670901e-01
3.31530813e-04, 4.58410025e-01
3.31831106e-04, 4.57149178e-01
3.32131400e-04, 4.55888242e-01
3.32431693e-04, 4.54627335e-01
3.32731986e-04, 4.53366518e-01
3.33032280e-04, 4.52105641e-01
3.33332573e-04, 4.50844854e-01
3.33632866e-04, 4.49584037e-01
3.33933160e-04, 4.48323250e-01
3.34233453e-04, 4.47062522e-01
3.34533746e-04, 4.45801765e-01
3.34834040e-04, 4.44541007e-01
3.35134333e-04, 4.43280309e-01
3.35434626e-04, 4.42019612e-01
3.35734920e-04, 4.40758884e-01
3.36035213e-04, 4.39498276e-01
3.36335506e-04, 4.38237578e-01
3.36635800e-04, 4.36976910e-01
3.36936093e-04, 4.35716331e-01
3.37236386e-04, 4.34455782e-01
3.37536680e-04, 4.33195174e-01
3.37836973e-04, 4.31934565e-01
3.38137266e-04, 4.30674046e-01
3.38437560e-04, 4.29413527e-01
3.38737853e-04, 4.28153008e-01
3.39038146e-04, 4.26892489e-01
3.39338440e-04, 4.25632030e-01
3.39638733e-04, 4.24371570e-01
3.39939026e-04, 4.23111111e-01
3.40239319e-04, 4.21850711e-01
3.40539613e-04, 4.20590281e-01
3.40839906e-04, 4.19329882e-01
3.41140199e-04, 4.18069512e-01
3.41440493e-04, 4.16809171e-01
3.41740786e-04, 4.15548891e-01
3.42041079e-04, 4.14288610e-01
3.42341373e-04, 4.13028330e-01
3.42641666e-04, 4.11768019e-01
3.42941959e-04, 4.10507768e-01
3.43242253e-04, 4.09247547e-01
3.43542546e-04, 4.07987326e-01
3.43842839e-04, 4.06727195e-01
3.44143133e-04, 4.05467004e-01
3.44443426e-04, 4.04319316e-01
3.44743719e-04, 4.03487653e-01
3.45044013e-04, 4.02719647e-01
3.45344306e-04, 4.01951641e-01
3.45644599e-04, 4.01183605e-01
3.45944893e-04, 4.00415629e-01
3.46245186e-04, 3.99647623e-01
3.46545479e-04, 3.98879677e-01
3.46845773e-04, 3.98111701e-01
3.47146066e-04, 3.97343755e-01
3.47446359e-04, 3.96575719e-01
3.47746653e-04, 3.95807803e-01
3.48046946e-04, 3.95039797e-01
3.48347239e-04, 3.94271910e-01
3.48647533e-04, 3.93503934e-01
3.48947826e-04, 3.92736018e-01
3.49248119e-04, 3.91968071e-01
3.49548412e-04, 3.91200185e-01
3.49848706e-04, 3.90432268e-01
3.50148999e-04, 3.89664352e-01
3.50449292e-04, 3.88896465e-01
3.50749586e-04, 3.88128608e-01
3.51049879e-04, 3.87360722e-01
3.51350172e-04, 3.86592835e-01
3.51650466e-04, 3.85825008e-01
3.51950759e-04, 3.85057122e-01
3.52251052e-04, 3.84289294e-01
3.52551346e-04, 3.83521467e-01
3.52851639e-04, 3.82753581e-01
3.53151932e-04, 3.81985754e-01
3.53452226e-04, 3.81217986e-01
3.53752519e-04, 3.80450130e-01
3.54052812e-04, 3.79682302e-01
3.54353106e-04, 3.78914535e-01
3.54653399e-04, 3.77737254e-01
3.54953692e-04, 3.77408952e-01
3.55253986e-04, 3.76712203e-01
3.55554279e-04, 3.76015425e-01
3.55854572e-04, 3.75318706e-01
3.56154866e-04, 3.74621928e-01
3.56455159e-04, 3.73925209e-01
3.56755452e-04, 3.73228490e-01
3.57055746e-04, 3.72531742e-01
3.57356039e-04, 3.71835023e-01
3.57656332e-04, 3.71138364e-01
3.57956626e-04, 3.70441675e-01
3.58256919e-04, 3.69744956e-01
3.58557212e-04, 3.69048297e-01
3.58857505e-04, 3.68351609e-01
3.59157799e-04, 3.67654979e-01
3.59458092e-04, 3.66958350e-01
3.59758385e-04, 3.66261661e-01
3.60058679e-04, 3.65565062e-01
3.60358972e-04, 3.64868402e-01
3.60659265e-04, 3.64171863e-01
3.60959559e-04, 3.63475204e-01
3.61259852e-04, 3.62778664e-01
3.61560145e-04, 3.62082064e-01
3.61860439e-04, 3.61385465e-01
3.62160732e-04, 3.60688955e-01
3.62461025e-04, 3.59992355e-01
3.62761319e-04, 3.59295845e-01
3.63061612e-04, 3.58599335e-01
3.63361905e-04, 3.57902795e-01
3.63662199e-04, 3.57206285e-01
3.63962492e-04, 3.56509775e-01
3.64262785e-04, 3.55813324e-01
3.64563079e-04, 3.55116814e-01
3.64863372e-04, 3.54420334e-01
3.65163665e-04, 3.53723884e-01
3.65463959e-04, 3.53027493e-01
3.65764252e-04, 3.52331012e-01
3.66064545e-04, 3.51634622e-01
3.66364839e-04, 3.50938201e-01
3.66665132e-04, 3.50241780e-01
3.66965425e-04, 3.49545389e-01
3.67265719e-04, 3.48848999e-01
3.67566012e-04, 3.48152637e-01
3.67866305e-04, 3.47456276e-01
3.68166598e-04, 3.46759915e-01
3.68466892e-04, 3.46063554e-01
3.68767185e-04, 3.45367253e-01
3.69067478e-04, 3.44670922e-01
3.69367772e-04, 3.43974650e-01
3.69668065e-04, 3.43278348e-01
3.69968358e-04, 3.42582047e-01
3.70268652e-04, 3.41885775e-01
3.70568945e-04, 3.41189563e-01
3.70869238e-04, 3.40493262e-01
3.71169532e-04, 3.39797050e-01
3.71469825e-04, 3.39100838e-01
3.71770118e-04, 3.38404596e-01
3.72070412e-04, 3.37708414e-01
3.72370705e-04, 3.37012261e-01
3.72670998e-04, 3.36316109e-01
3.72971292e-04, 3.35619897e-01
3.73271585e-04, 3.34923744e-01
3.73571878e-04, 3.34227651e-01
3.73872172e-04, 3.33531499e-01
3.74172465e-04, 3.32835376e-01
3.74472758e-04, 3.32139313e-01
3.74773052e-04, 3.31443220e-01
3.75073345e-04, 3.30747128e-01
3.75373638e-04, 3.30051064e-01
3.75673932e-04, 3.29355031e-01
3.75974225e-04, 3.28658968e-01
3.76274518e-04, 3.27962935e-01
3.76574812e-04, 3.27266932e-01
3.76875105e-04, 3.26570928e-01
3.77175398e-04, 3.25874984e-01
3.77475691e-04, 3.25179011e-01
3.77775985e-04, 3.24483037e-01
3.78076278e-04, 3.23787093e-01
3.78376571e-04, 3.23091149e-01
3.78676865e-04, 3.22395265e-01
3.78977158e-04, 3.21699351e-01
3.79277451e-04, 3.21003437e-01
3.79577745e-04, 3.20307583e-01
3.79878038e-04, 3.19611728e-01
3.80178331e-04, 3.18915874e-01
3.80478625e-04, 3.18220049e-01
3.80778918e-04, 3.17524225e-01
3.81079211e-04, 3.16828430e-01
3.81379505e-04, 3.16132665e-01
3.81679798e-04, 3.15436870e-01
3.81980091e-04, 3.14741135e-01
3.82280385e-04, 3.14045429e-01
3.82580678e-04, 3.13349664e-01
3.82880971e-04, 3.12653959e-01
3.83181265e-04, 3.11958283e-01
3.83481558e-04, 3.11262578e-01
3.83781851e-04, 3.10566932e-01
3.84082145e-04, 3.09871256e-01
3.84382438e-04, 3.09175640e-01
3.84682731e-04, 3.08480054e-01
3.84983025e-04, 3.07784408e-01
3.85283318e-04, 3.07088852e-01
3.85583611e-04, 3.06393296e-01
3.85883905e-04, 3.05697709e-01
3.86184198e-04, 3.05002183e-01
3.86484491e-04, 3.04306686e-01
3.86784784e-04, 3.03611189e-01
3.87085078e-04, 3.02915692e-01
3.87385371e-04, 3.02220196e-01
3.87685664e-04, 3.01524758e-01
3.87985958e-04, 3.00829291e-01
3.88286251e-04, 3.00133884e-01
3.88586544e-04, 2.99438506e-01
3.88886838e-04, 2.98743099e-01
3.89187131e-04, 2.98047721e-01
3.89487424e-04, 2.97352374e-01
3.89787718e-04, 2.96657026e-01
3.90088011e-04, 2.95961738e-01
3.90388304e-04, 2.95266449e-01
3.90688598e-04, 2.94644564e-01
3.90988891e-04, 2.93997765e-01
3.91289184e-04, 2.93351024e-01
3.91589478e-04, 2.92704254e-01
3.91889771e-04, 2.92057484e-01
3.92190064e-04, 2.91410774e-01
3.92490358e-04, 2.90764093e-01
3.92790651e-04, 2.90117413e-01
3.93090944e-04, 2.89470673e-01
3.93391238e-04, 2.88824022e-01
3.93691531e-04, 2.88177371e-01
3.93991824e-04, 2.87530720e-01
3.94292118e-04, 2.86884129e-01
3.94592411e-04, 2.86237568e-01
3.94892704e-04, 2.85590976e-01
3.95192998e-04, 2.84944415e-01
3.95493291e-04, 2.84297854e-01
3.95793584e-04, 2.83651322e-01
3.96093877e-04, 2.83004820e-01
3.96394171e-04, 2.82358289e-01
3.96694464e-04, 2.81711847e-01
3.96994757e-04, 2.81065375e-01
3.97295051e-04, 2.80418932e-01
3.97595344e-04, 2.79772460e-01
3.97895637e-04, 2.79126108e-01
3.98195931e-04, 2.78479695e-01
3.98496224e-04, 2.77833283e-01
3.98796517e-04, 2.77186930e-01
3.99096811e-04, 2.76540637e-01
3.99397104e-04, 2.75894314e-01
3.99697397e-04, 2.75247961e-01
3.99997691e-04, 2.74601698e-01
4.00297984e-04, 2.73955375e-01
4.00598277e-04, 2.73309201e-01
4.00898571e-04, 2.72662967e-01
4.01198864e-04, 2.72016764e-01
4.01499157e-04, 2.71370590e-01
4.01799451e-04, 2.70724386e-01
4.02099744e-04, 2.70078212e-01
4.02400037e-04, 2.69432098e-01
4.02700331e-04, 2.68785954e-01
4.03000624e-04, 2.68139929e-01
4.03300917e-04, 2.67493784e-01
4.03601211e-04, 2.66847819e-01
4.03901504e-04, 2.66201735e-01
4.04201797e-04, 2.65555710e-01
4.04502091e-04, 2.64909714e-01
4.04802384e-04, 2.64263779e-01
4.05102677e-04, 2.63617814e-01
4.05402971e-04, 2.62971878e-01
4.05703264e-04, 2.62326002e-01
4.06003557e-04, 2.61680067e-01
4.06303850e-04, 2.61034250e-01
4.06604144e-04, 2.60388374e-01
4.06904437e-04, 2.59742558e-01
4.07204730e-04, 2.59096771e-01
4.07505024e-04, 2.58451015e-01
4.07805317e-04, 2.57805258e-01
4.08105610e-04, 2.57159472e-01
4.08405904e-04, 2.56513804e-01
4.08706197e-04, 2.55889893e-01
4.09006490e-04, 2.55442351e-01
4.09306784e-04, 2.54994810e-01
4.09607077e-04, 2.54547268e-01
4.09907370e-04, 2.54099786e-01
4.10207664e-04, 2.53652275e-01
4.10507957e-04, 2.53204793e-01
4.10808250e-04, 2.52757311e-01
4.11108544e-04, 2.52309799e-01
4.11408837e-04, 2.51862377e-01
4.11709130e-04, 2.51414955e-01
4.12009424e-04, 2.50967503e-01
4.12309717e-04, 2.50520051e-01
4.12610010e-04, 2.50072688e-01
4.12910304e-04, 2.49625251e-01
4.13210597e-04, 2.49177858e-01
4.13510890e-04, 2.48730510e-01
4.13811184e-04, 2.48283118e-01
4.14111477e-04, 2.47835755e-01
4.14411770e-04, 2.47388452e-01
4.14712064e-04, 2.46941119e-01
4.15012357e-04, 2.46493787e-01
4.15312650e-04, 2.46046484e-01
4.15612943e-04, 2.45599195e-01
4.15913237e-04, 2.45151922e-01
4.16213530e-04, 2.44704649e-01
4.16513823e-04, 2.44257405e-01
4.16814117e-04, 2.43810147e-01
4.17114410e-04, 2.43368745e-01
4.17414703e-04, 2.42911518e-01
