[Name]
Series 1 for Case v9_m5_350_0.009_sec at /LINE:Line horizontal 12

[Data]
X [ m ],Velocity [ m s^-1 ]
-2.70000007e-03, 1.16784673e-03
-2.69969972e-03, 1.16807432e-03
-2.69939937e-03, 1.16830284e-03
-2.69909902e-03, 1.16853241e-03
-2.69879866e-03, 1.16876303e-03
-2.69849831e-03, 1.16899458e-03
-2.69819796e-03, 1.16922730e-03
-2.69789761e-03, 1.16946094e-03
-2.69759726e-03, 1.16969587e-03
-2.69729691e-03, 1.16993173e-03
-2.69699655e-03, 1.17016851e-03
-2.69669620e-03, 1.17038924e-03
-2.69639585e-03, 1.17090100e-03
-2.69609550e-03, 1.17133372e-03
-2.69579515e-03, 1.17176725e-03
-2.69549480e-03, 1.17220217e-03
-2.69519445e-03, 1.17263827e-03
-2.69489409e-03, 1.17307552e-03
-2.69459374e-03, 1.17351394e-03
-2.69429339e-03, 1.17395364e-03
-2.69399304e-03, 1.17439439e-03
-2.69369269e-03, 1.17483619e-03
-2.69339234e-03, 1.17527950e-03
-2.69309198e-03, 1.17572385e-03
-2.69279163e-03, 1.17616937e-03
-2.69249128e-03, 1.17661606e-03
-2.69219093e-03, 1.17706391e-03
-2.69189058e-03, 1.17751281e-03
-2.69159023e-03, 1.17796310e-03
-2.69128988e-03, 1.17841433e-03
-2.69098952e-03, 1.17886683e-03
-2.69068917e-03, 1.17932062e-03
-2.69038882e-03, 1.17977546e-03
-2.69008847e-03, 1.18023134e-03
-2.68978812e-03, 1.18068850e-03
-2.68948777e-03, 1.18114671e-03
-2.68918741e-03, 1.18160632e-03
-2.68888706e-03, 1.18206686e-03
-2.68858671e-03, 1.18252856e-03
-2.68828636e-03, 1.18299166e-03
-2.68798601e-03, 1.18345558e-03
-2.68768566e-03, 1.18392089e-03
-2.68738531e-03, 1.18438725e-03
-2.68708495e-03, 1.18485466e-03
-2.68678460e-03, 1.18532334e-03
-2.68648425e-03, 1.18579320e-03
-2.68618390e-03, 1.18626410e-03
-2.68588355e-03, 1.18673616e-03
-2.68558320e-03, 1.18720939e-03
-2.68528285e-03, 1.18768390e-03
-2.68498249e-03, 1.18815922e-03
-2.68468214e-03, 1.18863594e-03
-2.68438179e-03, 1.18911371e-03
-2.68408144e-03, 1.18959264e-03
-2.68378109e-03, 1.19007274e-03
-2.68348074e-03, 1.19055377e-03
-2.68318038e-03, 1.19103619e-03
-2.68288003e-03, 1.19151943e-03
-2.68257968e-03, 1.19200395e-03
-2.68227933e-03, 1.19248976e-03
-2.68197898e-03, 1.19297660e-03
-2.68167863e-03, 1.19346438e-03
-2.68137828e-03, 1.19395345e-03
-2.68107792e-03, 1.19444367e-03
